label1,node1,label2,node2,link_num
232,周瑜,321,诸葛亮,35
232,周瑜,332,曹仁,69
321,诸葛亮,332,曹仁,33
2,丁奉,52,甘宁,12
2,丁奉,81,吕蒙,5
2,丁奉,99,刘表,3
2,丁奉,101,刘备,21
2,丁奉,118,关羽,4
2,丁奉,137,孙乾,5
2,丁奉,213,陈矫,8
2,丁奉,232,周瑜,32
2,丁奉,246,赵云,3
2,丁奉,307,徐盛,8
2,丁奉,312,凌统,10
2,丁奉,321,诸葛亮,18
2,丁奉,332,曹仁,34
2,丁奉,338,曹纯,8
2,丁奉,340,曹洪,14
2,丁奉,348,曹操,4
2,丁奉,360,蒋钦,7
2,丁奉,372,程普,17
2,丁奉,377,鲁肃,7
52,甘宁,81,吕蒙,9
52,甘宁,99,刘表,7
52,甘宁,101,刘备,27
52,甘宁,118,关羽,10
52,甘宁,137,孙乾,9
52,甘宁,213,陈矫,14
52,甘宁,232,周瑜,46
52,甘宁,246,赵云,9
52,甘宁,307,徐盛,12
52,甘宁,312,凌统,16
52,甘宁,321,诸葛亮,26
52,甘宁,332,曹仁,45
52,甘宁,338,曹纯,17
52,甘宁,340,曹洪,23
52,甘宁,348,曹操,8
52,甘宁,360,蒋钦,11
52,甘宁,372,程普,24
52,甘宁,377,鲁肃,11
81,吕蒙,99,刘表,2
81,吕蒙,101,刘备,20
81,吕蒙,118,关羽,3
81,吕蒙,137,孙乾,4
81,吕蒙,213,陈矫,4
81,吕蒙,232,周瑜,13
81,吕蒙,246,赵云,2
81,吕蒙,307,徐盛,5
81,吕蒙,312,凌统,7
81,吕蒙,321,诸葛亮,17
81,吕蒙,332,曹仁,17
81,吕蒙,338,曹纯,7
81,吕蒙,340,曹洪,8
81,吕蒙,348,曹操,3
81,吕蒙,360,蒋钦,6
81,吕蒙,372,程普,2
81,吕蒙,377,鲁肃,6
99,刘表,101,刘备,20
99,刘表,118,关羽,3
99,刘表,137,孙乾,4
99,刘表,213,陈矫,2
99,刘表,232,周瑜,11
99,刘表,246,赵云,2
99,刘表,307,徐盛,3
99,刘表,312,凌统,5
99,刘表,321,诸葛亮,17
99,刘表,332,曹仁,12
99,刘表,338,曹纯,5
99,刘表,340,曹洪,5
99,刘表,348,曹操,3
99,刘表,360,蒋钦,4
99,刘表,372,程普,2
99,刘表,377,鲁肃,6
101,刘备,118,关羽,23
101,刘备,137,孙乾,22
101,刘备,213,陈矫,22
101,刘备,232,周瑜,34
101,刘备,246,赵云,22
101,刘备,307,徐盛,21
101,刘备,312,凌统,25
101,刘备,321,诸葛亮,39
101,刘备,332,曹仁,32
101,刘备,338,曹纯,23
101,刘备,340,曹洪,23
101,刘备,348,曹操,21
101,刘备,360,蒋钦,22
101,刘备,372,程普,23
101,刘备,377,鲁肃,24
118,关羽,137,孙乾,5
118,关羽,213,陈矫,5
118,关羽,232,周瑜,17
118,关羽,246,赵云,5
118,关羽,307,徐盛,4
118,关羽,312,凌统,8
118,关羽,321,诸葛亮,22
118,关羽,332,曹仁,15
118,关羽,338,曹纯,6
118,关羽,340,曹洪,6
118,关羽,348,曹操,4
118,关羽,360,蒋钦,5
118,关羽,372,程普,6
118,关羽,377,鲁肃,7
137,孙乾,213,陈矫,4
137,孙乾,232,周瑜,13
137,孙乾,246,赵云,4
137,孙乾,307,徐盛,5
137,孙乾,312,凌统,7
137,孙乾,321,诸葛亮,19
137,孙乾,332,曹仁,14
137,孙乾,338,曹纯,7
137,孙乾,340,曹洪,7
137,孙乾,348,曹操,5
137,孙乾,360,蒋钦,6
137,孙乾,372,程普,4
137,孙乾,377,鲁肃,8
213,陈矫,232,周瑜,37
213,陈矫,246,赵云,4
213,陈矫,307,徐盛,8
213,陈矫,312,凌统,12
213,陈矫,321,诸葛亮,21
213,陈矫,332,曹仁,36
213,陈矫,338,曹纯,7
213,陈矫,340,曹洪,14
213,陈矫,348,曹操,3
213,陈矫,360,蒋钦,6
213,陈矫,372,程普,20
213,陈矫,377,鲁肃,6
232,周瑜,246,赵云,16
232,周瑜,307,徐盛,32
232,周瑜,312,凌统,39
232,周瑜,338,曹纯,20
232,周瑜,340,曹洪,42
232,周瑜,348,曹操,12
232,周瑜,360,蒋钦,15
232,周瑜,372,程普,47
232,周瑜,377,鲁肃,15
246,赵云,307,徐盛,3
246,赵云,312,凌统,7
246,赵云,321,诸葛亮,21
246,赵云,332,曹仁,14
246,赵云,338,曹纯,5
246,赵云,340,曹洪,5
246,赵云,348,曹操,3
246,赵云,360,蒋钦,4
246,赵云,372,程普,5
246,赵云,377,鲁肃,6
307,徐盛,312,凌统,10
307,徐盛,321,诸葛亮,18
307,徐盛,332,曹仁,34
307,徐盛,338,曹纯,8
307,徐盛,340,曹洪,14
307,徐盛,348,曹操,4
307,徐盛,360,蒋钦,7
307,徐盛,372,程普,17
307,徐盛,377,鲁肃,7
312,凌统,321,诸葛亮,24
312,凌统,332,曹仁,38
312,凌统,338,曹纯,10
312,凌统,340,曹洪,16
312,凌统,348,曹操,6
312,凌统,360,蒋钦,9
312,凌统,372,程普,22
312,凌统,377,鲁肃,9
321,诸葛亮,338,曹纯,20
321,诸葛亮,340,曹洪,20
321,诸葛亮,348,曹操,18
321,诸葛亮,360,蒋钦,19
321,诸葛亮,372,程普,22
321,诸葛亮,377,鲁肃,21
332,曹仁,338,曹纯,24
332,曹仁,340,曹洪,44
332,曹仁,348,曹操,13
332,曹仁,360,蒋钦,19
332,曹仁,372,程普,43
332,曹仁,377,鲁肃,16
338,曹纯,340,曹洪,15
338,曹纯,348,曹操,6
338,曹纯,360,蒋钦,9
338,曹纯,372,程普,5
338,曹纯,377,鲁肃,9
340,曹洪,348,曹操,6
340,曹洪,360,蒋钦,10
340,曹洪,372,程普,22
340,曹洪,377,鲁肃,9
348,曹操,360,蒋钦,5
348,曹操,372,程普,3
348,曹操,377,鲁肃,7
360,蒋钦,372,程普,4
360,蒋钦,377,鲁肃,8
372,程普,377,鲁肃,6
52,甘宁,230,周泰,11
230,周泰,232,周瑜,26
230,周泰,332,曹仁,27
230,周泰,338,曹纯,7
230,周泰,340,曹洪,14
2,丁奉,230,周泰,5
2,丁奉,363,韩当,5
2,丁奉,397,潘璋,4
52,甘宁,363,韩当,5
52,甘宁,397,潘璋,4
213,陈矫,230,周泰,6
213,陈矫,363,韩当,6
213,陈矫,397,潘璋,5
230,周泰,307,徐盛,5
230,周泰,312,凌统,5
230,周泰,363,韩当,6
230,周泰,372,程普,15
230,周泰,397,潘璋,5
232,周瑜,363,韩当,21
232,周瑜,397,潘璋,20
307,徐盛,363,韩当,5
307,徐盛,397,潘璋,4
312,凌统,363,韩当,5
312,凌统,397,潘璋,4
332,曹仁,363,韩当,22
332,曹仁,397,潘璋,21
340,曹洪,363,韩当,9
340,曹洪,397,潘璋,8
363,韩当,372,程普,15
363,韩当,397,潘璋,5
372,程普,397,潘璋,14
2,丁奉,210,陈武,2
52,甘宁,210,陈武,2
81,吕蒙,210,陈武,2
81,吕蒙,230,周泰,2
81,吕蒙,363,韩当,2
81,吕蒙,397,潘璋,2
210,陈武,213,陈矫,2
210,陈武,230,周泰,2
210,陈武,232,周瑜,2
210,陈武,307,徐盛,2
210,陈武,312,凌统,2
210,陈武,332,曹仁,5
210,陈武,338,曹纯,2
210,陈武,340,曹洪,3
210,陈武,360,蒋钦,2
210,陈武,363,韩当,2
210,陈武,397,潘璋,2
230,周泰,360,蒋钦,2
338,曹纯,363,韩当,2
338,曹纯,397,潘璋,2
360,蒋钦,363,韩当,2
360,蒋钦,397,潘璋,2
52,甘宁,181,张飞,2
101,刘备,181,张飞,2
118,关羽,181,张飞,2
181,张飞,213,陈矫,2
181,张飞,232,周瑜,5
181,张飞,246,赵云,2
181,张飞,312,凌统,2
181,张飞,321,诸葛亮,4
181,张飞,332,曹仁,2
181,张飞,372,程普,3
