label1,node1,label2,node2,link_num
246,赵云,321,诸葛亮,60
246,赵云,377,鲁肃,10
321,诸葛亮,377,鲁肃,21
101,刘备,232,周瑜,10
101,刘备,321,诸葛亮,60
101,刘备,348,曹操,18
101,刘备,372,程普,6
101,刘备,377,鲁肃,18
232,周瑜,321,诸葛亮,11
232,周瑜,348,曹操,4
232,周瑜,372,程普,6
232,周瑜,377,鲁肃,18
321,诸葛亮,348,曹操,17
321,诸葛亮,372,程普,3
348,曹操,372,程普,3
348,曹操,377,鲁肃,6
372,程普,377,鲁肃,8
65,司马昭,99,刘表,4
65,司马昭,101,刘备,2
65,司马昭,232,周瑜,2
65,司马昭,246,赵云,2
65,司马昭,321,诸葛亮,7
65,司马昭,377,鲁肃,8
99,刘表,101,刘备,11
99,刘表,232,周瑜,4
99,刘表,246,赵云,22
99,刘表,321,诸葛亮,14
99,刘表,377,鲁肃,10
101,刘备,246,赵云,53
232,周瑜,246,赵云,2
101,刘备,127,孙权,3
127,孙权,232,周瑜,4
127,孙权,372,程普,3
127,孙权,377,鲁肃,4
11,马良,14,马谡,4
11,马良,90,伊籍,5
11,马良,101,刘备,15
11,马良,118,关羽,5
11,马良,181,张飞,7
11,马良,202,张翼,4
11,马良,246,赵云,7
11,马良,321,诸葛亮,15
11,马良,348,曹操,4
14,马谡,90,伊籍,3
14,马谡,101,刘备,13
14,马谡,118,关羽,3
14,马谡,181,张飞,5
14,马谡,202,张翼,2
14,马谡,246,赵云,5
14,马谡,321,诸葛亮,13
14,马谡,348,曹操,2
90,伊籍,101,刘备,14
90,伊籍,118,关羽,4
90,伊籍,181,张飞,6
90,伊籍,202,张翼,3
90,伊籍,246,赵云,6
90,伊籍,321,诸葛亮,14
90,伊籍,348,曹操,3
101,刘备,118,关羽,21
101,刘备,181,张飞,34
101,刘备,202,张翼,15
118,关羽,181,张飞,11
118,关羽,202,张翼,3
118,关羽,246,赵云,24
118,关羽,321,诸葛亮,19
118,关羽,348,曹操,3
181,张飞,202,张翼,8
181,张飞,246,赵云,37
181,张飞,321,诸葛亮,38
181,张飞,348,曹操,5
202,张翼,246,赵云,7
202,张翼,321,诸葛亮,19
202,张翼,348,曹操,2
246,赵云,348,曹操,5
99,刘表,118,关羽,2
99,刘表,181,张飞,5
101,刘备,226,金旋,4
181,张飞,226,金旋,3
226,金旋,246,赵云,4
226,金旋,321,诸葛亮,6
