label1,node1,label2,node2,link_num
118,关羽,127,孙权,7
118,关羽,330,黄忠,69
127,孙权,330,黄忠,2
101,刘备,181,张飞,20
101,刘备,202,张翼,4
101,刘备,226,金旋,11
101,刘备,246,赵云,12
101,刘备,321,诸葛亮,39
181,张飞,202,张翼,9
181,张飞,226,金旋,16
181,张飞,246,赵云,14
181,张飞,321,诸葛亮,13
202,张翼,226,金旋,9
202,张翼,246,赵云,2
202,张翼,321,诸葛亮,2
226,金旋,246,赵云,9
226,金旋,321,诸葛亮,9
246,赵云,321,诸葛亮,6
101,刘备,118,关羽,47
118,关羽,181,张飞,12
118,关羽,246,赵云,11
99,刘表,101,刘备,12
99,刘表,118,关羽,9
99,刘表,181,张飞,3
99,刘表,246,赵云,3
99,刘表,321,诸葛亮,10
99,刘表,330,黄忠,8
101,刘备,330,黄忠,37
118,关羽,321,诸葛亮,38
181,张飞,330,黄忠,4
246,赵云,330,黄忠,4
321,诸葛亮,330,黄忠,32
101,刘备,403,魏延,19
118,关羽,403,魏延,23
321,诸葛亮,403,魏延,15
330,黄忠,403,魏延,27
99,刘表,403,魏延,6
52,甘宁,127,孙权,3
52,甘宁,232,周瑜,2
52,甘宁,245,孟建,2
52,甘宁,312,凌统,2
52,甘宁,372,程普,3
52,甘宁,377,鲁肃,2
127,孙权,232,周瑜,3
127,孙权,245,孟建,3
127,孙权,312,凌统,3
127,孙权,372,程普,16
127,孙权,377,鲁肃,7
232,周瑜,245,孟建,2
232,周瑜,312,凌统,2
232,周瑜,372,程普,3
232,周瑜,377,鲁肃,2
245,孟建,312,凌统,2
245,孟建,372,程普,3
245,孟建,377,鲁肃,2
312,凌统,372,程普,3
312,凌统,377,鲁肃,2
372,程普,377,鲁肃,3
37,太史慈,60,乐进,20
37,太史慈,127,孙权,27
37,太史慈,160,李典,20
37,太史慈,182,张辽,30
37,太史慈,185,张纮,7
37,太史慈,326,诸葛瑾,7
37,太史慈,372,程普,9
60,乐进,127,孙权,17
60,乐进,160,李典,10
60,乐进,182,张辽,20
60,乐进,185,张纮,5
60,乐进,326,诸葛瑾,5
60,乐进,372,程普,7
127,孙权,160,李典,17
127,孙权,182,张辽,27
127,孙权,185,张纮,10
127,孙权,326,诸葛瑾,10
160,李典,182,张辽,20
160,李典,185,张纮,4
160,李典,326,诸葛瑾,4
160,李典,372,程普,6
182,张辽,185,张纮,13
182,张辽,326,诸葛瑾,13
182,张辽,372,程普,15
185,张纮,326,诸葛瑾,2
185,张纮,372,程普,4
326,诸葛瑾,372,程普,4
37,太史慈,101,刘备,13
37,太史慈,118,关羽,11
37,太史慈,191,张昭,11
37,太史慈,206,陆逊,10
37,太史慈,321,诸葛亮,15
37,太史慈,357,董袭,10
37,太史慈,377,鲁肃,10
60,乐进,101,刘备,5
60,乐进,118,关羽,3
60,乐进,191,张昭,3
60,乐进,206,陆逊,2
60,乐进,321,诸葛亮,7
60,乐进,357,董袭,2
60,乐进,377,鲁肃,2
101,刘备,127,孙权,7
101,刘备,160,李典,6
101,刘备,182,张辽,7
101,刘备,191,张昭,6
101,刘备,206,陆逊,5
101,刘备,357,董袭,5
101,刘备,377,鲁肃,5
118,关羽,160,李典,4
118,关羽,182,张辽,5
118,关羽,191,张昭,4
118,关羽,206,陆逊,3
118,关羽,357,董袭,3
118,关羽,377,鲁肃,3
127,孙权,191,张昭,5
127,孙权,206,陆逊,4
127,孙权,321,诸葛亮,9
127,孙权,357,董袭,4
160,李典,191,张昭,4
160,李典,206,陆逊,3
160,李典,321,诸葛亮,8
160,李典,357,董袭,3
160,李典,377,鲁肃,3
182,张辽,191,张昭,5
182,张辽,206,陆逊,4
182,张辽,321,诸葛亮,9
182,张辽,357,董袭,4
182,张辽,377,鲁肃,4
191,张昭,206,陆逊,3
191,张昭,321,诸葛亮,8
191,张昭,357,董袭,3
191,张昭,377,鲁肃,3
206,陆逊,321,诸葛亮,7
206,陆逊,357,董袭,2
206,陆逊,377,鲁肃,2
321,诸葛亮,357,董袭,7
321,诸葛亮,377,鲁肃,7
357,董袭,377,鲁肃,2
