label1,node1,label2,node2,link_num
99,刘表,101,刘备,7
99,刘表,113,刘璋,2
99,刘表,232,周瑜,3
99,刘表,321,诸葛亮,14
99,刘表,348,曹操,2
99,刘表,377,鲁肃,9
101,刘备,113,刘璋,7
101,刘备,232,周瑜,51
101,刘备,321,诸葛亮,47
101,刘备,348,曹操,7
101,刘备,377,鲁肃,33
113,刘璋,232,周瑜,3
113,刘璋,321,诸葛亮,14
113,刘璋,348,曹操,2
113,刘璋,377,鲁肃,9
232,周瑜,321,诸葛亮,29
232,周瑜,348,曹操,3
232,周瑜,377,鲁肃,20
321,诸葛亮,348,曹操,14
321,诸葛亮,377,鲁肃,30
348,曹操,377,鲁肃,9
76,吕范,101,刘备,61
76,吕范,127,孙权,22
76,吕范,232,周瑜,18
76,吕范,321,诸葛亮,18
76,吕范,377,鲁肃,5
101,刘备,127,孙权,64
127,孙权,232,周瑜,13
127,孙权,321,诸葛亮,9
127,孙权,377,鲁肃,2
76,吕范,137,孙乾,16
101,刘备,137,孙乾,58
137,孙乾,232,周瑜,9
137,孙乾,321,诸葛亮,13
76,吕范,246,赵云,12
101,刘备,246,赵云,38
127,孙权,137,孙乾,17
127,孙权,246,赵云,12
137,孙乾,246,赵云,13
246,赵云,321,诸葛亮,5
232,周瑜,246,赵云,6
