label1,node1,label2,node2,link_num
101,刘备,232,周瑜,48
101,刘备,321,诸葛亮,33
232,周瑜,321,诸葛亮,17
101,刘备,137,孙乾,5
101,刘备,127,孙权,21
101,刘备,191,张昭,10
101,刘备,246,赵云,66
127,孙权,191,张昭,11
127,孙权,232,周瑜,7
127,孙权,246,赵云,11
127,孙权,321,诸葛亮,5
191,张昭,232,周瑜,4
191,张昭,246,赵云,4
191,张昭,321,诸葛亮,2
232,周瑜,246,赵云,26
246,赵云,321,诸葛亮,15
101,刘备,348,曹操,14
246,赵云,348,曹操,5
321,诸葛亮,348,曹操,3
101,刘备,210,陈武,18
101,刘备,397,潘璋,18
127,孙权,210,陈武,8
127,孙权,397,潘璋,8
191,张昭,210,陈武,2
191,张昭,397,潘璋,2
210,陈武,246,赵云,7
210,陈武,397,潘璋,10
246,赵云,397,潘璋,7
101,刘备,230,周泰,9
101,刘备,360,蒋钦,19
101,刘备,372,程普,4
127,孙权,230,周泰,3
127,孙权,360,蒋钦,3
127,孙权,372,程普,2
210,陈武,230,周泰,6
210,陈武,360,蒋钦,9
210,陈武,372,程普,2
230,周泰,360,蒋钦,11
230,周泰,372,程普,3
230,周泰,397,潘璋,6
360,蒋钦,372,程普,3
360,蒋钦,397,潘璋,9
372,程普,397,潘璋,2
2,丁奉,101,刘备,35
2,丁奉,232,周瑜,23
2,丁奉,246,赵云,17
2,丁奉,307,徐盛,17
2,丁奉,320,诸葛诞,6
101,刘备,307,徐盛,36
101,刘备,320,诸葛诞,15
232,周瑜,307,徐盛,23
232,周瑜,320,诸葛诞,9
246,赵云,307,徐盛,18
246,赵云,320,诸葛诞,5
307,徐盛,320,诸葛诞,6
2,丁奉,210,陈武,5
2,丁奉,397,潘璋,5
210,陈武,307,徐盛,6
307,徐盛,397,潘璋,6
2,丁奉,230,周泰,3
2,丁奉,360,蒋钦,8
210,陈武,232,周瑜,2
230,周泰,232,周瑜,3
230,周泰,307,徐盛,3
232,周瑜,360,蒋钦,14
232,周瑜,397,潘璋,2
307,徐盛,360,蒋钦,8
2,丁奉,118,关羽,3
2,丁奉,321,诸葛亮,5
2,丁奉,330,黄忠,2
2,丁奉,331,黄盖,4
2,丁奉,363,韩当,4
2,丁奉,403,魏延,2
101,刘备,118,关羽,8
101,刘备,330,黄忠,7
101,刘备,331,黄盖,9
101,刘备,363,韩当,9
101,刘备,403,魏延,7
118,关羽,232,周瑜,9
118,关羽,246,赵云,5
118,关羽,307,徐盛,3
118,关羽,321,诸葛亮,6
118,关羽,330,黄忠,3
118,关羽,331,黄盖,5
118,关羽,360,蒋钦,3
118,关羽,363,韩当,5
118,关羽,403,魏延,3
232,周瑜,330,黄忠,8
232,周瑜,331,黄盖,10
232,周瑜,363,韩当,10
232,周瑜,403,魏延,8
246,赵云,330,黄忠,4
246,赵云,331,黄盖,6
246,赵云,360,蒋钦,4
246,赵云,363,韩当,6
246,赵云,403,魏延,4
307,徐盛,321,诸葛亮,5
307,徐盛,330,黄忠,2
307,徐盛,331,黄盖,4
307,徐盛,363,韩当,4
307,徐盛,403,魏延,2
321,诸葛亮,330,黄忠,5
321,诸葛亮,331,黄盖,7
321,诸葛亮,360,蒋钦,5
321,诸葛亮,363,韩当,7
321,诸葛亮,403,魏延,5
330,黄忠,331,黄盖,4
330,黄忠,360,蒋钦,2
330,黄忠,363,韩当,4
330,黄忠,403,魏延,2
331,黄盖,360,蒋钦,4
331,黄盖,363,韩当,6
331,黄盖,403,魏延,4
360,蒋钦,363,韩当,4
360,蒋钦,403,魏延,2
363,韩当,403,魏延,4
