label1,node1,label2,node2,link_num
232,周瑜,321,诸葛亮,41
232,周瑜,348,曹操,18
321,诸葛亮,348,曹操,7
101,刘备,232,周瑜,49
101,刘备,321,诸葛亮,44
101,刘备,330,黄忠,3
101,刘备,331,黄盖,3
101,刘备,363,韩当,3
101,刘备,403,魏延,3
232,周瑜,330,黄忠,6
232,周瑜,331,黄盖,2
232,周瑜,363,韩当,2
232,周瑜,403,魏延,6
321,诸葛亮,330,黄忠,5
321,诸葛亮,331,黄盖,3
321,诸葛亮,363,韩当,3
321,诸葛亮,403,魏延,5
330,黄忠,331,黄盖,2
330,黄忠,363,韩当,2
330,黄忠,403,魏延,4
331,黄盖,363,韩当,2
331,黄盖,403,魏延,2
363,韩当,403,魏延,2
88,华歆,101,刘备,17
88,华歆,127,孙权,10
88,华歆,191,张昭,2
88,华歆,232,周瑜,12
88,华歆,305,顾雍,3
88,华歆,348,曹操,13
88,华歆,360,蒋钦,2
88,华歆,372,程普,10
101,刘备,127,孙权,19
101,刘备,191,张昭,4
101,刘备,305,顾雍,5
101,刘备,348,曹操,21
101,刘备,360,蒋钦,4
101,刘备,372,程普,20
127,孙权,191,张昭,2
127,孙权,232,周瑜,14
127,孙权,305,顾雍,3
127,孙权,348,曹操,12
127,孙权,360,蒋钦,2
127,孙权,372,程普,9
191,张昭,232,周瑜,3
191,张昭,305,顾雍,3
191,张昭,348,曹操,6
191,张昭,360,蒋钦,2
191,张昭,372,程普,2
232,周瑜,305,顾雍,4
232,周瑜,360,蒋钦,3
232,周瑜,372,程普,19
305,顾雍,348,曹操,7
305,顾雍,360,蒋钦,3
305,顾雍,372,程普,3
348,曹操,360,蒋钦,6
348,曹操,372,程普,11
360,蒋钦,372,程普,2
31,王朗,34,王粲,2
31,王朗,42,文聘,4
31,王朗,75,吕布,2
31,王朗,99,刘表,2
31,王朗,123,许褚,4
31,王朗,188,张郃,2
31,王朗,214,陈琳,2
31,王朗,265,钟繇,2
31,王朗,281,袁术,2
31,王朗,283,袁绍,2
31,王朗,301,夏侯渊,2
31,王朗,306,徐晃,6
31,王朗,334,曹休,4
31,王朗,340,曹洪,2
31,王朗,348,曹操,5
31,王朗,354,董卓,2
34,王粲,42,文聘,4
34,王粲,75,吕布,2
34,王粲,99,刘表,2
34,王粲,123,许褚,4
34,王粲,188,张郃,2
34,王粲,214,陈琳,2
34,王粲,265,钟繇,2
34,王粲,281,袁术,2
34,王粲,283,袁绍,2
34,王粲,301,夏侯渊,2
34,王粲,306,徐晃,6
34,王粲,334,曹休,4
34,王粲,340,曹洪,2
34,王粲,348,曹操,5
34,王粲,354,董卓,2
42,文聘,75,吕布,4
42,文聘,99,刘表,4
42,文聘,123,许褚,6
42,文聘,188,张郃,4
42,文聘,214,陈琳,4
42,文聘,265,钟繇,4
42,文聘,281,袁术,4
42,文聘,283,袁绍,4
42,文聘,301,夏侯渊,4
42,文聘,306,徐晃,8
42,文聘,334,曹休,6
42,文聘,340,曹洪,4
42,文聘,348,曹操,7
42,文聘,354,董卓,4
75,吕布,99,刘表,2
75,吕布,123,许褚,4
75,吕布,188,张郃,2
75,吕布,214,陈琳,2
75,吕布,265,钟繇,2
