label1,node1,label2,node2,link_num
101,刘备,113,刘璋,7
101,刘备,127,孙权,35
101,刘备,144,孙瑜,8
101,刘备,232,周瑜,25
101,刘备,246,赵云,7
101,刘备,321,诸葛亮,55
101,刘备,348,曹操,38
101,刘备,377,鲁肃,39
113,刘璋,127,孙权,4
113,刘璋,144,孙瑜,3
113,刘璋,232,周瑜,13
113,刘璋,246,赵云,2
113,刘璋,321,诸葛亮,8
113,刘璋,348,曹操,3
113,刘璋,377,鲁肃,7
127,孙权,144,孙瑜,5
127,孙权,232,周瑜,26
127,孙权,246,赵云,4
127,孙权,321,诸葛亮,30
127,孙权,348,曹操,18
127,孙权,377,鲁肃,21
144,孙瑜,232,周瑜,14
144,孙瑜,246,赵云,3
144,孙瑜,321,诸葛亮,9
144,孙瑜,348,曹操,4
144,孙瑜,377,鲁肃,8
232,周瑜,246,赵云,20
232,周瑜,321,诸葛亮,39
232,周瑜,348,曹操,23
232,周瑜,377,鲁肃,36
246,赵云,321,诸葛亮,17
246,赵云,348,曹操,3
246,赵云,377,鲁肃,10
321,诸葛亮,348,曹操,21
321,诸葛亮,377,鲁肃,47
348,曹操,377,鲁肃,17
99,刘表,142,孙策,2
99,刘表,232,周瑜,7
99,刘表,246,赵云,2
99,刘表,321,诸葛亮,9
99,刘表,359,蒋干,2
99,刘表,377,鲁肃,3
142,孙策,232,周瑜,7
142,孙策,246,赵云,2
142,孙策,321,诸葛亮,9
142,孙策,359,蒋干,2
142,孙策,377,鲁肃,3
232,周瑜,359,蒋干,7
246,赵云,359,蒋干,2
321,诸葛亮,359,蒋干,9
359,蒋干,377,鲁肃,3
101,刘备,234,庞统,35
127,孙权,234,庞统,11
234,庞统,321,诸葛亮,24
234,庞统,377,鲁肃,16
232,周瑜,234,庞统,6
234,庞统,348,曹操,13
101,刘备,137,孙乾,22
101,刘备,181,张飞,23
137,孙乾,181,张飞,9
137,孙乾,234,庞统,9
137,孙乾,321,诸葛亮,13
137,孙乾,377,鲁肃,8
181,张飞,234,庞统,10
181,张飞,321,诸葛亮,14
181,张飞,377,鲁肃,9
69,司马徽,101,刘备,12
69,司马徽,127,孙权,2
69,司马徽,137,孙乾,2
69,司马徽,181,张飞,3
69,司马徽,234,庞统,4
69,司马徽,321,诸葛亮,7
69,司马徽,348,曹操,2
69,司马徽,377,鲁肃,4
127,孙权,137,孙乾,2
127,孙权,181,张飞,3
137,孙乾,348,曹操,2
181,张飞,348,曹操,3
13,马超,15,马腾,7
13,马超,101,刘备,8
13,马超,127,孙权,4
13,马超,232,周瑜,3
13,马超,234,庞统,3
13,马超,250,荀攸,4
13,马超,321,诸葛亮,3
13,马超,348,曹操,6
13,马超,366,韩遂,4
15,马腾,101,刘备,16
15,马腾,127,孙权,10
15,马腾,232,周瑜,6
15,马腾,234,庞统,6
15,马腾,250,荀攸,7
15,马腾,321,诸葛亮,6
15,马腾,348,曹操,36
15,马腾,366,韩遂,7
101,刘备,250,荀攸,8
101,刘备,366,韩遂,8
127,孙权,250,荀攸,4
127,孙权,366,韩遂,4
232,周瑜,250,荀攸,3
232,周瑜,366,韩遂,3
234,庞统,250,荀攸,3
234,庞统,366,韩遂,3
250,荀攸,321,诸葛亮,3
250,荀攸,348,曹操,6
250,荀攸,366,韩遂,4
321,诸葛亮,366,韩遂,3
348,曹操,366,韩遂,6
15,马腾,123,许褚,18
15,马腾,301,夏侯渊,18
15,马腾,306,徐晃,18
15,马腾,340,曹洪,18
123,许褚,301,夏侯渊,4
123,许褚,306,徐晃,4
123,许褚,340,曹洪,4
123,许褚,348,曹操,9
301,夏侯渊,306,徐晃,4
301,夏侯渊,340,曹洪,4
301,夏侯渊,348,曹操,9
306,徐晃,340,曹洪,4
306,徐晃,348,曹操,9
340,曹洪,348,曹操,9
