label1,node1,label2,node2,link_num
101,刘备,127,孙权,16
101,刘备,182,张辽,4
101,刘备,218,陈群,7
127,孙权,182,张辽,3
127,孙权,218,陈群,6
182,张辽,218,陈群,5
13,马超,15,马腾,3
13,马超,101,刘备,12
13,马超,127,孙权,3
13,马超,191,张昭,3
13,马超,321,诸葛亮,7
13,马超,348,曹操,63
13,马超,377,鲁肃,7
15,马腾,101,刘备,11
15,马腾,127,孙权,2
15,马腾,191,张昭,2
15,马腾,321,诸葛亮,6
15,马腾,348,曹操,2
15,马腾,377,鲁肃,6
101,刘备,191,张昭,11
101,刘备,321,诸葛亮,15
101,刘备,348,曹操,11
101,刘备,377,鲁肃,15
127,孙权,191,张昭,2
127,孙权,321,诸葛亮,6
127,孙权,348,曹操,2
127,孙权,377,鲁肃,6
191,张昭,321,诸葛亮,6
191,张昭,348,曹操,2
191,张昭,377,鲁肃,6
321,诸葛亮,348,曹操,6
321,诸葛亮,377,鲁肃,10
348,曹操,377,鲁肃,6
13,马超,235,庞德,49
13,马超,270,郤正,3
235,庞德,270,郤正,4
13,马超,366,韩遂,35
348,曹操,366,韩遂,16
235,庞德,366,韩遂,22
13,马超,265,钟繇,19
235,庞德,265,钟繇,14
235,庞德,348,曹操,27
265,钟繇,348,曹操,11
265,钟繇,366,韩遂,10
265,钟繇,306,徐晃,9
265,钟繇,332,曹仁,5
265,钟繇,340,曹洪,13
306,徐晃,332,曹仁,13
306,徐晃,340,曹洪,25
306,徐晃,348,曹操,23
332,曹仁,340,曹洪,17
332,曹仁,348,曹操,25
340,曹洪,348,曹操,33
13,马超,306,徐晃,24
13,马超,332,曹仁,28
13,马超,340,曹洪,35
235,庞德,306,徐晃,13
235,庞德,332,曹仁,17
235,庞德,340,曹洪,14
6,于禁,13,马超,6
6,于禁,188,张郃,3
6,于禁,235,庞德,4
6,于禁,301,夏侯渊,3
6,于禁,332,曹仁,4
6,于禁,348,曹操,9
13,马超,188,张郃,5
13,马超,301,夏侯渊,15
188,张郃,235,庞德,3
188,张郃,301,夏侯渊,2
188,张郃,332,曹仁,3
188,张郃,348,曹操,8
235,庞德,301,夏侯渊,5
301,夏侯渊,332,曹仁,3
301,夏侯渊,348,曹操,15
301,夏侯渊,340,曹洪,3
13,马超,123,许褚,18
13,马超,390,管恪,11
123,许褚,235,庞德,9
123,许褚,306,徐晃,12
123,许褚,332,曹仁,9
123,许褚,340,曹洪,9
123,许褚,348,曹操,17
123,许褚,366,韩遂,10
123,许褚,390,管恪,9
235,庞德,390,管恪,2
306,徐晃,366,韩遂,6
306,徐晃,390,管恪,5
332,曹仁,366,韩遂,8
332,曹仁,390,管恪,2
340,曹洪,366,韩遂,3
340,曹洪,390,管恪,2
348,曹操,390,管恪,10
366,韩遂,390,管恪,3
