label1,node1,label2,node2,link_num
13,马超,348,曹操,65
13,马超,366,韩遂,64
348,曹操,366,韩遂,47
13,马超,235,庞德,34
13,马超,250,荀攸,4
13,马超,273,娄圭,8
13,马超,332,曹仁,4
235,庞德,250,荀攸,2
235,庞德,273,娄圭,6
235,庞德,332,曹仁,2
235,庞德,348,曹操,17
235,庞德,366,韩遂,29
250,荀攸,273,娄圭,6
250,荀攸,332,曹仁,2
250,荀攸,348,曹操,4
250,荀攸,366,韩遂,2
273,娄圭,332,曹仁,6
273,娄圭,348,曹操,8
273,娄圭,366,韩遂,6
332,曹仁,348,曹操,4
332,曹仁,366,韩遂,2
13,马超,123,许褚,41
123,许褚,348,曹操,19
13,马超,75,吕布,11
13,马超,301,夏侯渊,36
13,马超,340,曹洪,26
75,吕布,123,许褚,5
75,吕布,235,庞德,3
75,吕布,301,夏侯渊,2
75,吕布,340,曹洪,2
75,吕布,348,曹操,4
75,吕布,366,韩遂,5
123,许褚,235,庞德,12
123,许褚,301,夏侯渊,7
123,许褚,340,曹洪,8
123,许褚,366,韩遂,25
235,庞德,301,夏侯渊,9
235,庞德,340,曹洪,10
301,夏侯渊,340,曹洪,5
301,夏侯渊,348,曹操,18
301,夏侯渊,366,韩遂,22
340,曹洪,348,曹操,9
340,曹洪,366,韩遂,23
13,马超,306,徐晃,29
301,夏侯渊,306,徐晃,9
306,徐晃,348,曹操,16
13,马超,294,贾诩,24
294,贾诩,306,徐晃,7
294,贾诩,348,曹操,14
294,贾诩,366,韩遂,32
306,徐晃,366,韩遂,24
6,于禁,13,马超,19
6,于禁,15,马腾,3
6,于禁,123,许褚,3
6,于禁,235,庞德,7
6,于禁,294,贾诩,4
6,于禁,301,夏侯渊,3
6,于禁,306,徐晃,3
6,于禁,340,曹洪,4
6,于禁,348,曹操,7
6,于禁,366,韩遂,20
13,马超,15,马腾,21
15,马腾,123,许褚,2
15,马腾,235,庞德,6
15,马腾,294,贾诩,3
15,马腾,301,夏侯渊,5
15,马腾,306,徐晃,4
15,马腾,340,曹洪,3
15,马腾,348,曹操,9
15,马腾,366,韩遂,19
123,许褚,294,贾诩,3
123,许褚,306,徐晃,2
235,庞德,294,贾诩,7
235,庞德,306,徐晃,6
294,贾诩,301,夏侯渊,3
294,贾诩,340,曹洪,4
306,徐晃,340,曹洪,3
13,马超,36,韦康,4
13,马超,154,唐阜,4
36,韦康,75,吕布,2
36,韦康,154,唐阜,2
36,韦康,348,曹操,2
36,韦康,366,韩遂,2
75,吕布,154,唐阜,2
154,唐阜,348,曹操,2
154,唐阜,366,韩遂,2
13,马超,113,刘璋,3
13,马超,195,张既,3
13,马超,196,张鲁,6
15,马腾,113,刘璋,2
15,马腾,195,张既,2
15,马腾,196,张鲁,5
113,刘璋,195,张既,2
113,刘璋,196,张鲁,12
113,刘璋,301,夏侯渊,3
113,刘璋,306,徐晃,2
113,刘璋,348,曹操,3
195,张既,196,张鲁,5
195,张既,301,夏侯渊,3
195,张既,306,徐晃,2
195,张既,348,曹操,3
196,张鲁,301,夏侯渊,6
196,张鲁,306,徐晃,5
196,张鲁,348,曹操,6
108,刘焉,113,刘璋,4
108,刘焉,196,张鲁,5
