label1,node1,label2,node2,link_num
130,孙坚,354,董卓,19
101,刘备,130,孙坚,5
101,刘备,181,张飞,2
101,刘备,281,袁术,5
101,刘备,283,袁绍,7
101,刘备,331,黄盖,2
101,刘备,354,董卓,7
101,刘备,372,程普,2
130,孙坚,181,张飞,3
130,孙坚,281,袁术,5
130,孙坚,283,袁绍,22
130,孙坚,331,黄盖,13
130,孙坚,372,程普,6
181,张飞,281,袁术,2
181,张飞,283,袁绍,2
181,张飞,331,黄盖,2
181,张飞,354,董卓,2
181,张飞,372,程普,2
281,袁术,283,袁绍,9
281,袁术,331,黄盖,2
281,袁术,354,董卓,8
281,袁术,372,程普,2
283,袁绍,331,黄盖,9
283,袁绍,354,董卓,18
283,袁绍,372,程普,6
331,黄盖,354,董卓,4
331,黄盖,372,程普,4
354,董卓,372,程普,4
75,吕布,85,伍琼,2
75,吕布,130,孙坚,10
75,吕布,157,杨彪,3
75,吕布,229,周毖,2
75,吕布,253,荀爽,3
75,吕布,281,袁术,2
75,吕布,283,袁绍,3
75,吕布,354,董卓,13
85,伍琼,130,孙坚,2
85,伍琼,157,杨彪,3
85,伍琼,229,周毖,2
85,伍琼,253,荀爽,3
85,伍琼,281,袁术,2
85,伍琼,283,袁绍,3
85,伍琼,354,董卓,4
130,孙坚,157,杨彪,3
130,孙坚,229,周毖,2
130,孙坚,253,荀爽,3
157,杨彪,229,周毖,3
157,杨彪,253,荀爽,4
157,杨彪,281,袁术,3
157,杨彪,283,袁绍,4
157,杨彪,354,董卓,5
229,周毖,253,荀爽,3
229,周毖,281,袁术,2
229,周毖,283,袁绍,3
229,周毖,354,董卓,4
253,荀爽,281,袁术,3
253,荀爽,283,袁绍,4
253,荀爽,354,董卓,5
75,吕布,101,刘备,2
60,乐进,130,孙坚,4
60,乐进,160,李典,4
60,乐进,283,袁绍,3
60,乐进,301,夏侯渊,5
60,乐进,332,曹仁,5
60,乐进,340,曹洪,4
60,乐进,348,曹操,8
60,乐进,354,董卓,5
130,孙坚,160,李典,4
130,孙坚,301,夏侯渊,5
130,孙坚,332,曹仁,5
130,孙坚,340,曹洪,4
130,孙坚,348,曹操,8
160,李典,283,袁绍,3
160,李典,301,夏侯渊,5
160,李典,332,曹仁,5
160,李典,340,曹洪,4
160,李典,348,曹操,8
160,李典,354,董卓,5
283,袁绍,301,夏侯渊,3
283,袁绍,332,曹仁,3
283,袁绍,340,曹洪,3
283,袁绍,348,曹操,7
301,夏侯渊,332,曹仁,6
301,夏侯渊,340,曹洪,5
