label1,node1,label2,node2,link_num
155,杨修,187,张松,10
155,杨修,352,彭羕,2
187,张松,352,彭羕,5
13,马超,75,吕布,2
13,马超,113,刘璋,6
13,马超,187,张松,7
13,马超,196,张鲁,5
13,马超,321,诸葛亮,2
13,马超,348,曹操,6
13,马超,352,彭羕,2
75,吕布,113,刘璋,6
75,吕布,187,张松,5
75,吕布,196,张鲁,3
75,吕布,321,诸葛亮,2
75,吕布,348,曹操,5
75,吕布,352,彭羕,2
113,刘璋,187,张松,46
113,刘璋,196,张鲁,31
113,刘璋,321,诸葛亮,12
113,刘璋,348,曹操,25
113,刘璋,352,彭羕,4
187,张松,196,张鲁,28
187,张松,321,诸葛亮,21
187,张松,348,曹操,40
196,张鲁,321,诸葛亮,12
196,张鲁,348,曹操,22
196,张鲁,352,彭羕,3
321,诸葛亮,348,曹操,19
321,诸葛亮,352,彭羕,2
348,曹操,352,彭羕,3
13,马超,101,刘备,2
13,马超,127,孙权,2
101,刘备,113,刘璋,75
101,刘备,127,孙权,34
101,刘备,187,张松,79
101,刘备,196,张鲁,46
101,刘备,348,曹操,47
113,刘璋,127,孙权,10
127,孙权,187,张松,16
127,孙权,196,张鲁,11
127,孙权,348,曹操,15
113,刘璋,155,杨修,7
113,刘璋,157,杨彪,2
155,杨修,157,杨彪,4
155,杨修,348,曹操,8
157,杨彪,187,张松,3
157,杨彪,348,曹操,3
187,张松,275,祢衡,5
275,祢衡,348,曹操,3
15,马腾,59,史涣,2
15,马腾,75,吕布,2
15,马腾,101,刘备,4
15,马腾,113,刘璋,2
15,马腾,118,关羽,3
15,马腾,155,杨修,3
15,马腾,187,张松,2
15,马腾,246,赵云,6
15,马腾,252,荀彧,2
15,马腾,348,曹操,2
59,史涣,75,吕布,2
59,史涣,101,刘备,4
59,史涣,113,刘璋,2
59,史涣,118,关羽,3
59,史涣,155,杨修,3
59,史涣,187,张松,2
59,史涣,246,赵云,6
59,史涣,252,荀彧,2
59,史涣,348,曹操,2
75,吕布,101,刘备,4
75,吕布,118,关羽,3
75,吕布,155,杨修,3
75,吕布,246,赵云,6
75,吕布,252,荀彧,2
101,刘备,118,关羽,27
101,刘备,155,杨修,5
101,刘备,246,赵云,29
101,刘备,252,荀彧,4
113,刘璋,118,关羽,8
113,刘璋,246,赵云,9
113,刘璋,252,荀彧,2
118,关羽,155,杨修,4
118,关羽,187,张松,10
118,关羽,246,赵云,11
118,关羽,252,荀彧,3
118,关羽,348,曹操,11
155,杨修,246,赵云,7
155,杨修,252,荀彧,3
187,张松,246,赵云,15
187,张松,252,荀彧,2
246,赵云,252,荀彧,6
246,赵云,348,曹操,16
252,荀彧,348,曹操,2
101,刘备,234,庞统,50
101,刘备,320,诸葛诞,6
101,刘备,321,诸葛亮,42
187,张松,234,庞统,20
187,张松,320,诸葛诞,2
234,庞统,320,诸葛诞,2
234,庞统,321,诸葛亮,12
320,诸葛诞,321,诸葛亮,2
101,刘备,239,法正,76
101,刘备,242,孟达,40
113,刘璋,239,法正,41
113,刘璋,242,孟达,18
118,关羽,127,孙权,5
118,关羽,196,张鲁,2
118,关羽,239,法正,11
118,关羽,242,孟达,3
118,关羽,321,诸葛亮,9
127,孙权,239,法正,15
127,孙权,242,孟达,6
127,孙权,321,诸葛亮,10
187,张松,239,法正,30
187,张松,242,孟达,17
196,张鲁,239,法正,26
196,张鲁,242,孟达,11
239,法正,242,孟达,17
239,法正,321,诸葛亮,19
239,法正,348,曹操,21
242,孟达,321,诸葛亮,6
242,孟达,348,曹操,10
101,刘备,329,黄权,33
101,刘备,330,黄忠,21
101,刘备,403,魏延,21
113,刘璋,234,庞统,19
113,刘璋,329,黄权,16
113,刘璋,330,黄忠,3
113,刘璋,403,魏延,3
127,孙权,234,庞统,6
127,孙权,246,赵云,5
127,孙权,329,黄权,2
127,孙权,330,黄忠,5
127,孙权,403,魏延,5
187,张松,329,黄权,19
187,张松,330,黄忠,9
187,张松,403,魏延,9
196,张鲁,234,庞统,10
196,张鲁,246,赵云,7
196,张鲁,329,黄权,9
196,张鲁,330,黄忠,7
196,张鲁,403,魏延,7
234,庞统,239,法正,17
234,庞统,242,孟达,5
234,庞统,246,赵云,7
234,庞统,329,黄权,9
234,庞统,330,黄忠,7
234,庞统,348,曹操,11
234,庞统,403,魏延,7
239,法正,246,赵云,9
239,法正,329,黄权,13
239,法正,330,黄忠,9
239,法正,403,魏延,9
242,孟达,246,赵云,3
242,孟达,329,黄权,10
242,孟达,330,黄忠,3
242,孟达,403,魏延,3
246,赵云,321,诸葛亮,9
246,赵云,329,黄权,2
246,赵云,330,黄忠,6
246,赵云,403,魏延,6
321,诸葛亮,329,黄权,2
