label1,node1,label2,node2,link_num
127,孙权,246,赵云,7
101,刘备,113,刘璋,25
101,刘备,196,张鲁,15
101,刘备,234,庞统,18
101,刘备,239,法正,16
101,刘备,403,魏延,18
113,刘璋,196,张鲁,12
113,刘璋,234,庞统,15
113,刘璋,239,法正,13
113,刘璋,403,魏延,15
196,张鲁,234,庞统,5
196,张鲁,239,法正,3
196,张鲁,403,魏延,5
234,庞统,239,法正,6
234,庞统,403,魏延,8
239,法正,403,魏延,6
101,刘备,127,孙权,19
101,刘备,191,张昭,10
101,刘备,305,顾雍,5
127,孙权,191,张昭,12
127,孙权,305,顾雍,6
191,张昭,305,顾雍,3
181,张飞,246,赵云,14
81,吕蒙,101,刘备,3
81,吕蒙,127,孙权,6
81,吕蒙,133,孙亮,3
81,吕蒙,181,张飞,3
81,吕蒙,185,张纮,4
81,吕蒙,246,赵云,3
81,吕蒙,321,诸葛亮,4
81,吕蒙,348,曹操,5
101,刘备,133,孙亮,2
101,刘备,181,张飞,2
101,刘备,185,张纮,3
101,刘备,246,赵云,2
101,刘备,321,诸葛亮,3
101,刘备,348,曹操,10
127,孙权,133,孙亮,5
127,孙权,181,张飞,5
127,孙权,185,张纮,6
127,孙权,321,诸葛亮,6
127,孙权,348,曹操,28
133,孙亮,181,张飞,2
133,孙亮,185,张纮,3
133,孙亮,246,赵云,2
133,孙亮,321,诸葛亮,3
133,孙亮,348,曹操,4
181,张飞,185,张纮,3
181,张飞,321,诸葛亮,3
181,张飞,348,曹操,4
185,张纮,246,赵云,3
185,张纮,321,诸葛亮,4
185,张纮,348,曹操,5
246,赵云,321,诸葛亮,3
246,赵云,348,曹操,4
321,诸葛亮,348,曹操,5
251,荀恽,252,荀彧,5
251,荀恽,348,曹操,6
251,荀恽,356,董昭,3
252,荀彧,348,曹操,9
252,荀彧,356,董昭,6
348,曹操,356,董昭,7
99,刘表,123,许褚,4
99,刘表,127,孙权,5
99,刘表,230,周泰,2
99,刘表,340,曹洪,2
99,刘表,348,曹操,5
99,刘表,363,韩当,2
99,刘表,371,程昱,2
123,许褚,127,孙权,12
123,许褚,230,周泰,6
123,许褚,340,曹洪,4
123,许褚,348,曹操,10
123,许褚,363,韩当,6
123,许褚,371,程昱,6
127,孙权,230,周泰,10
127,孙权,340,曹洪,5
127,孙权,363,韩当,10
127,孙权,371,程昱,10
230,周泰,340,曹洪,2
230,周泰,348,曹操,8
230,周泰,363,韩当,4
230,周泰,371,程昱,4
340,曹洪,348,曹操,5
340,曹洪,363,韩当,2
340,曹洪,371,程昱,2
348,曹操,363,韩当,8
348,曹操,371,程昱,8
363,韩当,371,程昱,4
123,许褚,210,陈武,2
123,许褚,397,潘璋,2
127,孙权,210,陈武,5
127,孙权,397,潘璋,5
210,陈武,230,周泰,2
210,陈武,348,曹操,3
210,陈武,363,韩当,2
210,陈武,371,程昱,2
210,陈武,397,潘璋,2
230,周泰,397,潘璋,2
348,曹操,397,潘璋,3
363,韩当,397,潘璋,2
371,程昱,397,潘璋,2
191,张昭,348,曹操,6
