label1,node1,label2,node2,link_num
101,刘备,113,刘璋,42
101,刘备,127,孙权,13
101,刘备,191,张昭,5
101,刘备,196,张鲁,11
101,刘备,234,庞统,68
101,刘备,321,诸葛亮,6
101,刘备,348,曹操,14
113,刘璋,127,孙权,7
113,刘璋,191,张昭,4
113,刘璋,196,张鲁,5
113,刘璋,234,庞统,14
113,刘璋,321,诸葛亮,5
113,刘璋,348,曹操,12
127,孙权,191,张昭,5
127,孙权,196,张鲁,8
127,孙权,234,庞统,10
127,孙权,321,诸葛亮,6
127,孙权,348,曹操,9
191,张昭,196,张鲁,3
191,张昭,234,庞统,3
191,张昭,321,诸葛亮,3
191,张昭,348,曹操,6
196,张鲁,234,庞统,8
196,张鲁,321,诸葛亮,4
196,张鲁,348,曹操,7
234,庞统,321,诸葛亮,4
234,庞统,348,曹操,7
321,诸葛亮,348,曹操,7
68,司马望,93,刘巴,3
68,司马望,101,刘备,9
68,司马望,113,刘璋,6
68,司马望,234,庞统,3
68,司马望,329,黄权,2
93,刘巴,101,刘备,10
93,刘巴,113,刘璋,7
93,刘巴,234,庞统,4
93,刘巴,329,黄权,3
101,刘备,329,黄权,18
113,刘璋,329,黄权,10
234,庞统,329,黄权,3
60,乐进,101,刘备,5
60,乐进,113,刘璋,4
60,乐进,187,张松,4
60,乐进,348,曹操,2
101,刘备,187,张松,12
113,刘璋,187,张松,8
187,张松,348,曹操,4
187,张松,329,黄权,2
101,刘备,330,黄忠,57
101,刘备,403,魏延,55
234,庞统,330,黄忠,29
234,庞统,403,魏延,26
330,黄忠,403,魏延,41
113,刘璋,330,黄忠,2
99,刘表,101,刘备,5
99,刘表,127,孙权,2
99,刘表,196,张鲁,2
99,刘表,234,庞统,4
99,刘表,239,法正,5
99,刘表,242,孟达,3
99,刘表,330,黄忠,2
99,刘表,401,霍峻,3
99,刘表,403,魏延,2
101,刘备,239,法正,8
101,刘备,242,孟达,6
101,刘备,401,霍峻,6
127,孙权,239,法正,5
127,孙权,242,孟达,3
127,孙权,330,黄忠,2
127,孙权,401,霍峻,3
127,孙权,403,魏延,2
196,张鲁,239,法正,5
196,张鲁,242,孟达,3
196,张鲁,330,黄忠,2
196,张鲁,401,霍峻,3
196,张鲁,403,魏延,2
234,庞统,239,法正,7
234,庞统,242,孟达,5
234,庞统,401,霍峻,5
239,法正,242,孟达,6
239,法正,330,黄忠,5
239,法正,401,霍峻,6
239,法正,403,魏延,5
242,孟达,330,黄忠,3
242,孟达,401,霍峻,4
242,孟达,403,魏延,3
330,黄忠,401,霍峻,3
401,霍峻,403,魏延,3
