label1,node1,label2,node2,link_num
13,马超,321,诸葛亮,2
101,刘备,181,张飞,57
101,刘备,246,赵云,44
101,刘备,321,诸葛亮,55
101,刘备,330,黄忠,46
101,刘备,403,魏延,45
181,张飞,246,赵云,29
181,张飞,321,诸葛亮,40
181,张飞,330,黄忠,30
181,张飞,403,魏延,29
246,赵云,321,诸葛亮,27
246,赵云,330,黄忠,17
246,赵云,403,魏延,16
321,诸葛亮,330,黄忠,26
321,诸葛亮,403,魏延,25
330,黄忠,403,魏延,21
101,刘备,113,刘璋,27
101,刘备,202,张翼,18
101,刘备,362,蒋琬,5
101,刘备,383,简雍,5
113,刘璋,181,张飞,10
113,刘璋,202,张翼,8
113,刘璋,246,赵云,10
113,刘璋,321,诸葛亮,20
113,刘璋,330,黄忠,5
113,刘璋,362,蒋琬,2
113,刘璋,383,简雍,2
113,刘璋,403,魏延,5
181,张飞,202,张翼,12
181,张飞,362,蒋琬,3
181,张飞,383,简雍,3
202,张翼,246,赵云,12
202,张翼,321,诸葛亮,22
202,张翼,330,黄忠,7
202,张翼,362,蒋琬,2
202,张翼,383,简雍,2
202,张翼,403,魏延,7
246,赵云,362,蒋琬,4
246,赵云,383,简雍,4
321,诸葛亮,362,蒋琬,7
321,诸葛亮,383,简雍,7
330,黄忠,362,蒋琬,3
330,黄忠,383,简雍,3
362,蒋琬,383,简雍,2
362,蒋琬,403,魏延,3
383,简雍,403,魏延,3
101,刘备,348,曹操,14
113,刘璋,348,曹操,9
181,张飞,348,曹操,4
202,张翼,348,曹操,4
246,赵云,348,曹操,3
321,诸葛亮,348,曹操,8
330,黄忠,348,曹操,2
348,曹操,403,魏延,2
101,刘备,239,法正,6
113,刘璋,239,法正,9
181,张飞,239,法正,4
202,张翼,239,法正,3
239,法正,246,赵云,4
239,法正,321,诸葛亮,6
101,刘备,159,李严,4
101,刘备,276,费观,5
113,刘璋,159,李严,7
113,刘璋,276,费观,8
159,李严,239,法正,3
159,李严,276,费观,5
239,法正,276,费观,4
13,马超,36,韦康,11
13,马超,101,刘备,18
13,马超,113,刘璋,20
13,马超,159,李严,4
13,马超,196,张鲁,21
13,马超,276,费观,4
13,马超,301,夏侯渊,27
13,马超,348,曹操,25
13,马超,355,董和,5
36,韦康,101,刘备,6
36,韦康,113,刘璋,6
36,韦康,159,李严,6
36,韦康,196,张鲁,6
36,韦康,276,费观,6
36,韦康,301,夏侯渊,6
36,韦康,348,曹操,6
36,韦康,355,董和,7
101,刘备,196,张鲁,7
101,刘备,301,夏侯渊,7
101,刘备,355,董和,3
113,刘璋,196,张鲁,9
113,刘璋,301,夏侯渊,9
113,刘璋,355,董和,3
159,李严,196,张鲁,2
159,李严,301,夏侯渊,2
159,李严,348,曹操,2
159,李严,355,董和,3
196,张鲁,276,费观,2
196,张鲁,301,夏侯渊,10
196,张鲁,348,曹操,8
196,张鲁,355,董和,3
276,费观,301,夏侯渊,2
276,费观,348,曹操,2
276,费观,355,董和,3
301,夏侯渊,348,曹操,10
301,夏侯渊,355,董和,3
348,曹操,355,董和,3
13,马超,154,唐阜,5
13,马超,271,姜叙,37
154,唐阜,271,姜叙,4
13,马超,43,尹奉,27
13,马超,248,赵昂,29
36,韦康,43,尹奉,4
36,韦康,248,赵昂,6
36,韦康,271,姜叙,3
43,尹奉,248,赵昂,16
43,尹奉,271,姜叙,17
248,赵昂,271,姜叙,19
13,马超,235,庞德,23
43,尹奉,235,庞德,9
43,尹奉,301,夏侯渊,9
43,尹奉,348,曹操,7
235,庞德,248,赵昂,9
235,庞德,271,姜叙,13
235,庞德,301,夏侯渊,10
235,庞德,348,曹操,8
248,赵昂,301,夏侯渊,9
248,赵昂,348,曹操,7
271,姜叙,301,夏侯渊,13
271,姜叙,348,曹操,11
13,马超,329,黄权,15
43,尹奉,101,刘备,3
43,尹奉,113,刘璋,5
43,尹奉,196,张鲁,6
43,尹奉,329,黄权,4
101,刘备,235,庞德,5
101,刘备,248,赵昂,3
101,刘备,271,姜叙,5
101,刘备,329,黄权,3
113,刘璋,235,庞德,7
113,刘璋,248,赵昂,5
113,刘璋,271,姜叙,7
113,刘璋,329,黄权,5
196,张鲁,235,庞德,8
196,张鲁,248,赵昂,6
196,张鲁,271,姜叙,8
196,张鲁,329,黄权,6
235,庞德,329,黄权,6
248,赵昂,329,黄权,4
271,姜叙,329,黄权,6
301,夏侯渊,329,黄权,6
329,黄权,348,曹操,4
