label1,node1,label2,node2,link_num
13,马超,101,刘备,110
13,马超,113,刘璋,57
13,马超,196,张鲁,54
13,马超,235,庞德,3
13,马超,329,黄权,9
101,刘备,113,刘璋,64
101,刘备,196,张鲁,32
101,刘备,235,庞德,2
101,刘备,329,黄权,11
113,刘璋,196,张鲁,27
113,刘璋,235,庞德,3
113,刘璋,329,黄权,18
196,张鲁,235,庞德,4
196,张鲁,329,黄权,7
235,庞德,329,黄权,2
101,刘备,159,李严,26
101,刘备,239,法正,28
101,刘备,276,费观,21
101,刘备,321,诸葛亮,82
101,刘备,330,黄忠,44
101,刘备,403,魏延,42
113,刘璋,159,李严,17
113,刘璋,239,法正,18
113,刘璋,276,费观,12
113,刘璋,321,诸葛亮,31
113,刘璋,330,黄忠,19
113,刘璋,403,魏延,10
159,李严,239,法正,13
159,李严,276,费观,15
159,李严,321,诸葛亮,19
159,李严,330,黄忠,16
159,李严,403,魏延,13
239,法正,276,费观,8
239,法正,321,诸葛亮,22
239,法正,330,黄忠,9
239,法正,403,魏延,6
276,费观,321,诸葛亮,14
276,费观,330,黄忠,11
276,费观,403,魏延,8
321,诸葛亮,330,黄忠,24
321,诸葛亮,403,魏延,27
330,黄忠,403,魏延,9
13,马超,118,关羽,23
13,马超,181,张飞,94
13,马超,242,孟达,13
13,马超,246,赵云,45
13,马超,321,诸葛亮,75
13,马超,348,曹操,14
13,马超,401,霍峻,13
13,马超,403,魏延,32
101,刘备,118,关羽,24
101,刘备,181,张飞,81
101,刘备,242,孟达,17
101,刘备,246,赵云,41
101,刘备,348,曹操,11
101,刘备,401,霍峻,17
118,关羽,181,张飞,16
118,关羽,196,张鲁,3
118,关羽,242,孟达,6
118,关羽,246,赵云,7
118,关羽,321,诸葛亮,22
118,关羽,348,曹操,5
118,关羽,401,霍峻,6
118,关羽,403,魏延,6
181,张飞,196,张鲁,25
181,张飞,242,孟达,7
181,张飞,246,赵云,24
181,张飞,321,诸葛亮,61
181,张飞,348,曹操,7
181,张飞,401,霍峻,7
181,张飞,403,魏延,35
196,张鲁,242,孟达,2
196,张鲁,246,赵云,11
196,张鲁,321,诸葛亮,20
196,张鲁,348,曹操,6
196,张鲁,401,霍峻,2
196,张鲁,403,魏延,2
242,孟达,246,赵云,9
242,孟达,321,诸葛亮,10
242,孟达,348,曹操,4
242,孟达,401,霍峻,6
242,孟达,403,魏延,4
246,赵云,321,诸葛亮,25
246,赵云,348,曹操,7
246,赵云,401,霍峻,9
246,赵云,403,魏延,5
321,诸葛亮,348,曹操,12
321,诸葛亮,401,霍峻,10
348,曹操,401,霍峻,4
348,曹操,403,魏延,4
401,霍峻,403,魏延,4
13,马超,202,张翼,17
101,刘备,202,张翼,20
181,张飞,202,张翼,23
202,张翼,321,诸葛亮,6
202,张翼,403,魏延,11
13,马超,137,孙乾,35
13,马超,162,李恢,37
13,马超,330,黄忠,33
101,刘备,137,孙乾,32
101,刘备,162,李恢,30
113,刘璋,137,孙乾,13
113,刘璋,162,李恢,15
113,刘璋,181,张飞,22
113,刘璋,246,赵云,16
137,孙乾,162,李恢,7
137,孙乾,181,张飞,19
137,孙乾,196,张鲁,9
137,孙乾,246,赵云,11
137,孙乾,321,诸葛亮,15
137,孙乾,330,黄忠,8
162,李恢,181,张飞,18
162,李恢,196,张鲁,12
162,李恢,246,赵云,6
162,李恢,321,诸葛亮,14
162,李恢,330,黄忠,5
181,张飞,330,黄忠,17
196,张鲁,330,黄忠,7
246,赵云,330,黄忠,9
113,刘璋,348,曹操,5
162,李恢,348,曹操,4
113,刘璋,242,孟达,7
113,刘璋,401,霍峻,7
137,孙乾,242,孟达,4
137,孙乾,401,霍峻,4
242,孟达,330,黄忠,4
330,黄忠,401,霍峻,4
13,马超,93,刘巴,6
13,马超,122,许靖,5
13,马超,355,董和,5
13,马超,393,谯周,5
93,刘巴,113,刘璋,15
93,刘巴,122,许靖,5
93,刘巴,196,张鲁,3
93,刘巴,329,黄权,6
93,刘巴,355,董和,5
93,刘巴,393,谯周,5
113,刘璋,122,许靖,14
113,刘璋,355,董和,14
113,刘璋,393,谯周,14
