label1,node1,label2,node2,link_num
101,刘备,127,孙权,26
101,刘备,191,张昭,3
101,刘备,321,诸葛亮,28
101,刘备,326,诸葛瑾,18
127,孙权,191,张昭,2
127,孙权,321,诸葛亮,12
127,孙权,326,诸葛瑾,15
191,张昭,321,诸葛亮,2
191,张昭,326,诸葛瑾,5
321,诸葛亮,326,诸葛瑾,14
101,刘备,118,关羽,28
118,关羽,127,孙权,38
118,关羽,321,诸葛亮,17
118,关羽,326,诸葛瑾,16
52,甘宁,81,吕蒙,7
52,甘宁,101,刘备,3
52,甘宁,118,关羽,26
52,甘宁,127,孙权,9
52,甘宁,377,鲁肃,21
81,吕蒙,101,刘备,3
81,吕蒙,118,关羽,27
81,吕蒙,127,孙权,10
81,吕蒙,377,鲁肃,22
101,刘备,377,鲁肃,8
118,关羽,377,鲁肃,41
127,孙权,377,鲁肃,24
11,马良,52,甘宁,2
11,马良,81,吕蒙,2
11,马良,118,关羽,8
11,马良,127,孙权,2
11,马良,326,诸葛瑾,2
11,马良,377,鲁肃,7
52,甘宁,326,诸葛瑾,2
81,吕蒙,326,诸葛瑾,2
326,诸葛瑾,377,鲁肃,7
52,甘宁,348,曹操,3
81,吕蒙,348,曹操,4
118,关羽,348,曹操,13
127,孙权,348,曹操,14
348,曹操,377,鲁肃,8
6,于禁,34,王粲,2
6,于禁,101,刘备,3
6,于禁,127,孙权,3
6,于禁,223,和洽,2
6,于禁,250,荀攸,3
6,于禁,252,荀彧,2
6,于禁,258,胡质,2
6,于禁,348,曹操,6
6,于禁,374,傅干,3
34,王粲,101,刘备,3
34,王粲,127,孙权,3
34,王粲,223,和洽,2
34,王粲,250,荀攸,3
34,王粲,252,荀彧,2
34,王粲,258,胡质,2
34,王粲,348,曹操,6
34,王粲,374,傅干,3
101,刘备,223,和洽,3
101,刘备,250,荀攸,4
101,刘备,252,荀彧,3
101,刘备,258,胡质,3
101,刘备,348,曹操,7
101,刘备,374,傅干,4
127,孙权,223,和洽,3
127,孙权,250,荀攸,4
127,孙权,252,荀彧,3
127,孙权,258,胡质,3
127,孙权,374,傅干,4
223,和洽,250,荀攸,3
223,和洽,252,荀彧,2
223,和洽,258,胡质,2
223,和洽,348,曹操,6
223,和洽,374,傅干,3
250,荀攸,252,荀彧,3
250,荀攸,258,胡质,3
250,荀攸,348,曹操,7
250,荀攸,374,傅干,4
252,荀彧,258,胡质,2
252,荀彧,348,曹操,6
252,荀彧,374,傅干,3
258,胡质,348,曹操,6
258,胡质,374,傅干,3
348,曹操,374,傅干,7
88,华歆,127,孙权,7
88,华歆,167,邴原,8
88,华歆,231,周鲂,7
88,华歆,269,郗虑,12
88,华歆,348,曹操,9
88,华歆,389,管宁,11
127,孙权,167,邴原,3
127,孙权,231,周鲂,2
127,孙权,269,郗虑,3
127,孙权,389,管宁,6
167,邴原,231,周鲂,3
167,邴原,269,郗虑,4
167,邴原,348,曹操,5
167,邴原,389,管宁,7
231,周鲂,269,郗虑,3
231,周鲂,348,曹操,4
231,周鲂,389,管宁,6
269,郗虑,348,曹操,5
269,郗虑,389,管宁,7
348,曹操,389,管宁,8
123,许褚,196,张鲁,6
123,许褚,294,贾诩,6
123,许褚,332,曹仁,9
123,许褚,348,曹操,8
196,张鲁,294,贾诩,2
196,张鲁,332,曹仁,5
196,张鲁,348,曹操,4
294,贾诩,332,曹仁,5
294,贾诩,348,曹操,4
332,曹仁,348,曹操,7
