label1,node1,label2,node2,link_num
182,张辽,348,曹操,22
123,许褚,188,张郃,14
123,许褚,196,张鲁,30
123,许褚,301,夏侯渊,14
123,许褚,306,徐晃,14
123,许褚,332,曹仁,6
123,许褚,348,曹操,23
123,许褚,390,管恪,6
188,张郃,196,张鲁,22
188,张郃,301,夏侯渊,27
188,张郃,306,徐晃,14
188,张郃,332,曹仁,5
188,张郃,348,曹操,30
188,张郃,390,管恪,5
196,张鲁,301,夏侯渊,23
196,张鲁,306,徐晃,14
196,张鲁,332,曹仁,3
196,张鲁,348,曹操,45
196,张鲁,390,管恪,3
301,夏侯渊,306,徐晃,14
301,夏侯渊,332,曹仁,5
301,夏侯渊,348,曹操,31
301,夏侯渊,390,管恪,5
306,徐晃,332,曹仁,5
306,徐晃,348,曹操,14
306,徐晃,390,管恪,5
332,曹仁,348,曹操,5
332,曹仁,390,管恪,2
348,曹操,390,管恪,5
188,张郃,294,贾诩,5
294,贾诩,301,夏侯渊,5
294,贾诩,348,曹操,7
13,马超,188,张郃,8
13,马超,196,张鲁,11
13,马超,235,庞德,15
13,马超,301,夏侯渊,9
13,马超,348,曹操,11
188,张郃,235,庞德,23
196,张鲁,235,庞德,49
235,庞德,301,夏侯渊,24
235,庞德,348,曹操,42
13,马超,123,许褚,2
13,马超,294,贾诩,2
13,马超,306,徐晃,2
123,许褚,235,庞德,28
123,许褚,294,贾诩,2
196,张鲁,294,贾诩,5
235,庞德,294,贾诩,11
235,庞德,306,徐晃,17
294,贾诩,306,徐晃,2
70,司马懿,90,伊籍,4
70,司马懿,101,刘备,7
70,司马懿,105,刘晔,3
70,司马懿,113,刘璋,3
70,司马懿,118,关羽,3
70,司马懿,127,孙权,3
70,司马懿,321,诸葛亮,5
70,司马懿,348,曹操,7
90,伊籍,101,刘备,10
90,伊籍,105,刘晔,3
90,伊籍,113,刘璋,3
90,伊籍,118,关羽,3
90,伊籍,127,孙权,7
90,伊籍,321,诸葛亮,5
90,伊籍,348,曹操,13
101,刘备,105,刘晔,6
101,刘备,113,刘璋,6
101,刘备,118,关羽,6
101,刘备,127,孙权,9
101,刘备,321,诸葛亮,8
101,刘备,348,曹操,15
105,刘晔,113,刘璋,2
105,刘晔,118,关羽,2
105,刘晔,127,孙权,15
105,刘晔,321,诸葛亮,4
105,刘晔,348,曹操,9
113,刘璋,118,关羽,2
113,刘璋,127,孙权,2
113,刘璋,321,诸葛亮,4
113,刘璋,348,曹操,6
118,关羽,127,孙权,2
118,关羽,321,诸葛亮,4
118,关羽,348,曹操,6
127,孙权,321,诸葛亮,4
127,孙权,348,曹操,26
321,诸葛亮,348,曹操,8
52,甘宁,81,吕蒙,31
52,甘宁,90,伊籍,7
52,甘宁,101,刘备,6
52,甘宁,127,孙权,33
52,甘宁,182,张辽,26
52,甘宁,191,张昭,6
52,甘宁,210,陈武,6
52,甘宁,230,周泰,6
52,甘宁,307,徐盛,15
52,甘宁,312,凌统,27
52,甘宁,326,诸葛瑾,6
52,甘宁,331,黄盖,6
52,甘宁,348,曹操,18
52,甘宁,357,董袭,16
52,甘宁,360,蒋钦,6
52,甘宁,363,韩当,6
52,甘宁,372,程普,6
52,甘宁,377,鲁肃,6
52,甘宁,397,潘璋,6
81,吕蒙,90,伊籍,7
81,吕蒙,101,刘备,6
81,吕蒙,127,孙权,32
81,吕蒙,182,张辽,25
81,吕蒙,191,张昭,6
81,吕蒙,210,陈武,6
81,吕蒙,230,周泰,6
81,吕蒙,307,徐盛,14
81,吕蒙,312,凌统,26
81,吕蒙,326,诸葛瑾,6
81,吕蒙,331,黄盖,6
81,吕蒙,348,曹操,17
81,吕蒙,357,董袭,15
81,吕蒙,360,蒋钦,6
81,吕蒙,363,韩当,6
81,吕蒙,372,程普,6
81,吕蒙,377,鲁肃,6
81,吕蒙,397,潘璋,6
90,伊籍,182,张辽,3
90,伊籍,191,张昭,3
90,伊籍,210,陈武,3
90,伊籍,230,周泰,3
90,伊籍,307,徐盛,4
90,伊籍,312,凌统,3
90,伊籍,326,诸葛瑾,3
90,伊籍,331,黄盖,3
90,伊籍,357,董袭,4
90,伊籍,360,蒋钦,3
90,伊籍,363,韩当,3
90,伊籍,372,程普,3
90,伊籍,377,鲁肃,3
90,伊籍,397,潘璋,3
101,刘备,182,张辽,2
101,刘备,191,张昭,2
101,刘备,210,陈武,2
101,刘备,230,周泰,2
101,刘备,307,徐盛,3
101,刘备,312,凌统,2
101,刘备,326,诸葛瑾,2
101,刘备,331,黄盖,2
101,刘备,357,董袭,3
101,刘备,360,蒋钦,2
101,刘备,363,韩当,2
101,刘备,372,程普,2
101,刘备,377,鲁肃,2
101,刘备,397,潘璋,2
127,孙权,182,张辽,28
127,孙权,191,张昭,3
127,孙权,210,陈武,3
127,孙权,230,周泰,3
127,孙权,307,徐盛,17
127,孙权,312,凌统,28
127,孙权,326,诸葛瑾,3
127,孙权,331,黄盖,3
127,孙权,357,董袭,18
127,孙权,360,蒋钦,3
127,孙权,363,韩当,3
127,孙权,372,程普,3
127,孙权,377,鲁肃,3
127,孙权,397,潘璋,3
182,张辽,191,张昭,2
182,张辽,210,陈武,2
182,张辽,230,周泰,2
182,张辽,307,徐盛,17
182,张辽,312,凌统,22
182,张辽,326,诸葛瑾,2
182,张辽,331,黄盖,2
182,张辽,357,董袭,18
182,张辽,360,蒋钦,2
182,张辽,363,韩当,2
182,张辽,372,程普,2
182,张辽,377,鲁肃,2
182,张辽,397,潘璋,2
191,张昭,210,陈武,2
191,张昭,230,周泰,2
191,张昭,307,徐盛,3
191,张昭,312,凌统,2
191,张昭,326,诸葛瑾,2
191,张昭,331,黄盖,2
191,张昭,348,曹操,5
191,张昭,357,董袭,3
191,张昭,360,蒋钦,2
191,张昭,363,韩当,2
191,张昭,372,程普,2
191,张昭,377,鲁肃,2
191,张昭,397,潘璋,2
210,陈武,230,周泰,2
210,陈武,307,徐盛,3
210,陈武,312,凌统,2
210,陈武,326,诸葛瑾,2
210,陈武,331,黄盖,2
210,陈武,348,曹操,5
210,陈武,357,董袭,3
210,陈武,360,蒋钦,2
210,陈武,363,韩当,2
210,陈武,372,程普,2
210,陈武,377,鲁肃,2
210,陈武,397,潘璋,2
230,周泰,307,徐盛,3
230,周泰,312,凌统,2
230,周泰,326,诸葛瑾,2
230,周泰,331,黄盖,2
230,周泰,348,曹操,5
230,周泰,357,董袭,3
