label1,node1,label2,node2,link_num
52,甘宁,53,左慈,2
52,甘宁,348,曹操,28
53,左慈,348,曹操,20
52,甘宁,81,吕蒙,15
52,甘宁,127,孙权,26
52,甘宁,182,张辽,26
52,甘宁,191,张昭,15
52,甘宁,210,陈武,15
52,甘宁,230,周泰,15
52,甘宁,307,徐盛,22
52,甘宁,312,凌统,31
52,甘宁,357,董袭,23
81,吕蒙,127,孙权,22
81,吕蒙,182,张辽,7
81,吕蒙,191,张昭,6
81,吕蒙,210,陈武,10
81,吕蒙,230,周泰,15
81,吕蒙,307,徐盛,7
81,吕蒙,312,凌统,8
81,吕蒙,348,曹操,14
81,吕蒙,357,董袭,7
127,孙权,182,张辽,33
127,孙权,191,张昭,20
127,孙权,210,陈武,29
127,孙权,230,周泰,34
127,孙权,307,徐盛,30
127,孙权,312,凌统,21
127,孙权,348,曹操,36
127,孙权,357,董袭,26
182,张辽,191,张昭,5
182,张辽,210,陈武,11
182,张辽,230,周泰,16
182,张辽,307,徐盛,17
182,张辽,312,凌统,21
182,张辽,348,曹操,23
182,张辽,357,董袭,16
191,张昭,210,陈武,8
191,张昭,230,周泰,13
191,张昭,307,徐盛,5
191,张昭,312,凌统,8
191,张昭,348,曹操,12
191,张昭,357,董袭,5
210,陈武,230,周泰,19
210,陈武,307,徐盛,11
210,陈武,312,凌统,8
210,陈武,348,曹操,18
210,陈武,357,董袭,9
230,周泰,307,徐盛,16
230,周泰,312,凌统,8
230,周泰,348,曹操,23
230,周泰,357,董袭,14
307,徐盛,312,凌统,17
307,徐盛,348,曹操,20
307,徐盛,357,董袭,13
312,凌统,348,曹操,21
312,凌统,357,董袭,18
348,曹操,357,董袭,19
52,甘宁,60,乐进,9
52,甘宁,160,李典,8
52,甘宁,235,庞德,5
52,甘宁,306,徐晃,5
52,甘宁,334,曹休,6
60,乐进,127,孙权,6
60,乐进,160,李典,9
60,乐进,182,张辽,11
60,乐进,235,庞德,6
60,乐进,306,徐晃,6
60,乐进,307,徐盛,8
60,乐进,312,凌统,11
60,乐进,334,曹休,7
60,乐进,348,曹操,7
60,乐进,357,董袭,9
127,孙权,160,李典,10
127,孙权,235,庞德,21
127,孙权,306,徐晃,7
127,孙权,334,曹休,3
160,李典,182,张辽,12
160,李典,235,庞德,7
160,李典,306,徐晃,7
160,李典,307,徐盛,9
160,李典,312,凌统,10
160,李典,334,曹休,6
160,李典,348,曹操,8
160,李典,357,董袭,8
182,张辽,235,庞德,13
182,张辽,306,徐晃,9
182,张辽,334,曹休,8
235,庞德,306,徐晃,4
235,庞德,307,徐盛,11
235,庞德,312,凌统,7
235,庞德,334,曹休,3
235,庞德,348,曹操,12
235,庞德,357,董袭,10
306,徐晃,307,徐盛,6
306,徐晃,312,凌统,7
306,徐晃,334,曹休,3
