label1,node1,label2,node2,link_num
32,王基,53,左慈,2
32,王基,306,徐晃,2
32,王基,317,郭恩,3
32,王基,324,诸葛原,3
32,王基,348,曹操,3
32,王基,390,管恪,2
53,左慈,306,徐晃,2
53,左慈,317,郭恩,3
53,左慈,324,诸葛原,3
53,左慈,348,曹操,3
53,左慈,390,管恪,2
306,徐晃,317,郭恩,3
306,徐晃,324,诸葛原,3
306,徐晃,348,曹操,3
306,徐晃,390,管恪,4
317,郭恩,324,诸葛原,4
317,郭恩,348,曹操,4
317,郭恩,390,管恪,3
324,诸葛原,348,曹操,4
324,诸葛原,390,管恪,3
348,曹操,390,管恪,3
13,马超,70,司马懿,2
13,马超,101,刘备,2
13,马超,181,张飞,11
13,马超,188,张郃,13
13,马超,301,夏侯渊,9
13,马超,340,曹洪,14
13,马超,377,鲁肃,2
70,司马懿,101,刘备,2
70,司马懿,181,张飞,2
70,司马懿,188,张郃,2
70,司马懿,301,夏侯渊,2
70,司马懿,340,曹洪,2
70,司马懿,377,鲁肃,2
101,刘备,181,张飞,2
101,刘备,188,张郃,2
101,刘备,301,夏侯渊,2
101,刘备,340,曹洪,2
101,刘备,377,鲁肃,2
181,张飞,188,张郃,10
181,张飞,301,夏侯渊,6
181,张飞,340,曹洪,11
181,张飞,377,鲁肃,2
188,张郃,301,夏侯渊,8
188,张郃,340,曹洪,13
188,张郃,377,鲁肃,2
301,夏侯渊,340,曹洪,9
301,夏侯渊,377,鲁肃,2
340,曹洪,377,鲁肃,2
225,金袆,289,耿纪,6
225,金袆,348,曹操,3
289,耿纪,348,曹操,21
72,吉穆,73,吉邈,6
72,吉穆,289,耿纪,8
72,吉穆,334,曹休,3
72,吉穆,348,曹操,3
73,吉邈,289,耿纪,10
73,吉邈,334,曹休,5
73,吉邈,348,曹操,5
289,耿纪,334,曹休,14
334,曹休,348,曹操,8
88,华歆,265,钟繇,2
88,华歆,289,耿纪,6
88,华歆,334,曹休,3
88,华歆,348,曹操,5
265,钟繇,289,耿纪,6
265,钟繇,334,曹休,3
265,钟繇,348,曹操,5
