label1,node1,label2,node2,link_num
99,刘表,130,孙坚,31
99,刘表,283,袁绍,20
130,孙坚,283,袁绍,15
99,刘表,331,黄盖,16
99,刘表,363,韩当,14
99,刘表,372,程普,16
130,孙坚,331,黄盖,16
130,孙坚,363,韩当,16
130,孙坚,372,程普,14
331,黄盖,363,韩当,11
331,黄盖,372,程普,14
363,韩当,372,程普,10
40,公孙瓒,283,袁绍,39
40,公孙瓒,369,韩馥,20
283,袁绍,369,韩馥,18
40,公孙瓒,101,刘备,14
40,公孙瓒,255,荀谌,3
101,刘备,255,荀谌,2
101,刘备,283,袁绍,19
101,刘备,369,韩馥,3
255,荀谌,283,袁绍,6
255,荀谌,369,韩馥,3
56,田丰,120,许攸,2
56,田丰,201,张邈,2
56,田丰,369,韩馥,2
120,许攸,201,张邈,2
120,许攸,369,韩馥,2
201,张邈,369,韩馥,2
40,公孙瓒,354,董卓,6
283,袁绍,354,董卓,12
354,董卓,369,韩馥,2
40,公孙瓒,246,赵云,24
246,赵云,283,袁绍,20
246,赵云,369,韩馥,5
40,公孙瓒,56,田丰,4
56,田丰,246,赵云,5
56,田丰,283,袁绍,3
40,公孙瓒,118,关羽,3
40,公孙瓒,181,张飞,3
40,公孙瓒,202,张翼,3
101,刘备,118,关羽,5
101,刘备,181,张飞,5
101,刘备,202,张翼,5
101,刘备,246,赵云,9
118,关羽,181,张飞,2
118,关羽,202,张翼,2
118,关羽,246,赵云,2
118,关羽,283,袁绍,4
181,张飞,202,张翼,2
181,张飞,246,赵云,2
181,张飞,283,袁绍,4
202,张翼,246,赵云,2
202,张翼,283,袁绍,4
101,刘备,354,董卓,4
246,赵云,354,董卓,2
99,刘表,126,孙匡,7
99,刘表,127,孙权,7
99,刘表,140,孙翊,7
99,刘表,142,孙策,13
99,刘表,145,刘静,7
99,刘表,146,孙韶,7
99,刘表,281,袁术,9
99,刘表,354,董卓,7
99,刘表,378,蒯良,23
126,孙匡,127,孙权,2
126,孙匡,130,孙坚,5
126,孙匡,140,孙翊,2
126,孙匡,142,孙策,3
126,孙匡,145,刘静,2
126,孙匡,146,孙韶,2
126,孙匡,281,袁术,4
126,孙匡,283,袁绍,5
126,孙匡,331,黄盖,3
126,孙匡,354,董卓,2
126,孙匡,363,韩当,2
126,孙匡,372,程普,3
126,孙匡,378,蒯良,2
127,孙权,130,孙坚,5
127,孙权,140,孙翊,2
127,孙权,142,孙策,3
127,孙权,145,刘静,2
127,孙权,146,孙韶,2
127,孙权,281,袁术,4
127,孙权,283,袁绍,5
127,孙权,331,黄盖,3
127,孙权,354,董卓,2
127,孙权,363,韩当,2
127,孙权,372,程普,3
127,孙权,378,蒯良,2
130,孙坚,140,孙翊,5
130,孙坚,142,孙策,12
130,孙坚,145,刘静,5
130,孙坚,146,孙韶,5
130,孙坚,281,袁术,7
130,孙坚,354,董卓,5
130,孙坚,378,蒯良,16
140,孙翊,142,孙策,3
140,孙翊,145,刘静,2
140,孙翊,146,孙韶,2
140,孙翊,281,袁术,4
140,孙翊,283,袁绍,5
140,孙翊,331,黄盖,3
140,孙翊,354,董卓,2
140,孙翊,363,韩当,2
140,孙翊,372,程普,3
140,孙翊,378,蒯良,2
142,孙策,145,刘静,3
142,孙策,146,孙韶,3
142,孙策,281,袁术,5
142,孙策,283,袁绍,6
142,孙策,331,黄盖,13
142,孙策,354,董卓,3
142,孙策,363,韩当,8
142,孙策,372,程普,11
142,孙策,378,蒯良,5
145,刘静,146,孙韶,2
145,刘静,281,袁术,4
145,刘静,283,袁绍,5
145,刘静,331,黄盖,3
145,刘静,354,董卓,2
145,刘静,363,韩当,2
145,刘静,372,程普,3
145,刘静,378,蒯良,2
146,孙韶,281,袁术,4
146,孙韶,283,袁绍,5
146,孙韶,331,黄盖,3
146,孙韶,354,董卓,2
146,孙韶,363,韩当,2
146,孙韶,372,程普,3
146,孙韶,378,蒯良,2
281,袁术,283,袁绍,7
281,袁术,331,黄盖,5
281,袁术,354,董卓,4
281,袁术,363,韩当,4
281,袁术,372,程普,5
281,袁术,378,蒯良,4
283,袁绍,331,黄盖,6
283,袁绍,363,韩当,8
283,袁绍,372,程普,8
283,袁绍,378,蒯良,12
331,黄盖,354,董卓,3
331,黄盖,378,蒯良,5
354,董卓,363,韩当,2
354,董卓,372,程普,3
354,董卓,378,蒯良,2
363,韩当,378,蒯良,6
372,程普,378,蒯良,7
142,孙策,379,蒯越,2
331,黄盖,379,蒯越,2
372,程普,379,蒯越,3
99,刘表,290,桓阶,10
130,孙坚,290,桓阶,8
142,孙策,290,桓阶,7
290,桓阶,331,黄盖,7
290,桓阶,378,蒯良,7
