label1,node1,label2,node2,link_num
181,张飞,330,黄忠,19
181,张飞,188,张郃,88
101,刘备,181,张飞,39
101,刘备,188,张郃,58
101,刘备,228,周昕,7
101,刘备,321,诸葛亮,33
101,刘备,340,曹洪,7
101,刘备,403,魏延,14
181,张飞,228,周昕,23
181,张飞,321,诸葛亮,42
181,张飞,340,曹洪,23
181,张飞,403,魏延,38
188,张郃,228,周昕,22
188,张郃,321,诸葛亮,61
188,张郃,340,曹洪,32
188,张郃,403,魏延,40
228,周昕,321,诸葛亮,5
228,周昕,340,曹洪,2
228,周昕,403,魏延,9
321,诸葛亮,340,曹洪,5
321,诸葛亮,403,魏延,12
340,曹洪,403,魏延,12
188,张郃,318,郭淮,8
318,郭淮,340,曹洪,6
101,刘备,239,法正,9
101,刘备,242,孟达,8
101,刘备,246,赵云,13
101,刘备,330,黄忠,36
101,刘备,401,霍峻,8
181,张飞,239,法正,6
181,张飞,242,孟达,6
181,张飞,246,赵云,7
181,张飞,401,霍峻,7
188,张郃,239,法正,21
188,张郃,242,孟达,24
188,张郃,246,赵云,26
188,张郃,330,黄忠,64
188,张郃,401,霍峻,19
239,法正,242,孟达,4
239,法正,246,赵云,5
239,法正,321,诸葛亮,14
239,法正,330,黄忠,15
239,法正,401,霍峻,5
242,孟达,246,赵云,7
242,孟达,321,诸葛亮,13
242,孟达,330,黄忠,27
242,孟达,401,霍峻,7
246,赵云,321,诸葛亮,18
246,赵云,330,黄忠,29
246,赵云,401,霍峻,6
321,诸葛亮,330,黄忠,39
321,诸葛亮,401,霍峻,11
330,黄忠,401,霍峻,14
188,张郃,297,夏侯尚,21
188,张郃,348,曹操,10
188,张郃,365,韩浩,20
297,夏侯尚,318,郭淮,3
297,夏侯尚,330,黄忠,29
297,夏侯尚,340,曹洪,4
297,夏侯尚,348,曹操,3
297,夏侯尚,365,韩浩,19
297,夏侯尚,403,魏延,3
318,郭淮,330,黄忠,3
318,郭淮,348,曹操,2
318,郭淮,365,韩浩,3
318,郭淮,403,魏延,2
330,黄忠,340,曹洪,4
330,黄忠,348,曹操,10
330,黄忠,365,韩浩,30
330,黄忠,403,魏延,3
340,曹洪,348,曹操,3
340,曹洪,365,韩浩,4
348,曹操,365,韩浩,3
348,曹操,403,魏延,2
365,韩浩,403,魏延,3
101,刘备,297,夏侯尚,6
101,刘备,365,韩浩,5
242,孟达,297,夏侯尚,7
242,孟达,365,韩浩,6
246,赵云,297,夏侯尚,5
246,赵云,365,韩浩,4
297,夏侯尚,321,诸葛亮,6
321,诸葛亮,365,韩浩,5
188,张郃,301,夏侯渊,13
297,夏侯尚,301,夏侯渊,6
301,夏侯渊,365,韩浩,4
301,夏侯渊,330,黄忠,14
13,马超,101,刘备,6
13,马超,181,张飞,2
13,马超,188,张郃,5
13,马超,196,张鲁,2
13,马超,239,法正,2
13,马超,246,赵云,2
13,马超,301,夏侯渊,5
13,马超,321,诸葛亮,6
13,马超,330,黄忠,6
13,马超,348,曹操,3
101,刘备,196,张鲁,6
101,刘备,301,夏侯渊,9
101,刘备,348,曹操,7
181,张飞,196,张鲁,2
181,张飞,301,夏侯渊,5
181,张飞,348,曹操,3
188,张郃,196,张鲁,5
196,张鲁,239,法正,2
196,张鲁,246,赵云,2
196,张鲁,301,夏侯渊,5
196,张鲁,321,诸葛亮,6
196,张鲁,330,黄忠,6
196,张鲁,348,曹操,3
239,法正,301,夏侯渊,5
239,法正,348,曹操,3
246,赵云,301,夏侯渊,5
246,赵云,348,曹操,3
301,夏侯渊,321,诸葛亮,9
301,夏侯渊,348,曹操,6
321,诸葛亮,348,曹操,7
