label1,node1,label2,node2,link_num
246,赵云,330,黄忠,49
13,马超,101,刘备,2
13,马超,181,张飞,2
13,马超,239,法正,3
13,马超,242,孟达,2
13,马超,246,赵云,2
13,马超,321,诸葛亮,3
13,马超,330,黄忠,4
13,马超,403,魏延,2
101,刘备,181,张飞,2
101,刘备,239,法正,6
101,刘备,242,孟达,8
101,刘备,246,赵云,29
101,刘备,321,诸葛亮,17
101,刘备,330,黄忠,30
101,刘备,403,魏延,2
181,张飞,239,法正,3
181,张飞,242,孟达,2
181,张飞,246,赵云,2
181,张飞,321,诸葛亮,3
181,张飞,330,黄忠,4
181,张飞,403,魏延,2
239,法正,242,孟达,9
239,法正,246,赵云,9
239,法正,321,诸葛亮,4
239,法正,330,黄忠,33
239,法正,403,魏延,3
242,孟达,246,赵云,23
242,孟达,321,诸葛亮,6
242,孟达,330,黄忠,25
242,孟达,403,魏延,2
246,赵云,321,诸葛亮,28
246,赵云,403,魏延,2
321,诸葛亮,330,黄忠,23
321,诸葛亮,403,魏延,3
330,黄忠,403,魏延,4
101,刘备,105,刘晔,5
101,刘备,188,张郃,21
101,刘备,297,夏侯尚,5
101,刘备,301,夏侯渊,17
101,刘备,340,曹洪,5
101,刘备,348,曹操,18
101,刘备,365,韩浩,2
105,刘晔,188,张郃,6
105,刘晔,297,夏侯尚,4
105,刘晔,301,夏侯渊,8
105,刘晔,340,曹洪,4
105,刘晔,348,曹操,4
105,刘晔,365,韩浩,2
188,张郃,297,夏侯尚,11
188,张郃,301,夏侯渊,38
188,张郃,340,曹洪,6
188,张郃,348,曹操,29
188,张郃,365,韩浩,2
297,夏侯尚,301,夏侯渊,21
297,夏侯尚,340,曹洪,4
297,夏侯尚,348,曹操,4
297,夏侯尚,365,韩浩,2
301,夏侯渊,340,曹洪,8
301,夏侯渊,348,曹操,26
301,夏侯渊,365,韩浩,3
340,曹洪,348,曹操,4
340,曹洪,365,韩浩,2
348,曹操,365,韩浩,2
101,刘备,147,邯郸淳,4
101,刘备,155,杨修,4
101,刘备,334,曹休,3
101,刘备,385,蔡邕,6
101,刘备,386,蔡琰,8
105,刘晔,147,邯郸淳,3
105,刘晔,155,杨修,3
105,刘晔,239,法正,2
105,刘晔,330,黄忠,5
105,刘晔,334,曹休,2
105,刘晔,385,蔡邕,5
105,刘晔,386,蔡琰,7
147,邯郸淳,155,杨修,4
147,邯郸淳,188,张郃,5
147,邯郸淳,239,法正,3
147,邯郸淳,297,夏侯尚,3
147,邯郸淳,301,夏侯渊,6
147,邯郸淳,330,黄忠,6
147,邯郸淳,334,曹休,3
147,邯郸淳,340,曹洪,3
147,邯郸淳,348,曹操,3
147,邯郸淳,385,蔡邕,6
147,邯郸淳,386,蔡琰,8
155,杨修,188,张郃,5
155,杨修,239,法正,3
155,杨修,297,夏侯尚,3
155,杨修,301,夏侯渊,6
155,杨修,330,黄忠,6
155,杨修,334,曹休,3
155,杨修,340,曹洪,3
155,杨修,348,曹操,3
155,杨修,385,蔡邕,6
155,杨修,386,蔡琰,8
188,张郃,239,法正,16
188,张郃,330,黄忠,55
188,张郃,334,曹休,4
188,张郃,385,蔡邕,7
188,张郃,386,蔡琰,9
239,法正,297,夏侯尚,8
239,法正,301,夏侯渊,22
239,法正,334,曹休,2
239,法正,340,曹洪,2
239,法正,348,曹操,8
239,法正,385,蔡邕,5
239,法正,386,蔡琰,7
297,夏侯尚,330,黄忠,22
297,夏侯尚,334,曹休,2
297,夏侯尚,385,蔡邕,5
297,夏侯尚,386,蔡琰,7
301,夏侯渊,330,黄忠,57
301,夏侯渊,334,曹休,5
301,夏侯渊,385,蔡邕,8
301,夏侯渊,386,蔡琰,10
330,黄忠,334,曹休,5
330,黄忠,340,曹洪,5
330,黄忠,348,曹操,42
330,黄忠,385,蔡邕,8
330,黄忠,386,蔡琰,10
334,曹休,340,曹洪,2
334,曹休,348,曹操,2
334,曹休,385,蔡邕,5
334,曹休,386,蔡琰,7
340,曹洪,385,蔡邕,5
340,曹洪,386,蔡琰,7
348,曹操,385,蔡邕,5
348,曹操,386,蔡琰,7
385,蔡邕,386,蔡琰,10
188,张郃,242,孟达,10
188,张郃,246,赵云,30
242,孟达,301,夏侯渊,7
242,孟达,348,曹操,7
246,赵云,301,夏侯渊,13
246,赵云,348,曹操,26
188,张郃,306,徐晃,13
301,夏侯渊,306,徐晃,2
306,徐晃,330,黄忠,17
306,徐晃,348,曹操,14
101,刘备,202,张翼,12
188,张郃,202,张翼,10
188,张郃,321,诸葛亮,12
202,张翼,246,赵云,23
202,张翼,301,夏侯渊,7
202,张翼,321,诸葛亮,10
202,张翼,330,黄忠,16
202,张翼,348,曹操,9
301,夏侯渊,321,诸葛亮,9
321,诸葛亮,348,曹操,11
42,文聘,188,张郃,9
42,文聘,301,夏侯渊,2
42,文聘,330,黄忠,14
42,文聘,348,曹操,7
18,王平,42,文聘,4
18,王平,101,刘备,8
18,王平,188,张郃,7
18,王平,202,张翼,5
18,王平,242,孟达,4
18,王平,246,赵云,21
18,王平,306,徐晃,10
18,王平,321,诸葛亮,5
18,王平,330,黄忠,11
18,王平,348,曹操,7
42,文聘,101,刘备,6
42,文聘,202,张翼,3
42,文聘,242,孟达,2
42,文聘,246,赵云,19
42,文聘,306,徐晃,8
42,文聘,321,诸葛亮,3
101,刘备,306,徐晃,12
202,张翼,242,孟达,3
202,张翼,306,徐晃,9
242,孟达,306,徐晃,8
246,赵云,306,徐晃,25
306,徐晃,321,诸葛亮,9
