label1,node1,label2,node2,link_num
18,王平,101,刘备,16
18,王平,246,赵云,16
18,王平,306,徐晃,15
18,王平,320,诸葛诞,9
18,王平,321,诸葛亮,14
18,王平,330,黄忠,11
18,王平,348,曹操,9
101,刘备,246,赵云,37
101,刘备,306,徐晃,32
101,刘备,320,诸葛诞,9
101,刘备,321,诸葛亮,32
101,刘备,330,黄忠,32
101,刘备,348,曹操,38
246,赵云,306,徐晃,19
246,赵云,320,诸葛诞,9
246,赵云,321,诸葛亮,22
246,赵云,330,黄忠,17
246,赵云,348,曹操,23
306,徐晃,320,诸葛诞,8
306,徐晃,321,诸葛亮,17
306,徐晃,330,黄忠,14
306,徐晃,348,曹操,19
320,诸葛诞,321,诸葛亮,7
320,诸葛诞,330,黄忠,4
320,诸葛诞,348,曹操,2
321,诸葛亮,330,黄忠,17
321,诸葛亮,348,曹操,16
330,黄忠,348,曹操,18
101,刘备,242,孟达,20
242,孟达,246,赵云,7
242,孟达,306,徐晃,7
242,孟达,321,诸葛亮,4
242,孟达,330,黄忠,7
242,孟达,348,曹操,14
101,刘备,181,张飞,17
101,刘备,403,魏延,12
181,张飞,246,赵云,10
181,张飞,321,诸葛亮,5
181,张飞,330,黄忠,10
181,张飞,348,曹操,18
181,张飞,403,魏延,11
246,赵云,403,魏延,5
321,诸葛亮,403,魏延,5
330,黄忠,403,魏延,5
348,曹操,403,魏延,23
13,马超,101,刘备,9
13,马超,123,许褚,9
13,马超,155,杨修,16
13,马超,170,吴质,6
13,马超,181,张飞,9
13,马超,242,孟达,7
13,马超,246,赵云,4
13,马超,306,徐晃,4
13,马超,330,黄忠,4
13,马超,333,曹丕,8
13,马超,343,曹植,6
13,马超,347,曹彰,10
13,马超,348,曹操,18
13,马超,403,魏延,13
101,刘备,123,许褚,12
101,刘备,155,杨修,14
101,刘备,170,吴质,9
101,刘备,333,曹丕,11
101,刘备,343,曹植,9
101,刘备,347,曹彰,13
123,许褚,155,杨修,14
123,许褚,170,吴质,9
123,许褚,181,张飞,12
123,许褚,242,孟达,10
123,许褚,246,赵云,7
123,许褚,306,徐晃,7
123,许褚,330,黄忠,7
123,许褚,333,曹丕,11
123,许褚,343,曹植,9
123,许褚,347,曹彰,13
123,许褚,348,曹操,14
123,许褚,403,魏延,7
155,杨修,170,吴质,11
155,杨修,181,张飞,14
155,杨修,242,孟达,12
155,杨修,246,赵云,9
155,杨修,306,徐晃,9
155,杨修,330,黄忠,9
155,杨修,333,曹丕,13
155,杨修,343,曹植,11
155,杨修,347,曹彰,15
155,杨修,348,曹操,22
155,杨修,403,魏延,17
170,吴质,181,张飞,9
170,吴质,242,孟达,7
170,吴质,246,赵云,4
170,吴质,306,徐晃,4
170,吴质,330,黄忠,4
170,吴质,333,曹丕,8
170,吴质,343,曹植,6
170,吴质,347,曹彰,10
170,吴质,348,曹操,11
170,吴质,403,魏延,4
181,张飞,242,孟达,10
181,张飞,306,徐晃,7
181,张飞,333,曹丕,11
181,张飞,343,曹植,9
181,张飞,347,曹彰,13
242,孟达,333,曹丕,9
242,孟达,343,曹植,7
242,孟达,347,曹彰,11
242,孟达,403,魏延,5
246,赵云,333,曹丕,6
246,赵云,343,曹植,4
246,赵云,347,曹彰,8
306,徐晃,333,曹丕,6
306,徐晃,343,曹植,4
306,徐晃,347,曹彰,8
306,徐晃,403,魏延,2
330,黄忠,333,曹丕,6
330,黄忠,343,曹植,4
330,黄忠,347,曹彰,8
333,曹丕,343,曹植,8
333,曹丕,347,曹彰,12
333,曹丕,348,曹操,13
333,曹丕,403,魏延,6
343,曹植,347,曹彰,10
343,曹植,348,曹操,11
343,曹植,403,魏延,4
347,曹彰,348,曹操,15
347,曹彰,403,魏延,8
13,马超,235,庞德,6
155,杨修,235,庞德,5
235,庞德,348,曹操,7
235,庞德,403,魏延,9
