label1,node1,label2,node2,link_num
101,刘备,118,关羽,19
13,马超,321,诸葛亮,9
13,马超,348,曹操,8
13,马超,403,魏延,7
321,诸葛亮,348,曹操,15
321,诸葛亮,403,魏延,8
348,曹操,403,魏延,7
18,王平,55,申耽,2
18,王平,81,吕蒙,2
18,王平,101,刘备,10
18,王平,133,孙亮,2
18,王平,181,张飞,2
18,王平,239,法正,2
18,王平,242,孟达,2
18,王平,321,诸葛亮,6
18,王平,348,曹操,2
18,王平,356,董昭,2
55,申耽,81,吕蒙,2
55,申耽,101,刘备,10
55,申耽,133,孙亮,2
55,申耽,181,张飞,2
55,申耽,239,法正,2
55,申耽,242,孟达,2
55,申耽,321,诸葛亮,6
55,申耽,348,曹操,2
55,申耽,356,董昭,2
81,吕蒙,101,刘备,10
81,吕蒙,133,孙亮,2
81,吕蒙,181,张飞,2
81,吕蒙,239,法正,2
81,吕蒙,242,孟达,2
81,吕蒙,321,诸葛亮,6
81,吕蒙,348,曹操,2
81,吕蒙,356,董昭,2
101,刘备,133,孙亮,10
101,刘备,181,张飞,14
101,刘备,239,法正,15
101,刘备,242,孟达,10
101,刘备,321,诸葛亮,18
101,刘备,348,曹操,28
101,刘备,356,董昭,10
133,孙亮,181,张飞,2
133,孙亮,239,法正,2
133,孙亮,242,孟达,2
133,孙亮,321,诸葛亮,6
133,孙亮,348,曹操,2
133,孙亮,356,董昭,2
181,张飞,239,法正,5
181,张飞,242,孟达,2
181,张飞,321,诸葛亮,12
181,张飞,348,曹操,7
181,张飞,356,董昭,2
239,法正,242,孟达,2
239,法正,321,诸葛亮,9
239,法正,348,曹操,5
239,法正,356,董昭,2
242,孟达,321,诸葛亮,6
242,孟达,348,曹操,2
242,孟达,356,董昭,2
321,诸葛亮,356,董昭,6
348,曹操,356,董昭,2
13,马超,101,刘备,4
13,马超,110,刘禅,2
13,马超,118,关羽,9
13,马超,122,许靖,3
13,马超,181,张飞,4
13,马超,239,法正,3
13,马超,246,赵云,4
13,马超,330,黄忠,4
13,马超,354,董卓,2
101,刘备,110,刘禅,4
101,刘备,122,许靖,5
101,刘备,246,赵云,4
101,刘备,330,黄忠,4
101,刘备,354,董卓,4
101,刘备,403,魏延,4
110,刘禅,118,关羽,2
110,刘禅,122,许靖,3
110,刘禅,181,张飞,2
110,刘禅,239,法正,3
110,刘禅,246,赵云,2
110,刘禅,321,诸葛亮,2
110,刘禅,330,黄忠,2
110,刘禅,348,曹操,2
110,刘禅,354,董卓,2
110,刘禅,403,魏延,2
118,关羽,122,许靖,3
118,关羽,181,张飞,9
118,关羽,239,法正,3
118,关羽,246,赵云,9
118,关羽,321,诸葛亮,11
118,关羽,330,黄忠,9
118,关羽,348,曹操,33
118,关羽,354,董卓,2
118,关羽,403,魏延,9
122,许靖,181,张飞,3
122,许靖,239,法正,4
122,许靖,246,赵云,3
122,许靖,321,诸葛亮,3
122,许靖,330,黄忠,3
122,许靖,348,曹操,3
122,许靖,354,董卓,3
122,许靖,403,魏延,3
181,张飞,246,赵云,4
181,张飞,330,黄忠,4
181,张飞,354,董卓,2
181,张飞,403,魏延,4
239,法正,246,赵云,3
239,法正,330,黄忠,3
239,法正,354,董卓,3
239,法正,403,魏延,3
246,赵云,321,诸葛亮,6
246,赵云,330,黄忠,4
246,赵云,348,曹操,5
246,赵云,354,董卓,2
246,赵云,403,魏延,4
321,诸葛亮,330,黄忠,6
321,诸葛亮,354,董卓,2
330,黄忠,348,曹操,5
330,黄忠,354,董卓,2
