label1,node1,label2,node2,link_num
81,吕蒙,118,关羽,26
81,吕蒙,133,孙亮,15
118,关羽,133,孙亮,9
11,马良,87,华陀,2
11,马良,230,周泰,2
11,马良,332,曹仁,2
87,华陀,230,周泰,2
87,华陀,332,曹仁,2
230,周泰,332,曹仁,2
6,于禁,70,司马懿,6
6,于禁,118,关羽,11
6,于禁,127,孙权,11
6,于禁,235,庞德,9
6,于禁,306,徐晃,6
6,于禁,348,曹操,9
6,于禁,361,蒋济,5
70,司马懿,118,关羽,6
70,司马懿,127,孙权,5
70,司马懿,235,庞德,5
70,司马懿,306,徐晃,4
70,司马懿,348,曹操,3
70,司马懿,361,蒋济,3
118,关羽,127,孙权,25
118,关羽,235,庞德,10
118,关羽,306,徐晃,6
118,关羽,348,曹操,10
118,关羽,361,蒋济,5
127,孙权,235,庞德,8
127,孙权,306,徐晃,5
127,孙权,348,曹操,10
127,孙权,361,蒋济,4
235,庞德,306,徐晃,5
235,庞德,348,曹操,6
235,庞德,361,蒋济,4
306,徐晃,348,曹操,3
306,徐晃,361,蒋济,3
348,曹操,361,蒋济,2
6,于禁,81,吕蒙,5
6,于禁,191,张昭,2
81,吕蒙,127,孙权,33
81,吕蒙,191,张昭,2
81,吕蒙,235,庞德,2
81,吕蒙,348,曹操,10
118,关羽,191,张昭,3
127,孙权,191,张昭,2
191,张昭,235,庞德,2
191,张昭,348,曹操,2
81,吕蒙,206,陆逊,28
118,关羽,206,陆逊,15
127,孙权,133,孙亮,8
127,孙权,206,陆逊,20
133,孙亮,206,陆逊,14
81,吕蒙,377,鲁肃,5
118,关羽,377,鲁肃,4
127,孙权,377,鲁肃,4
133,孙亮,377,鲁肃,3
206,陆逊,377,鲁肃,5
81,吕蒙,139,孙皎,12
81,吕蒙,232,周瑜,2
81,吕蒙,372,程普,2
118,关羽,139,孙皎,9
118,关羽,232,周瑜,2
118,关羽,372,程普,2
127,孙权,139,孙皎,11
127,孙权,232,周瑜,4
127,孙权,372,程普,4
139,孙皎,232,周瑜,7
139,孙皎,372,程普,7
232,周瑜,372,程普,2
2,丁奉,81,吕蒙,5
2,丁奉,83,朱然,2
2,丁奉,118,关羽,2
2,丁奉,127,孙权,2
2,丁奉,139,孙皎,2
2,丁奉,206,陆逊,2
2,丁奉,230,周泰,2
2,丁奉,307,徐盛,2
2,丁奉,348,曹操,2
2,丁奉,360,蒋钦,2
2,丁奉,363,韩当,2
2,丁奉,397,潘璋,2
81,吕蒙,83,朱然,5
81,吕蒙,230,周泰,5
81,吕蒙,307,徐盛,5
81,吕蒙,360,蒋钦,5
81,吕蒙,363,韩当,5
81,吕蒙,397,潘璋,5
83,朱然,118,关羽,2
83,朱然,127,孙权,2
83,朱然,139,孙皎,2
83,朱然,206,陆逊,2
83,朱然,230,周泰,2
83,朱然,307,徐盛,2
83,朱然,348,曹操,2
83,朱然,360,蒋钦,2
83,朱然,363,韩当,2
83,朱然,397,潘璋,2
118,关羽,230,周泰,2
118,关羽,307,徐盛,2
118,关羽,360,蒋钦,2
118,关羽,363,韩当,2
118,关羽,397,潘璋,2
127,孙权,230,周泰,2
127,孙权,307,徐盛,2
127,孙权,360,蒋钦,2
127,孙权,363,韩当,2
127,孙权,397,潘璋,2
139,孙皎,206,陆逊,2
139,孙皎,230,周泰,2
139,孙皎,307,徐盛,2
139,孙皎,348,曹操,2
139,孙皎,360,蒋钦,2
139,孙皎,363,韩当,2
139,孙皎,397,潘璋,2
206,陆逊,230,周泰,2
206,陆逊,307,徐盛,2
206,陆逊,348,曹操,2
206,陆逊,360,蒋钦,2
206,陆逊,363,韩当,2
206,陆逊,397,潘璋,2
230,周泰,307,徐盛,2
230,周泰,348,曹操,2
230,周泰,360,蒋钦,2
230,周泰,363,韩当,2
230,周泰,397,潘璋,2
307,徐盛,348,曹操,2
307,徐盛,360,蒋钦,2
307,徐盛,363,韩当,2
307,徐盛,397,潘璋,2
348,曹操,360,蒋钦,2
348,曹操,363,韩当,2
348,曹操,397,潘璋,2
360,蒋钦,363,韩当,2
360,蒋钦,397,潘璋,2
363,韩当,397,潘璋,2
6,于禁,381,虞翻,4
6,于禁,398,潘浚,2
6,于禁,404,糜芳,2
81,吕蒙,381,虞翻,9
81,吕蒙,398,潘浚,3
81,吕蒙,404,糜芳,7
127,孙权,381,虞翻,8
127,孙权,398,潘浚,2
127,孙权,404,糜芳,6
348,曹操,381,虞翻,4
348,曹操,398,潘浚,2
348,曹操,404,糜芳,2
381,虞翻,398,潘浚,4
381,虞翻,404,糜芳,10
398,潘浚,404,糜芳,2
22,王甫,81,吕蒙,2
22,王甫,118,关羽,2
22,王甫,127,孙权,2
22,王甫,381,虞翻,4
22,王甫,404,糜芳,4
118,关羽,381,虞翻,4
118,关羽,404,糜芳,4
