label1,node1,label2,node2,link_num
118,关羽,306,徐晃,14
118,关羽,390,管恪,6
306,徐晃,390,管恪,18
81,吕蒙,127,孙权,6
81,吕蒙,404,糜芳,4
127,孙权,404,糜芳,2
118,关羽,332,曹仁,5
118,关羽,348,曹操,5
118,关羽,356,董昭,3
306,徐晃,332,曹仁,16
306,徐晃,348,曹操,19
306,徐晃,356,董昭,3
332,曹仁,348,曹操,6
332,曹仁,356,董昭,2
348,曹操,356,董昭,2
81,吕蒙,306,徐晃,25
81,吕蒙,391,廖化,10
306,徐晃,391,廖化,20
81,吕蒙,206,陆逊,3
81,吕蒙,348,曹操,9
206,陆逊,306,徐晃,3
206,陆逊,348,曹操,2
206,陆逊,391,廖化,2
348,曹操,391,廖化,7
81,吕蒙,118,关羽,2
81,吕蒙,332,曹仁,6
81,吕蒙,390,管恪,9
118,关羽,404,糜芳,2
306,徐晃,404,糜芳,8
332,曹仁,390,管恪,7
332,曹仁,404,糜芳,2
348,曹操,390,管恪,7
348,曹操,404,糜芳,2
390,管恪,404,糜芳,4
11,马良,22,王甫,2
11,马良,81,吕蒙,4
11,马良,90,伊籍,2
11,马良,297,夏侯尚,2
11,马良,306,徐晃,5
11,马良,332,曹仁,2
11,马良,348,曹操,2
11,马良,390,管恪,3
11,马良,391,廖化,2
22,王甫,81,吕蒙,4
22,王甫,90,伊籍,2
22,王甫,297,夏侯尚,2
22,王甫,306,徐晃,5
22,王甫,332,曹仁,2
22,王甫,348,曹操,2
22,王甫,390,管恪,3
22,王甫,391,廖化,2
81,吕蒙,90,伊籍,4
81,吕蒙,297,夏侯尚,4
90,伊籍,297,夏侯尚,2
90,伊籍,306,徐晃,5
90,伊籍,332,曹仁,2
90,伊籍,348,曹操,2
90,伊籍,390,管恪,3
90,伊籍,391,廖化,2
297,夏侯尚,306,徐晃,5
297,夏侯尚,332,曹仁,2
297,夏侯尚,348,曹操,2
297,夏侯尚,390,管恪,3
297,夏侯尚,391,廖化,2
332,曹仁,391,廖化,2
390,管恪,391,廖化,3
2,丁奉,118,关羽,2
2,丁奉,230,周泰,2
2,丁奉,242,孟达,2
2,丁奉,307,徐盛,2
2,丁奉,360,蒋钦,5
2,丁奉,363,韩当,2
2,丁奉,391,廖化,6
118,关羽,230,周泰,2
118,关羽,242,孟达,2
118,关羽,307,徐盛,2
118,关羽,360,蒋钦,5
118,关羽,363,韩当,2
118,关羽,391,廖化,2
230,周泰,242,孟达,2
230,周泰,307,徐盛,2
230,周泰,360,蒋钦,5
230,周泰,363,韩当,2
230,周泰,391,廖化,2
242,孟达,307,徐盛,2
242,孟达,360,蒋钦,5
242,孟达,363,韩当,2
242,孟达,391,廖化,9
307,徐盛,360,蒋钦,5
307,徐盛,363,韩当,2
307,徐盛,391,廖化,2
360,蒋钦,363,韩当,5
360,蒋钦,391,廖化,5
363,韩当,391,廖化,2
55,申耽,242,孟达,3
55,申耽,391,廖化,2
242,孟达,320,诸葛诞,3
242,孟达,321,诸葛亮,4
242,孟达,348,曹操,3
320,诸葛诞,321,诸葛亮,3
320,诸葛诞,348,曹操,2
320,诸葛诞,391,廖化,3
321,诸葛亮,348,曹操,3
321,诸葛亮,391,廖化,4
76,吕范,81,吕蒙,3
76,吕范,127,孙权,3
76,吕范,260,胡烈,2
76,吕范,321,诸葛亮,2
76,吕范,326,诸葛瑾,4
81,吕蒙,260,胡烈,3
81,吕蒙,321,诸葛亮,3
81,吕蒙,326,诸葛瑾,5
127,孙权,260,胡烈,3
127,孙权,321,诸葛亮,3
127,孙权,326,诸葛瑾,5
260,胡烈,321,诸葛亮,2
260,胡烈,326,诸葛瑾,4
321,诸葛亮,326,诸葛瑾,4
