label1,node1,label2,node2,link_num
76,吕范,81,吕蒙,2
76,吕范,83,朱然,3
76,吕范,127,孙权,2
76,吕范,397,潘璋,3
81,吕蒙,83,朱然,3
81,吕蒙,127,孙权,17
81,吕蒙,397,潘璋,3
83,朱然,127,孙权,8
83,朱然,397,潘璋,12
127,孙权,397,潘璋,8
12,马忠,22,王甫,4
12,马忠,83,朱然,5
12,马忠,118,关羽,6
12,马忠,127,孙权,8
12,马忠,242,孟达,2
12,马忠,397,潘璋,5
22,王甫,83,朱然,7
22,王甫,118,关羽,4
22,王甫,127,孙权,4
22,王甫,242,孟达,4
22,王甫,397,潘璋,7
83,朱然,118,关羽,5
83,朱然,242,孟达,5
118,关羽,127,孙权,17
118,关羽,242,孟达,7
118,关羽,397,潘璋,5
127,孙权,242,孟达,2
242,孟达,397,潘璋,5
12,马忠,348,曹操,2
12,马忠,368,韩暨,2
118,关羽,348,曹操,13
118,关羽,368,韩暨,4
127,孙权,348,曹操,13
127,孙权,368,韩暨,3
348,曹操,368,韩暨,2
81,吕蒙,118,关羽,15
81,吕蒙,101,刘备,20
81,吕蒙,133,孙亮,9
81,吕蒙,232,周瑜,8
81,吕蒙,348,曹操,11
81,吕蒙,377,鲁肃,11
101,刘备,118,关羽,29
101,刘备,127,孙权,10
101,刘备,133,孙亮,3
101,刘备,232,周瑜,2
101,刘备,348,曹操,12
101,刘备,377,鲁肃,5
118,关羽,133,孙亮,3
118,关羽,232,周瑜,2
118,关羽,377,鲁肃,5
127,孙权,133,孙亮,7
127,孙权,232,周瑜,6
127,孙权,377,鲁肃,9
133,孙亮,232,周瑜,3
133,孙亮,348,曹操,4
133,孙亮,377,鲁肃,6
232,周瑜,348,曹操,3
232,周瑜,377,鲁肃,5
348,曹操,377,鲁肃,6
101,刘备,191,张昭,5
101,刘备,321,诸葛亮,33
118,关羽,191,张昭,2
118,关羽,321,诸葛亮,18
191,张昭,321,诸葛亮,2
191,张昭,348,曹操,3
321,诸葛亮,348,曹操,3
70,司马懿,81,吕蒙,3
70,司马懿,94,刘永,4
70,司马懿,101,刘备,4
70,司马懿,107,刘理,4
70,司马懿,108,刘焉,3
70,司马懿,118,关羽,4
70,司马懿,127,孙权,4
70,司马懿,239,法正,5
70,司马懿,319,郭嘉,3
70,司马懿,348,曹操,3
81,吕蒙,94,刘永,3
81,吕蒙,107,刘理,3
81,吕蒙,108,刘焉,2
81,吕蒙,239,法正,4
81,吕蒙,319,郭嘉,2
94,刘永,101,刘备,4
94,刘永,107,刘理,4
94,刘永,108,刘焉,3
94,刘永,118,关羽,4
94,刘永,127,孙权,4
94,刘永,239,法正,5
94,刘永,319,郭嘉,3
94,刘永,348,曹操,3
101,刘备,107,刘理,4
101,刘备,108,刘焉,3
101,刘备,239,法正,5
101,刘备,319,郭嘉,3
107,刘理,108,刘焉,3
107,刘理,118,关羽,4
107,刘理,127,孙权,4
107,刘理,239,法正,5
107,刘理,319,郭嘉,3
107,刘理,348,曹操,3
108,刘焉,118,关羽,3
108,刘焉,127,孙权,3
108,刘焉,239,法正,4
108,刘焉,319,郭嘉,2
108,刘焉,348,曹操,2
118,关羽,239,法正,5
118,关羽,319,郭嘉,3
127,孙权,239,法正,5
127,孙权,319,郭嘉,3
239,法正,319,郭嘉,4
239,法正,348,曹操,4
319,郭嘉,348,曹操,2
81,吕蒙,122,许靖,2
81,吕蒙,321,诸葛亮,8
101,刘备,122,许靖,17
118,关羽,122,许靖,7
122,许靖,321,诸葛亮,15
11,马良,90,伊籍,2
11,马良,101,刘备,7
11,马良,118,关羽,4
11,马良,122,许靖,3
11,马良,181,张飞,2
11,马良,242,孟达,3
11,马良,321,诸葛亮,6
11,马良,391,廖化,2
90,伊籍,101,刘备,7
90,伊籍,118,关羽,4
90,伊籍,122,许靖,3
90,伊籍,181,张飞,2
90,伊籍,242,孟达,3
90,伊籍,321,诸葛亮,6
90,伊籍,391,廖化,2
101,刘备,181,张飞,7
101,刘备,242,孟达,8
101,刘备,391,廖化,7
118,关羽,181,张飞,4
118,关羽,391,廖化,4
122,许靖,181,张飞,3
122,许靖,242,孟达,4
122,许靖,391,廖化,3
181,张飞,242,孟达,3
181,张飞,321,诸葛亮,6
181,张飞,391,廖化,2
242,孟达,321,诸葛亮,7
242,孟达,391,廖化,3
321,诸葛亮,391,廖化,6
