label1,node1,label2,node2,link_num
101,刘备,118,关羽,7
101,刘备,321,诸葛亮,11
101,刘备,348,曹操,14
118,关羽,321,诸葛亮,6
118,关羽,348,曹操,3
321,诸葛亮,348,曹操,7
294,贾诩,348,曹操,5
87,华陀,88,华歆,2
87,华陀,216,陈登,3
87,华陀,230,周泰,2
88,华歆,216,陈登,3
88,华歆,230,周泰,2
216,陈登,230,周泰,3
70,司马懿,101,刘备,5
70,司马懿,127,孙权,7
70,司马懿,218,陈群,4
70,司马懿,348,曹操,5
101,刘备,127,孙权,8
101,刘备,218,陈群,5
127,孙权,218,陈群,7
127,孙权,348,曹操,8
218,陈群,348,曹操,5
15,马腾,62,司马师,2
15,马腾,294,贾诩,2
62,司马师,294,贾诩,2
70,司马懿,213,陈矫,2
70,司马懿,294,贾诩,2
70,司马懿,333,曹丕,4
70,司马懿,339,曹昂,2
70,司马懿,340,曹洪,4
70,司马懿,343,曹植,2
70,司马懿,347,曹彰,3
101,刘备,213,陈矫,2
101,刘备,294,贾诩,2
101,刘备,333,曹丕,4
101,刘备,339,曹昂,2
101,刘备,340,曹洪,4
101,刘备,343,曹植,2
101,刘备,347,曹彰,3
127,孙权,213,陈矫,2
127,孙权,294,贾诩,2
127,孙权,333,曹丕,4
127,孙权,339,曹昂,2
127,孙权,340,曹洪,4
127,孙权,343,曹植,2
127,孙权,347,曹彰,3
213,陈矫,218,陈群,2
213,陈矫,294,贾诩,2
213,陈矫,333,曹丕,4
213,陈矫,339,曹昂,2
213,陈矫,340,曹洪,4
213,陈矫,343,曹植,2
213,陈矫,347,曹彰,3
213,陈矫,348,曹操,3
218,陈群,294,贾诩,2
218,陈群,333,曹丕,4
218,陈群,339,曹昂,2
218,陈群,340,曹洪,4
218,陈群,343,曹植,2
218,陈群,347,曹彰,3
294,贾诩,333,曹丕,4
294,贾诩,339,曹昂,2
294,贾诩,340,曹洪,4
294,贾诩,343,曹植,2
294,贾诩,347,曹彰,3
333,曹丕,339,曹昂,4
333,曹丕,340,曹洪,6
333,曹丕,343,曹植,4
333,曹丕,347,曹彰,5
333,曹丕,348,曹操,5
339,曹昂,340,曹洪,4
339,曹昂,343,曹植,2
339,曹昂,347,曹彰,3
339,曹昂,348,曹操,3
340,曹洪,343,曹植,4
340,曹洪,347,曹彰,5
340,曹洪,348,曹操,5
343,曹植,347,曹彰,3
343,曹植,348,曹操,3
347,曹彰,348,曹操,4
88,华歆,333,曹丕,4
