label1,node1,label2,node2,link_num
295,贾逵,333,曹丕,7
295,贾逵,347,曹彰,6
333,曹丕,347,曹彰,7
6,于禁,31,王朗,6
6,于禁,88,华歆,6
6,于禁,118,关羽,7
6,于禁,235,庞德,6
6,于禁,294,贾诩,6
6,于禁,333,曹丕,7
6,于禁,348,曹操,6
31,王朗,88,华歆,4
31,王朗,118,关羽,3
31,王朗,235,庞德,2
31,王朗,294,贾诩,4
31,王朗,333,曹丕,5
31,王朗,348,曹操,2
88,华歆,118,关羽,3
88,华歆,235,庞德,2
88,华歆,294,贾诩,4
88,华歆,333,曹丕,10
88,华歆,348,曹操,2
118,关羽,235,庞德,3
118,关羽,294,贾诩,3
118,关羽,333,曹丕,7
118,关羽,348,曹操,5
235,庞德,294,贾诩,2
235,庞德,333,曹丕,3
235,庞德,348,曹操,2
294,贾诩,333,曹丕,5
294,贾诩,348,曹操,2
333,曹丕,348,曹操,6
1,丁仪,5,丁廙,12
1,丁仪,88,华歆,3
1,丁仪,333,曹丕,11
1,丁仪,395,滕胤,3
5,丁廙,88,华歆,3
5,丁廙,333,曹丕,8
5,丁廙,395,滕胤,3
88,华歆,395,滕胤,2
333,曹丕,395,滕胤,2
1,丁仪,114,刘繇,5
1,丁仪,123,许褚,5
1,丁仪,343,曹植,8
5,丁廙,114,刘繇,5
5,丁廙,123,许褚,5
5,丁廙,343,曹植,6
114,刘繇,123,许褚,2
114,刘繇,333,曹丕,2
114,刘繇,343,曹植,3
123,许褚,333,曹丕,2
123,许褚,343,曹植,3
333,曹丕,343,曹植,14
88,华歆,343,曹植,7
101,刘备,118,关羽,3
101,刘备,127,孙权,3
101,刘备,242,孟达,19
101,刘备,321,诸葛亮,11
101,刘备,333,曹丕,8
101,刘备,348,曹操,3
101,刘备,391,廖化,3
118,关羽,127,孙权,2
118,关羽,242,孟达,2
118,关羽,321,诸葛亮,2
118,关羽,391,廖化,2
127,孙权,242,孟达,2
127,孙权,321,诸葛亮,2
127,孙权,333,曹丕,3
127,孙权,348,曹操,2
127,孙权,391,廖化,2
242,孟达,321,诸葛亮,9
242,孟达,333,曹丕,14
242,孟达,348,曹操,2
242,孟达,391,廖化,2
321,诸葛亮,333,曹丕,6
321,诸葛亮,348,曹操,2
321,诸葛亮,391,廖化,2
333,曹丕,391,廖化,3
348,曹操,391,廖化,2
13,马超,242,孟达,5
13,马超,352,彭羕,4
242,孟达,352,彭羕,5
101,刘备,352,彭羕,7
321,诸葛亮,352,彭羕,6
55,申耽,239,法正,3
55,申耽,242,孟达,10
55,申耽,333,曹丕,2
239,法正,242,孟达,4
239,法正,333,曹丕,3
101,刘备,297,夏侯尚,6
101,刘备,306,徐晃,7
101,刘备,327,诸葛瞻,3
242,孟达,297,夏侯尚,14
242,孟达,306,徐晃,15
242,孟达,327,诸葛瞻,7
297,夏侯尚,306,徐晃,5
297,夏侯尚,321,诸葛亮,2
297,夏侯尚,327,诸葛瞻,2
297,夏侯尚,333,曹丕,3
306,徐晃,321,诸葛亮,2
306,徐晃,327,诸葛瞻,2
306,徐晃,333,曹丕,3
321,诸葛亮,327,诸葛瞻,2
327,诸葛瞻,333,曹丕,3
55,申耽,101,刘备,3
55,申耽,297,夏侯尚,2
55,申耽,306,徐晃,3
31,王朗,105,刘晔,2
31,王朗,112,刘廙,2
31,王朗,178,辛毗,2
31,王朗,213,陈矫,2
31,王朗,218,陈群,2
31,王朗,290,桓阶,2
88,华歆,105,刘晔,2
88,华歆,112,刘廙,2
88,华歆,178,辛毗,2
88,华歆,213,陈矫,2
88,华歆,218,陈群,2
88,华歆,290,桓阶,2
105,刘晔,112,刘廙,2
105,刘晔,178,辛毗,2
105,刘晔,213,陈矫,2
105,刘晔,218,陈群,2
105,刘晔,290,桓阶,2
105,刘晔,294,贾诩,2
105,刘晔,333,曹丕,2
112,刘廙,178,辛毗,2
112,刘廙,213,陈矫,2
112,刘廙,218,陈群,2
112,刘廙,290,桓阶,2
112,刘廙,294,贾诩,2
112,刘廙,333,曹丕,2
178,辛毗,213,陈矫,2
178,辛毗,218,陈群,2
178,辛毗,290,桓阶,2
178,辛毗,294,贾诩,2
178,辛毗,333,曹丕,2
213,陈矫,218,陈群,2
213,陈矫,290,桓阶,2
213,陈矫,294,贾诩,2
213,陈矫,333,曹丕,2
218,陈群,290,桓阶,2
218,陈群,294,贾诩,2
218,陈群,333,曹丕,2
290,桓阶,294,贾诩,2
290,桓阶,333,曹丕,2
