label1,node1,label2,node2,link_num
31,王朗,88,华歆,12
31,王朗,334,曹休,4
31,王朗,340,曹洪,5
88,华歆,334,曹休,5
88,华歆,340,曹洪,6
334,曹休,340,曹洪,7
88,华歆,218,陈群,2
88,华歆,294,贾诩,9
88,华歆,333,曹丕,13
218,陈群,294,贾诩,2
218,陈群,333,曹丕,2
294,贾诩,333,曹丕,7
31,王朗,70,司马懿,2
31,王朗,290,桓阶,2
31,王朗,333,曹丕,6
70,司马懿,88,华歆,2
70,司马懿,290,桓阶,2
70,司马懿,333,曹丕,3
88,华歆,290,桓阶,2
290,桓阶,333,曹丕,3
31,王朗,294,贾诩,2
31,王朗,348,曹操,2
88,华歆,348,曹操,4
294,贾诩,348,曹操,2
333,曹丕,348,曹操,3
101,刘备,321,诸葛亮,2
101,刘备,333,曹丕,2
321,诸葛亮,333,曹丕,18
122,许靖,321,诸葛亮,22
122,许靖,333,曹丕,7
122,许靖,393,谯周,8
321,诸葛亮,393,谯周,19
333,曹丕,393,谯周,5
33,王谋,90,伊籍,2
33,王谋,122,许靖,2
33,王谋,151,杜琼,2
33,王谋,156,杨洪,2
33,王谋,173,何宗,2
33,王谋,199,张裔,2
33,王谋,279,秦宓,2
33,王谋,321,诸葛亮,9
33,王谋,329,黄权,2
33,王谋,333,曹丕,2
33,王谋,393,谯周,2
90,伊籍,122,许靖,2
90,伊籍,151,杜琼,2
90,伊籍,156,杨洪,2
90,伊籍,173,何宗,2
90,伊籍,199,张裔,2
90,伊籍,279,秦宓,2
90,伊籍,321,诸葛亮,9
90,伊籍,329,黄权,2
90,伊籍,333,曹丕,2
90,伊籍,393,谯周,2
122,许靖,151,杜琼,2
122,许靖,156,杨洪,2
122,许靖,173,何宗,2
122,许靖,199,张裔,2
122,许靖,279,秦宓,2
122,许靖,329,黄权,2
151,杜琼,156,杨洪,2
151,杜琼,173,何宗,2
151,杜琼,199,张裔,2
151,杜琼,279,秦宓,2
151,杜琼,321,诸葛亮,9
151,杜琼,329,黄权,2
151,杜琼,333,曹丕,2
151,杜琼,393,谯周,2
156,杨洪,173,何宗,2
156,杨洪,199,张裔,2
156,杨洪,279,秦宓,2
156,杨洪,321,诸葛亮,9
156,杨洪,329,黄权,2
156,杨洪,333,曹丕,2
156,杨洪,393,谯周,2
173,何宗,199,张裔,2
173,何宗,279,秦宓,2
173,何宗,321,诸葛亮,9
173,何宗,329,黄权,2
173,何宗,333,曹丕,2
173,何宗,393,谯周,2
199,张裔,279,秦宓,2
199,张裔,321,诸葛亮,9
199,张裔,329,黄权,2
199,张裔,333,曹丕,2
199,张裔,393,谯周,2
279,秦宓,321,诸葛亮,9
279,秦宓,329,黄权,2
279,秦宓,333,曹丕,2
279,秦宓,393,谯周,2
321,诸葛亮,329,黄权,9
329,黄权,333,曹丕,2
329,黄权,393,谯周,2
94,刘永,107,刘理,2
94,刘永,110,刘禅,2
94,刘永,118,关羽,2
94,刘永,122,许靖,2
94,刘永,124,许慈,2
94,刘永,127,孙权,2
94,刘永,243,孟光,2
94,刘永,246,赵云,3
94,刘永,321,诸葛亮,5
94,刘永,348,曹操,2
94,刘永,393,谯周,2
107,刘理,110,刘禅,2
107,刘理,118,关羽,2
107,刘理,122,许靖,2
107,刘理,124,许慈,2
107,刘理,127,孙权,2
107,刘理,243,孟光,2
107,刘理,246,赵云,3
107,刘理,321,诸葛亮,5
107,刘理,348,曹操,2
107,刘理,393,谯周,2
110,刘禅,118,关羽,2
110,刘禅,122,许靖,2
110,刘禅,124,许慈,2
110,刘禅,127,孙权,2
110,刘禅,243,孟光,2
110,刘禅,246,赵云,3
110,刘禅,321,诸葛亮,5
110,刘禅,348,曹操,2
110,刘禅,393,谯周,2
118,关羽,122,许靖,2
118,关羽,124,许慈,2
118,关羽,127,孙权,2
118,关羽,243,孟光,2
118,关羽,246,赵云,3
118,关羽,321,诸葛亮,5
118,关羽,348,曹操,2
118,关羽,393,谯周,2
122,许靖,124,许慈,2
122,许靖,127,孙权,2
122,许靖,243,孟光,2
122,许靖,246,赵云,3
122,许靖,348,曹操,2
124,许慈,127,孙权,2
124,许慈,243,孟光,2
124,许慈,246,赵云,3
124,许慈,321,诸葛亮,5
124,许慈,348,曹操,2
124,许慈,393,谯周,2
127,孙权,243,孟光,2
127,孙权,246,赵云,3
127,孙权,321,诸葛亮,5
127,孙权,348,曹操,2
127,孙权,393,谯周,2
243,孟光,246,赵云,3
243,孟光,321,诸葛亮,5
243,孟光,348,曹操,2
243,孟光,393,谯周,2
246,赵云,321,诸葛亮,6
246,赵云,348,曹操,3
246,赵云,393,谯周,3
321,诸葛亮,348,曹操,5
348,曹操,393,谯周,2
