label1,node1,label2,node2,link_num
11,马良,12,马忠,2
11,马良,13,马超,2
11,马良,61,冯习,2
11,马良,68,司马望,2
11,马良,93,刘巴,2
11,马良,118,关羽,2
11,马良,127,孙权,4
11,马良,181,张飞,5
11,马良,190,张南,2
11,马良,202,张翼,2
11,马良,219,陈震,7
11,马良,246,赵云,4
11,马良,279,秦宓,5
11,马良,321,诸葛亮,7
11,马良,329,黄权,2
11,马良,330,黄忠,2
11,马良,333,曹丕,2
11,马良,348,曹操,3
11,马良,373,程畿,2
11,马良,397,潘璋,2
11,马良,403,魏延,2
11,马良,404,糜芳,2
12,马忠,13,马超,2
12,马忠,61,冯习,2
12,马忠,68,司马望,2
12,马忠,93,刘巴,2
12,马忠,118,关羽,2
12,马忠,127,孙权,4
12,马忠,181,张飞,5
12,马忠,190,张南,2
12,马忠,202,张翼,2
12,马忠,219,陈震,2
12,马忠,246,赵云,4
12,马忠,279,秦宓,5
12,马忠,321,诸葛亮,7
12,马忠,329,黄权,2
12,马忠,330,黄忠,2
12,马忠,333,曹丕,2
12,马忠,348,曹操,3
12,马忠,373,程畿,2
12,马忠,397,潘璋,2
12,马忠,403,魏延,2
12,马忠,404,糜芳,2
13,马超,61,冯习,2
13,马超,68,司马望,2
13,马超,93,刘巴,2
13,马超,118,关羽,2
13,马超,127,孙权,4
13,马超,181,张飞,5
13,马超,190,张南,2
13,马超,202,张翼,2
13,马超,219,陈震,2
13,马超,246,赵云,4
13,马超,279,秦宓,5
13,马超,321,诸葛亮,7
13,马超,329,黄权,2
13,马超,330,黄忠,2
13,马超,333,曹丕,2
13,马超,348,曹操,3
13,马超,373,程畿,2
13,马超,397,潘璋,2
13,马超,403,魏延,2
13,马超,404,糜芳,2
61,冯习,68,司马望,2
61,冯习,93,刘巴,2
61,冯习,118,关羽,2
61,冯习,127,孙权,4
61,冯习,181,张飞,5
61,冯习,190,张南,2
61,冯习,202,张翼,2
61,冯习,219,陈震,2
61,冯习,246,赵云,4
61,冯习,279,秦宓,5
61,冯习,321,诸葛亮,7
61,冯习,329,黄权,2
61,冯习,330,黄忠,2
61,冯习,333,曹丕,2
61,冯习,348,曹操,3
61,冯习,373,程畿,2
61,冯习,397,潘璋,2
61,冯习,403,魏延,2
61,冯习,404,糜芳,2
68,司马望,93,刘巴,2
68,司马望,118,关羽,2
68,司马望,127,孙权,4
68,司马望,181,张飞,5
68,司马望,190,张南,2
68,司马望,202,张翼,2
68,司马望,219,陈震,2
68,司马望,246,赵云,4
68,司马望,279,秦宓,5
68,司马望,321,诸葛亮,7
68,司马望,329,黄权,2
68,司马望,330,黄忠,2
68,司马望,333,曹丕,2
68,司马望,348,曹操,3
68,司马望,373,程畿,2
68,司马望,397,潘璋,2
68,司马望,403,魏延,2
68,司马望,404,糜芳,2
93,刘巴,118,关羽,2
93,刘巴,127,孙权,4
93,刘巴,181,张飞,5
93,刘巴,190,张南,2
93,刘巴,202,张翼,2
93,刘巴,219,陈震,2
93,刘巴,246,赵云,4
93,刘巴,279,秦宓,5
93,刘巴,321,诸葛亮,7
93,刘巴,329,黄权,2
93,刘巴,330,黄忠,2
93,刘巴,333,曹丕,2
93,刘巴,348,曹操,3
93,刘巴,373,程畿,2
93,刘巴,397,潘璋,2
93,刘巴,403,魏延,2
93,刘巴,404,糜芳,2
118,关羽,127,孙权,4
118,关羽,181,张飞,5
118,关羽,190,张南,2
118,关羽,202,张翼,2
118,关羽,219,陈震,2
118,关羽,246,赵云,4
118,关羽,279,秦宓,5
118,关羽,321,诸葛亮,7
118,关羽,329,黄权,2
118,关羽,330,黄忠,2
118,关羽,333,曹丕,2
118,关羽,348,曹操,3
118,关羽,373,程畿,2
118,关羽,397,潘璋,2
118,关羽,403,魏延,2
118,关羽,404,糜芳,2
127,孙权,181,张飞,9
127,孙权,190,张南,4
127,孙权,202,张翼,4
127,孙权,219,陈震,4
127,孙权,246,赵云,6
127,孙权,279,秦宓,7
127,孙权,321,诸葛亮,9
127,孙权,329,黄权,4
127,孙权,330,黄忠,4
127,孙权,333,曹丕,6
127,孙权,348,曹操,5
127,孙权,373,程畿,4
127,孙权,397,潘璋,4
127,孙权,403,魏延,4
127,孙权,404,糜芳,4
181,张飞,190,张南,5
181,张飞,202,张翼,5
181,张飞,219,陈震,5
181,张飞,246,赵云,7
181,张飞,279,秦宓,8
181,张飞,321,诸葛亮,20
181,张飞,329,黄权,5
181,张飞,330,黄忠,5
181,张飞,333,曹丕,7
181,张飞,348,曹操,6
181,张飞,373,程畿,5
181,张飞,397,潘璋,5
181,张飞,403,魏延,5
181,张飞,404,糜芳,5
190,张南,202,张翼,2
190,张南,219,陈震,2
190,张南,246,赵云,4
190,张南,279,秦宓,5
190,张南,321,诸葛亮,7
190,张南,329,黄权,2
190,张南,330,黄忠,2
190,张南,333,曹丕,2
190,张南,348,曹操,3
190,张南,373,程畿,2
190,张南,397,潘璋,2
190,张南,403,魏延,2
190,张南,404,糜芳,2
202,张翼,219,陈震,2
202,张翼,246,赵云,4
202,张翼,279,秦宓,5
202,张翼,321,诸葛亮,7
202,张翼,329,黄权,2
202,张翼,330,黄忠,2
202,张翼,333,曹丕,2
202,张翼,348,曹操,3
202,张翼,373,程畿,2
202,张翼,397,潘璋,2
202,张翼,403,魏延,2
202,张翼,404,糜芳,2
219,陈震,246,赵云,4
219,陈震,279,秦宓,5
219,陈震,321,诸葛亮,7
219,陈震,329,黄权,2
219,陈震,330,黄忠,2
