label1,node1,label2,node2,link_num
81,吕蒙,127,孙权,14
81,吕蒙,326,诸葛瑾,6
81,吕蒙,329,黄权,4
81,吕蒙,333,曹丕,7
81,吕蒙,348,曹操,4
127,孙权,326,诸葛瑾,16
127,孙权,329,黄权,3
127,孙权,333,曹丕,9
127,孙权,348,曹操,3
326,诸葛瑾,329,黄权,4
326,诸葛瑾,333,曹丕,15
326,诸葛瑾,348,曹操,4
329,黄权,333,曹丕,3
329,黄权,348,曹操,2
333,曹丕,348,曹操,3
101,刘备,127,孙权,10
101,刘备,191,张昭,8
101,刘备,249,赵咨,3
101,刘备,321,诸葛亮,2
101,刘备,326,诸葛瑾,10
101,刘备,333,曹丕,2
127,孙权,191,张昭,10
127,孙权,249,赵咨,12
127,孙权,321,诸葛亮,3
191,张昭,249,赵咨,4
191,张昭,321,诸葛亮,3
191,张昭,326,诸葛瑾,11
191,张昭,333,曹丕,3
249,赵咨,321,诸葛亮,3
249,赵咨,326,诸葛瑾,11
249,赵咨,333,曹丕,7
321,诸葛亮,326,诸葛瑾,10
321,诸葛亮,333,曹丕,2
6,于禁,81,吕蒙,2
6,于禁,127,孙权,2
6,于禁,249,赵咨,4
6,于禁,294,贾诩,3
6,于禁,333,曹丕,2
6,于禁,377,鲁肃,2
81,吕蒙,249,赵咨,4
81,吕蒙,294,贾诩,3
81,吕蒙,377,鲁肃,6
127,孙权,294,贾诩,3
127,孙权,377,鲁肃,9
249,赵咨,294,贾诩,5
249,赵咨,377,鲁肃,4
294,贾诩,333,曹丕,3
294,贾诩,377,鲁肃,3
333,曹丕,377,鲁肃,2
105,刘晔,127,孙权,5
105,刘晔,249,赵咨,3
81,吕蒙,83,朱然,4
81,吕蒙,101,刘备,4
81,吕蒙,134,孙桓,7
81,吕蒙,142,孙策,3
81,吕蒙,191,张昭,3
81,吕蒙,305,顾雍,3
81,吕蒙,307,徐盛,3
83,朱然,101,刘备,6
83,朱然,127,孙权,7
83,朱然,134,孙桓,24
83,朱然,142,孙策,3
83,朱然,191,张昭,5
83,朱然,305,顾雍,3
83,朱然,307,徐盛,3
83,朱然,377,鲁肃,4
101,刘备,134,孙桓,10
101,刘备,142,孙策,3
101,刘备,305,顾雍,3
101,刘备,307,徐盛,3
101,刘备,377,鲁肃,4
127,孙权,134,孙桓,10
127,孙权,142,孙策,6
127,孙权,305,顾雍,6
127,孙权,307,徐盛,6
134,孙桓,142,孙策,6
134,孙桓,191,张昭,9
134,孙桓,305,顾雍,6
134,孙桓,307,徐盛,6
134,孙桓,377,鲁肃,7
142,孙策,191,张昭,2
142,孙策,305,顾雍,2
142,孙策,307,徐盛,2
142,孙策,377,鲁肃,3
191,张昭,305,顾雍,2
191,张昭,307,徐盛,2
191,张昭,377,鲁肃,3
305,顾雍,307,徐盛,2
305,顾雍,377,鲁肃,3
307,徐盛,377,鲁肃,3
61,冯习,134,孙桓,14
61,冯习,190,张南,9
134,孙桓,190,张南,11
61,冯习,83,朱然,11
83,朱然,190,张南,8
52,甘宁,83,朱然,3
52,甘宁,101,刘备,3
52,甘宁,134,孙桓,4
52,甘宁,191,张昭,3
52,甘宁,230,周泰,3
52,甘宁,312,凌统,3
52,甘宁,363,韩当,3
52,甘宁,397,潘璋,3
83,朱然,230,周泰,2
83,朱然,312,凌统,2
83,朱然,363,韩当,2
83,朱然,397,潘璋,2
101,刘备,230,周泰,2
101,刘备,312,凌统,2
101,刘备,363,韩当,2
101,刘备,397,潘璋,2
134,孙桓,230,周泰,3
134,孙桓,312,凌统,3
134,孙桓,363,韩当,3
134,孙桓,397,潘璋,3
191,张昭,230,周泰,2
191,张昭,312,凌统,2
191,张昭,363,韩当,2
191,张昭,397,潘璋,2
230,周泰,312,凌统,2
230,周泰,363,韩当,4
230,周泰,397,潘璋,2
312,凌统,363,韩当,2
312,凌统,397,潘璋,2
363,韩当,397,潘璋,2
127,孙权,230,周泰,2
127,孙权,330,黄忠,6
127,孙权,363,韩当,2
230,周泰,330,黄忠,6
330,黄忠,363,韩当,6
