label1,node1,label2,node2,link_num
12,马忠,61,冯习,9
12,马忠,190,张南,7
12,马忠,230,周泰,12
12,马忠,312,凌统,2
12,马忠,330,黄忠,9
12,马忠,363,韩当,12
12,马忠,397,潘璋,16
61,冯习,190,张南,6
61,冯习,230,周泰,7
61,冯习,312,凌统,4
61,冯习,330,黄忠,11
61,冯习,363,韩当,8
61,冯习,397,潘璋,7
190,张南,230,周泰,2
190,张南,312,凌统,2
190,张南,330,黄忠,9
190,张南,363,韩当,2
190,张南,397,潘璋,5
230,周泰,312,凌统,2
230,周泰,330,黄忠,14
230,周泰,363,韩当,21
230,周泰,397,潘璋,10
312,凌统,330,黄忠,9
312,凌统,363,韩当,2
312,凌统,397,潘璋,5
330,黄忠,363,韩当,13
330,黄忠,397,潘璋,12
363,韩当,397,潘璋,10
52,甘宁,230,周泰,7
52,甘宁,329,黄权,4
52,甘宁,330,黄忠,4
52,甘宁,363,韩当,6
230,周泰,329,黄权,5
329,黄权,330,黄忠,2
329,黄权,363,韩当,4
12,马忠,81,吕蒙,15
12,马忠,404,糜芳,20
81,吕蒙,230,周泰,4
81,吕蒙,363,韩当,4
81,吕蒙,397,潘璋,5
81,吕蒙,404,糜芳,11
230,周泰,404,糜芳,8
363,韩当,404,糜芳,8
397,潘璋,404,糜芳,9
61,冯习,81,吕蒙,2
61,冯习,404,糜芳,3
81,吕蒙,190,张南,2
190,张南,404,糜芳,3
12,马忠,127,孙权,3
12,马忠,169,步骘,3
12,马忠,181,张飞,3
12,马忠,370,程秉,3
81,吕蒙,127,孙权,2
81,吕蒙,169,步骘,2
81,吕蒙,181,张飞,2
81,吕蒙,370,程秉,2
127,孙权,169,步骘,2
127,孙权,181,张飞,4
127,孙权,230,周泰,2
127,孙权,363,韩当,2
127,孙权,370,程秉,5
127,孙权,397,潘璋,2
127,孙权,404,糜芳,3
169,步骘,181,张飞,2
169,步骘,230,周泰,2
169,步骘,363,韩当,2
169,步骘,370,程秉,2
169,步骘,397,潘璋,2
169,步骘,404,糜芳,3
181,张飞,230,周泰,2
181,张飞,363,韩当,2
181,张飞,370,程秉,5
181,张飞,397,潘璋,2
181,张飞,404,糜芳,3
230,周泰,370,程秉,2
363,韩当,370,程秉,2
370,程秉,397,潘璋,2
370,程秉,404,糜芳,3
11,马良,127,孙权,2
11,马良,181,张飞,2
11,马良,370,程秉,3
81,吕蒙,101,刘备,4
81,吕蒙,133,孙亮,4
81,吕蒙,191,张昭,3
81,吕蒙,203,陆纡,3
81,吕蒙,206,陆逊,12
81,吕蒙,207,陆骏,3
81,吕蒙,305,顾雍,3
81,吕蒙,377,鲁肃,4
81,吕蒙,396,圆泽,4
101,刘备,133,孙亮,4
101,刘备,191,张昭,3
101,刘备,203,陆纡,3
101,刘备,206,陆逊,22
101,刘备,207,陆骏,3
101,刘备,305,顾雍,3
101,刘备,377,鲁肃,4
101,刘备,396,圆泽,4
133,孙亮,191,张昭,3
133,孙亮,203,陆纡,3
133,孙亮,206,陆逊,12
133,孙亮,207,陆骏,3
133,孙亮,305,顾雍,3
133,孙亮,377,鲁肃,4
133,孙亮,396,圆泽,4
191,张昭,203,陆纡,2
191,张昭,206,陆逊,11
191,张昭,207,陆骏,2
191,张昭,305,顾雍,2
191,张昭,377,鲁肃,3
191,张昭,396,圆泽,3
203,陆纡,206,陆逊,11
203,陆纡,207,陆骏,2
203,陆纡,305,顾雍,2
203,陆纡,377,鲁肃,3
203,陆纡,396,圆泽,3
206,陆逊,207,陆骏,11
206,陆逊,305,顾雍,11
206,陆逊,377,鲁肃,12
206,陆逊,396,圆泽,12
207,陆骏,305,顾雍,2
207,陆骏,377,鲁肃,3
207,陆骏,396,圆泽,3
305,顾雍,377,鲁肃,3
305,顾雍,396,圆泽,3
377,鲁肃,396,圆泽,4
2,丁奉,134,孙桓,3
2,丁奉,230,周泰,4
2,丁奉,307,徐盛,2
2,丁奉,363,韩当,3
134,孙桓,230,周泰,5
134,孙桓,307,徐盛,3
134,孙桓,363,韩当,4
230,周泰,307,徐盛,4
307,徐盛,363,韩当,3
11,马良,101,刘备,4
11,马良,206,陆逊,18
11,马良,363,韩当,13
101,刘备,363,韩当,7
206,陆逊,363,韩当,19
11,马良,61,冯习,6
11,马良,230,周泰,5
61,冯习,206,陆逊,6
206,陆逊,230,周泰,5
