label1,node1,label2,node2,link_num
206,陆逊,321,诸葛亮,27
206,陆逊,230,周泰,20
206,陆逊,363,韩当,15
230,周泰,363,韩当,7
2,丁奉,11,马良,5
2,丁奉,101,刘备,11
2,丁奉,127,孙权,3
2,丁奉,206,陆逊,19
2,丁奉,230,周泰,6
2,丁奉,307,徐盛,12
2,丁奉,312,凌统,3
2,丁奉,321,诸葛亮,13
2,丁奉,329,黄权,5
2,丁奉,332,曹仁,3
2,丁奉,334,曹休,3
2,丁奉,341,曹真,3
2,丁奉,363,韩当,6
11,马良,101,刘备,7
11,马良,127,孙权,4
11,马良,206,陆逊,11
11,马良,230,周泰,4
11,马良,307,徐盛,6
11,马良,312,凌统,4
11,马良,321,诸葛亮,11
11,马良,329,黄权,6
11,马良,332,曹仁,4
11,马良,334,曹休,4
11,马良,341,曹真,4
11,马良,363,韩当,4
101,刘备,127,孙权,5
101,刘备,206,陆逊,24
101,刘备,230,周泰,9
101,刘备,307,徐盛,10
101,刘备,312,凌统,5
101,刘备,321,诸葛亮,18
101,刘备,329,黄权,7
101,刘备,332,曹仁,7
101,刘备,334,曹休,7
101,刘备,341,曹真,7
101,刘备,363,韩当,7
127,孙权,206,陆逊,9
127,孙权,230,周泰,2
127,孙权,307,徐盛,4
127,孙权,312,凌统,2
127,孙权,321,诸葛亮,9
127,孙权,329,黄权,4
127,孙权,332,曹仁,2
127,孙权,334,曹休,2
127,孙权,341,曹真,2
127,孙权,363,韩当,2
206,陆逊,307,徐盛,19
206,陆逊,312,凌统,9
206,陆逊,329,黄权,11
206,陆逊,332,曹仁,13
206,陆逊,334,曹休,13
206,陆逊,341,曹真,13
230,周泰,307,徐盛,7
230,周泰,312,凌统,2
230,周泰,321,诸葛亮,15
230,周泰,329,黄权,4
230,周泰,332,曹仁,4
230,周泰,334,曹休,4
230,周泰,341,曹真,4
307,徐盛,312,凌统,4
307,徐盛,321,诸葛亮,14
307,徐盛,329,黄权,6
307,徐盛,332,曹仁,4
307,徐盛,334,曹休,4
307,徐盛,341,曹真,4
307,徐盛,363,韩当,7
312,凌统,321,诸葛亮,9
312,凌统,329,黄权,4
312,凌统,332,曹仁,2
312,凌统,334,曹休,2
312,凌统,341,曹真,2
312,凌统,363,韩当,2
321,诸葛亮,329,黄权,11
321,诸葛亮,332,曹仁,13
321,诸葛亮,334,曹休,13
321,诸葛亮,341,曹真,13
321,诸葛亮,363,韩当,11
329,黄权,332,曹仁,4
329,黄权,334,曹休,4
329,黄权,341,曹真,4
329,黄权,363,韩当,4
332,曹仁,334,曹休,4
332,曹仁,341,曹真,4
332,曹仁,363,韩当,2
334,曹休,341,曹真,4
334,曹休,363,韩当,2
341,曹真,363,韩当,2
2,丁奉,83,朱然,5
2,丁奉,373,程畿,3
83,朱然,101,刘备,6
83,朱然,206,陆逊,11
83,朱然,230,周泰,2
83,朱然,307,徐盛,6
83,朱然,321,诸葛亮,2
83,朱然,363,韩当,2
83,朱然,373,程畿,2
101,刘备,373,程畿,2
206,陆逊,373,程畿,3
230,周泰,373,程畿,2
307,徐盛,373,程畿,3
321,诸葛亮,373,程畿,2
363,韩当,373,程畿,2
2,丁奉,61,冯习,4
61,冯习,83,朱然,4
61,冯习,206,陆逊,5
61,冯习,307,徐盛,5
83,朱然,246,赵云,6
101,刘备,246,赵云,6
206,陆逊,246,赵云,9
61,冯习,134,孙桓,5
61,冯习,190,张南,6
61,冯习,373,程畿,4
134,孙桓,190,张南,5
134,孙桓,373,程畿,3
190,张南,373,程畿,4
101,刘备,254,荀勖,2
101,刘备,333,曹丕,2
206,陆逊,254,荀勖,4
206,陆逊,333,曹丕,4
230,周泰,246,赵云,2
230,周泰,254,荀勖,2
230,周泰,333,曹丕,2
246,赵云,254,荀勖,2
246,赵云,321,诸葛亮,4
246,赵云,332,曹仁,2
246,赵云,333,曹丕,2
246,赵云,334,曹休,2
246,赵云,341,曹真,2
254,荀勖,321,诸葛亮,4
254,荀勖,332,曹仁,2
254,荀勖,333,曹丕,2
254,荀勖,334,曹休,2
254,荀勖,341,曹真,2
321,诸葛亮,333,曹丕,4
332,曹仁,333,曹丕,2
333,曹丕,334,曹休,2
333,曹丕,341,曹真,2
