label1,node1,label2,node2,link_num
96,刘先,321,诸葛亮,2
11,马良,61,冯习,2
11,马良,190,张南,2
11,马良,206,陆逊,3
11,马良,246,赵云,4
11,马良,321,诸葛亮,18
11,马良,329,黄权,8
11,马良,333,曹丕,4
11,马良,373,程畿,2
61,冯习,190,张南,2
61,冯习,206,陆逊,3
61,冯习,246,赵云,2
61,冯习,321,诸葛亮,2
61,冯习,329,黄权,8
61,冯习,333,曹丕,2
61,冯习,373,程畿,2
190,张南,206,陆逊,3
190,张南,246,赵云,2
190,张南,321,诸葛亮,2
190,张南,329,黄权,8
190,张南,333,曹丕,2
190,张南,373,程畿,2
206,陆逊,246,赵云,3
206,陆逊,321,诸葛亮,7
206,陆逊,329,黄权,9
206,陆逊,333,曹丕,7
206,陆逊,373,程畿,3
246,赵云,321,诸葛亮,20
246,赵云,329,黄权,8
246,赵云,333,曹丕,6
246,赵云,373,程畿,2
321,诸葛亮,329,黄权,8
321,诸葛亮,333,曹丕,37
321,诸葛亮,373,程畿,2
329,黄权,333,曹丕,8
329,黄权,373,程畿,8
333,曹丕,373,程畿,2
76,吕范,101,刘备,3
76,吕范,105,刘晔,5
76,吕范,127,孙权,3
76,吕范,206,陆逊,6
76,吕范,294,贾诩,4
76,吕范,321,诸葛亮,2
76,吕范,326,诸葛瑾,4
76,吕范,332,曹仁,5
76,吕范,333,曹丕,2
76,吕范,334,曹休,4
76,吕范,341,曹真,4
101,刘备,105,刘晔,4
101,刘备,127,孙权,7
101,刘备,206,陆逊,5
101,刘备,294,贾诩,6
101,刘备,321,诸葛亮,12
101,刘备,326,诸葛瑾,3
101,刘备,332,曹仁,3
101,刘备,333,曹丕,6
101,刘备,334,曹休,3
101,刘备,341,曹真,7
105,刘晔,127,孙权,4
105,刘晔,206,陆逊,7
105,刘晔,294,贾诩,5
105,刘晔,321,诸葛亮,3
105,刘晔,326,诸葛瑾,5
105,刘晔,332,曹仁,6
105,刘晔,333,曹丕,3
105,刘晔,334,曹休,5
105,刘晔,341,曹真,5
127,孙权,206,陆逊,5
127,孙权,294,贾诩,5
127,孙权,321,诸葛亮,20
127,孙权,326,诸葛瑾,3
127,孙权,332,曹仁,7
127,孙权,333,曹丕,13
127,孙权,334,曹休,3
127,孙权,341,曹真,13
206,陆逊,294,贾诩,6
206,陆逊,326,诸葛瑾,6
206,陆逊,332,曹仁,7
206,陆逊,334,曹休,6
206,陆逊,341,曹真,6
294,贾诩,321,诸葛亮,10
294,贾诩,326,诸葛瑾,4
294,贾诩,332,曹仁,5
294,贾诩,333,曹丕,4
294,贾诩,334,曹休,4
294,贾诩,341,曹真,7
321,诸葛亮,326,诸葛瑾,2
321,诸葛亮,332,曹仁,2
321,诸葛亮,334,曹休,2
321,诸葛亮,341,曹真,21
326,诸葛瑾,332,曹仁,5
326,诸葛瑾,333,曹丕,2
326,诸葛瑾,334,曹休,4
326,诸葛瑾,341,曹真,4
332,曹仁,333,曹丕,6
332,曹仁,334,曹休,5
332,曹仁,341,曹真,5
333,曹丕,334,曹休,2
333,曹丕,341,曹真,12
334,曹休,341,曹真,4
17,王双,127,孙权,2
17,王双,332,曹仁,4
17,王双,333,曹丕,2
76,吕范,297,夏侯尚,2
105,刘晔,297,夏侯尚,2
206,陆逊,297,夏侯尚,2
294,贾诩,297,夏侯尚,2
297,夏侯尚,326,诸葛瑾,2
297,夏侯尚,332,曹仁,3
297,夏侯尚,334,曹休,2
297,夏侯尚,341,曹真,2
11,马良,14,马谡,3
11,马良,94,刘永,3
11,马良,107,刘理,3
11,马良,110,刘禅,2
11,马良,118,关羽,3
11,马良,159,李严,2
11,马良,181,张飞,2
14,马谡,94,刘永,4
14,马谡,107,刘理,4
14,马谡,110,刘禅,3
14,马谡,118,关羽,4
14,马谡,159,李严,3
14,马谡,181,张飞,3
14,马谡,246,赵云,3
14,马谡,321,诸葛亮,17
14,马谡,333,曹丕,3
94,刘永,107,刘理,4
94,刘永,110,刘禅,3
94,刘永,118,关羽,4
94,刘永,159,李严,3
94,刘永,181,张飞,3
94,刘永,246,赵云,3
94,刘永,321,诸葛亮,17
94,刘永,333,曹丕,3
107,刘理,110,刘禅,3
107,刘理,118,关羽,4
107,刘理,159,李严,3
107,刘理,181,张飞,3
107,刘理,246,赵云,3
107,刘理,321,诸葛亮,17
107,刘理,333,曹丕,3
110,刘禅,118,关羽,3
110,刘禅,159,李严,2
110,刘禅,181,张飞,5
110,刘禅,246,赵云,2
110,刘禅,321,诸葛亮,25
110,刘禅,333,曹丕,5
118,关羽,159,李严,3
118,关羽,181,张飞,3
118,关羽,246,赵云,3
118,关羽,321,诸葛亮,17
118,关羽,333,曹丕,3
159,李严,181,张飞,2
159,李严,246,赵云,6
159,李严,321,诸葛亮,20
159,李严,333,曹丕,6
181,张飞,246,赵云,2
181,张飞,321,诸葛亮,24
181,张飞,333,曹丕,4
70,司马懿,101,刘备,3
70,司马懿,110,刘禅,3
70,司马懿,127,孙权,2
70,司马懿,181,张飞,2
70,司马懿,182,张辽,2
70,司马懿,242,孟达,2
70,司马懿,294,贾诩,2
70,司马懿,321,诸葛亮,8
70,司马懿,333,曹丕,2
70,司马懿,341,曹真,3
101,刘备,110,刘禅,4
101,刘备,181,张飞,3
101,刘备,182,张辽,3
101,刘备,242,孟达,3
110,刘禅,127,孙权,3
110,刘禅,182,张辽,3
110,刘禅,242,孟达,3
110,刘禅,294,贾诩,3
110,刘禅,341,曹真,4
127,孙权,181,张飞,2
127,孙权,182,张辽,2
127,孙权,242,孟达,9
181,张飞,182,张辽,2
181,张飞,242,孟达,2
181,张飞,294,贾诩,2
181,张飞,341,曹真,3
182,张辽,242,孟达,2
182,张辽,294,贾诩,2
182,张辽,321,诸葛亮,8
182,张辽,333,曹丕,2
182,张辽,341,曹真,3
242,孟达,294,贾诩,2
242,孟达,321,诸葛亮,18
242,孟达,333,曹丕,9
242,孟达,341,曹真,11
