label1,node1,label2,node2,link_num
197,张温,279,秦宓,10
197,张温,307,徐盛,2
197,张温,333,曹丕,2
279,秦宓,307,徐盛,2
279,秦宓,333,曹丕,2
307,徐盛,333,曹丕,23
191,张昭,206,陆逊,7
191,张昭,305,顾雍,4
191,张昭,321,诸葛亮,6
191,张昭,333,曹丕,3
206,陆逊,305,顾雍,8
206,陆逊,321,诸葛亮,10
206,陆逊,333,曹丕,18
305,顾雍,321,诸葛亮,6
305,顾雍,333,曹丕,16
321,诸葛亮,333,曹丕,18
13,马超,45,邓芝,3
13,马超,127,孙权,2
13,马超,191,张昭,2
13,马超,206,陆逊,2
13,马超,242,孟达,2
13,马超,246,赵云,6
13,马超,321,诸葛亮,4
13,马超,341,曹真,5
13,马超,403,魏延,2
45,邓芝,127,孙权,3
45,邓芝,191,张昭,3
45,邓芝,206,陆逊,3
45,邓芝,242,孟达,3
45,邓芝,246,赵云,3
45,邓芝,321,诸葛亮,31
45,邓芝,341,曹真,4
45,邓芝,403,魏延,3
127,孙权,191,张昭,2
127,孙权,206,陆逊,7
127,孙权,242,孟达,2
127,孙权,246,赵云,2
127,孙权,321,诸葛亮,6
127,孙权,341,曹真,8
127,孙权,403,魏延,2
191,张昭,242,孟达,2
191,张昭,246,赵云,2
191,张昭,341,曹真,3
191,张昭,403,魏延,2
206,陆逊,242,孟达,2
206,陆逊,246,赵云,2
206,陆逊,341,曹真,7
206,陆逊,403,魏延,2
242,孟达,246,赵云,2
242,孟达,321,诸葛亮,2
242,孟达,341,曹真,3
242,孟达,403,魏延,2
246,赵云,321,诸葛亮,6
246,赵云,341,曹真,7
246,赵云,403,魏延,2
321,诸葛亮,341,曹真,8
321,诸葛亮,403,魏延,2
341,曹真,403,魏延,3
45,邓芝,197,张温,26
197,张温,321,诸葛亮,27
5,丁廙,45,邓芝,3
5,丁廙,197,张温,7
5,丁廙,321,诸葛亮,3
45,邓芝,279,秦宓,5
279,秦宓,321,诸葛亮,8
2,丁奉,42,文聘,6
2,丁奉,70,司马懿,3
2,丁奉,79,吕虔,2
2,丁奉,105,刘晔,3
2,丁奉,123,许褚,2
2,丁奉,127,孙权,4
2,丁奉,146,孙韶,13
2,丁奉,178,辛毗,2
2,丁奉,182,张辽,6
2,丁奉,188,张郃,2
2,丁奉,206,陆逊,3
2,丁奉,294,贾诩,2
2,丁奉,305,顾雍,2
2,丁奉,306,徐晃,5
2,丁奉,307,徐盛,11
2,丁奉,321,诸葛亮,5
2,丁奉,332,曹仁,2
2,丁奉,333,曹丕,16
2,丁奉,334,曹休,2
