label1,node1,label2,node2,link_num
13,马超,23,王连,2
13,马超,77,吕凯,2
13,马超,127,孙权,2
13,马超,159,李严,2
13,马超,206,陆逊,2
13,马超,321,诸葛亮,4
13,马超,333,曹丕,3
23,王连,77,吕凯,2
23,王连,127,孙权,2
23,王连,159,李严,2
23,王连,206,陆逊,2
23,王连,321,诸葛亮,9
23,王连,333,曹丕,3
77,吕凯,127,孙权,2
77,吕凯,159,李严,2
77,吕凯,206,陆逊,2
77,吕凯,321,诸葛亮,25
77,吕凯,333,曹丕,7
127,孙权,159,李严,2
127,孙权,206,陆逊,2
127,孙权,321,诸葛亮,4
127,孙权,333,曹丕,3
159,李严,206,陆逊,2
159,李严,321,诸葛亮,4
159,李严,333,曹丕,3
206,陆逊,321,诸葛亮,4
206,陆逊,333,曹丕,3
321,诸葛亮,333,曹丕,19
18,王平,23,王连,2
18,王平,202,张翼,22
18,王平,246,赵云,28
18,王平,277,费祎,2
18,王平,321,诸葛亮,53
18,王平,358,董厥,2
18,王平,362,蒋琬,2
18,王平,394,樊建,2
18,王平,403,魏延,34
23,王连,202,张翼,2
23,王连,246,赵云,2
23,王连,277,费祎,2
23,王连,358,董厥,2
23,王连,362,蒋琬,2
23,王连,394,樊建,2
23,王连,403,魏延,2
202,张翼,246,赵云,22
202,张翼,277,费祎,2
202,张翼,321,诸葛亮,47
202,张翼,358,董厥,2
202,张翼,362,蒋琬,2
202,张翼,394,樊建,2
202,张翼,403,魏延,28
246,赵云,277,费祎,2
246,赵云,321,诸葛亮,48
246,赵云,358,董厥,2
246,赵云,362,蒋琬,2
246,赵云,394,樊建,2
246,赵云,403,魏延,39
277,费祎,321,诸葛亮,5
277,费祎,358,董厥,2
277,费祎,362,蒋琬,2
277,费祎,394,樊建,2
277,费祎,403,魏延,2
321,诸葛亮,358,董厥,5
321,诸葛亮,362,蒋琬,5
321,诸葛亮,394,樊建,5
321,诸葛亮,403,魏延,65
358,董厥,362,蒋琬,2
358,董厥,394,樊建,2
358,董厥,403,魏延,2
362,蒋琬,394,樊建,2
362,蒋琬,403,魏延,2
394,樊建,403,魏延,2
11,马良,14,马谡,6
11,马良,77,吕凯,4
11,马良,321,诸葛亮,14
11,马良,333,曹丕,2
14,马谡,77,吕凯,8
14,马谡,321,诸葛亮,18
14,马谡,333,曹丕,6
12,马忠,18,王平,10
12,马忠,200,张嶷,9
12,马忠,202,张翼,9
12,马忠,246,赵云,17
12,马忠,321,诸葛亮,11
12,马忠,403,魏延,16
18,王平,200,张嶷,16
200,张嶷,202,张翼,10
200,张嶷,246,赵云,20
200,张嶷,321,诸葛亮,26
200,张嶷,403,魏延,20
12,马忠,77,吕凯,3
18,王平,77,吕凯,3
77,吕凯,200,张嶷,3
77,吕凯,202,张翼,3
77,吕凯,246,赵云,9
77,吕凯,403,魏延,8
