label1,node1,label2,node2,link_num
18,王平,77,吕凯,7
18,王平,200,张嶷,2
18,王平,202,张翼,2
18,王平,321,诸葛亮,47
18,王平,362,蒋琬,5
77,吕凯,200,张嶷,3
77,吕凯,202,张翼,3
77,吕凯,321,诸葛亮,41
77,吕凯,362,蒋琬,6
200,张嶷,202,张翼,2
200,张嶷,321,诸葛亮,14
200,张嶷,362,蒋琬,3
202,张翼,321,诸葛亮,14
202,张翼,362,蒋琬,3
321,诸葛亮,362,蒋琬,36
127,孙权,321,诸葛亮,6
127,孙权,348,曹操,2
321,诸葛亮,348,曹操,6
12,马忠,14,马谡,4
12,马忠,18,王平,4
12,马忠,77,吕凯,2
12,马忠,246,赵云,5
12,马忠,277,费祎,2
12,马忠,321,诸葛亮,28
12,马忠,362,蒋琬,2
12,马忠,403,魏延,5
14,马谡,18,王平,6
14,马谡,77,吕凯,6
14,马谡,246,赵云,6
14,马谡,277,费祎,4
14,马谡,321,诸葛亮,28
14,马谡,362,蒋琬,4
14,马谡,403,魏延,6
18,王平,246,赵云,7
18,王平,277,费祎,2
18,王平,403,魏延,7
77,吕凯,246,赵云,4
77,吕凯,277,费祎,2
77,吕凯,403,魏延,4
246,赵云,277,费祎,2
246,赵云,321,诸葛亮,34
246,赵云,362,蒋琬,2
246,赵云,403,魏延,8
277,费祎,321,诸葛亮,21
277,费祎,362,蒋琬,2
277,费祎,403,魏延,2
321,诸葛亮,403,魏延,34
362,蒋琬,403,魏延,2
