label1,node1,label2,node2,link_num
75,吕布,294,贾诩,11
75,吕布,354,董卓,52
3,丁原,7,士孙瑞,3
3,丁原,16,王允,3
3,丁原,75,吕布,6
3,丁原,354,董卓,6
7,士孙瑞,16,王允,2
7,士孙瑞,75,吕布,5
7,士孙瑞,354,董卓,5
16,王允,75,吕布,35
16,王允,354,董卓,42
16,王允,268,皇甫嵩,5
75,吕布,268,皇甫嵩,6
268,皇甫嵩,354,董卓,6
16,王允,294,贾诩,6
16,王允,385,蔡邕,9
75,吕布,385,蔡邕,12
294,贾诩,354,董卓,8
294,贾诩,385,蔡邕,5
354,董卓,385,蔡邕,11
16,王允,281,袁术,3
75,吕布,281,袁术,4
281,袁术,354,董卓,2
16,王允,29,王颀,9
16,王允,227,周奂,9
16,王允,331,黄盖,9
29,王颀,227,周奂,2
29,王颀,331,黄盖,2
29,王颀,354,董卓,2
227,周奂,331,黄盖,2
227,周奂,354,董卓,2
331,黄盖,354,董卓,2
