label1,node1,label2,node2,link_num
77,吕凯,321,诸葛亮,15
77,吕凯,358,董厥,2
321,诸葛亮,358,董厥,17
283,袁绍,287,袁熙,2
283,袁绍,321,诸葛亮,6
283,袁绍,333,曹丕,2
283,袁绍,346,曹睿,3
287,袁熙,321,诸葛亮,6
287,袁熙,333,曹丕,2
287,袁熙,346,曹睿,3
321,诸葛亮,333,曹丕,10
321,诸葛亮,346,曹睿,27
333,曹丕,346,曹睿,8
31,王朗,70,司马懿,18
31,王朗,88,华歆,5
31,王朗,218,陈群,4
31,王朗,265,钟繇,2
31,王朗,334,曹休,8
31,王朗,341,曹真,8
31,王朗,346,曹睿,11
70,司马懿,88,华歆,19
70,司马懿,218,陈群,7
70,司马懿,265,钟繇,5
70,司马懿,334,曹休,22
70,司马懿,341,曹真,22
70,司马懿,346,曹睿,32
88,华歆,218,陈群,4
88,华歆,265,钟繇,2
88,华歆,334,曹休,9
88,华歆,341,曹真,9
88,华歆,346,曹睿,8
218,陈群,265,钟繇,4
218,陈群,334,曹休,6
218,陈群,341,曹真,7
218,陈群,346,曹睿,6
265,钟繇,334,曹休,4
265,钟繇,341,曹真,5
265,钟繇,346,曹睿,4
334,曹休,341,曹真,12
334,曹休,346,曹睿,11
341,曹真,346,曹睿,11
14,马谡,70,司马懿,6
14,马谡,321,诸葛亮,7
14,马谡,333,曹丕,3
14,马谡,346,曹睿,6
70,司马懿,321,诸葛亮,21
70,司马懿,333,曹丕,5
70,司马懿,343,曹植,2
343,曹植,346,曹睿,3
31,王朗,158,杨暨,2
31,王朗,277,费祎,2
31,王朗,315,郭攸之,2
31,王朗,321,诸葛亮,12
31,王朗,353,董允,2
70,司马懿,158,杨暨,13
70,司马懿,277,费祎,13
70,司马懿,315,郭攸之,13
70,司马懿,353,董允,13
88,华歆,158,杨暨,3
88,华歆,277,费祎,3
88,华歆,315,郭攸之,3
88,华歆,321,诸葛亮,4
88,华歆,353,董允,3
158,杨暨,277,费祎,2
158,杨暨,315,郭攸之,2
158,杨暨,321,诸葛亮,3
158,杨暨,334,曹休,4
158,杨暨,341,曹真,3
158,杨暨,346,曹睿,3
158,杨暨,353,董允,2
277,费祎,315,郭攸之,4
277,费祎,321,诸葛亮,8
277,费祎,334,曹休,4
277,费祎,341,曹真,3
277,费祎,346,曹睿,3
277,费祎,353,董允,4
315,郭攸之,321,诸葛亮,8
315,郭攸之,334,曹休,4
315,郭攸之,341,曹真,3
315,郭攸之,346,曹睿,3
315,郭攸之,353,董允,4
321,诸葛亮,334,曹休,5
321,诸葛亮,341,曹真,4
321,诸葛亮,353,董允,8
334,曹休,353,董允,4
341,曹真,353,董允,3
346,曹睿,353,董允,3
151,杜琼,152,杜微,2
151,杜琼,156,杨洪,2
151,杜琼,168,来敏,2
151,杜琼,199,张裔,2
151,杜琼,243,孟光,2
151,杜琼,270,郤正,2
151,杜琼,277,费祎,2
151,杜琼,315,郭攸之,2
151,杜琼,321,诸葛亮,5
151,杜琼,353,董允,2
151,杜琼,362,蒋琬,2
151,杜琼,393,谯周,4
152,杜微,156,杨洪,2
152,杜微,168,来敏,2
152,杜微,199,张裔,2
152,杜微,243,孟光,2
152,杜微,270,郤正,2
152,杜微,277,费祎,2
152,杜微,315,郭攸之,2
152,杜微,321,诸葛亮,5
152,杜微,353,董允,2
152,杜微,362,蒋琬,2
152,杜微,393,谯周,4
156,杨洪,168,来敏,2
156,杨洪,199,张裔,2
156,杨洪,243,孟光,2
156,杨洪,270,郤正,2
156,杨洪,277,费祎,2
156,杨洪,315,郭攸之,2
156,杨洪,321,诸葛亮,5
156,杨洪,353,董允,2
156,杨洪,362,蒋琬,2
156,杨洪,393,谯周,4
168,来敏,199,张裔,2
168,来敏,243,孟光,2
168,来敏,270,郤正,2
168,来敏,277,费祎,2
168,来敏,315,郭攸之,2
168,来敏,321,诸葛亮,5
168,来敏,353,董允,2
168,来敏,362,蒋琬,2
168,来敏,393,谯周,4
199,张裔,243,孟光,2
199,张裔,270,郤正,2
199,张裔,277,费祎,2
199,张裔,315,郭攸之,2
199,张裔,321,诸葛亮,5
199,张裔,353,董允,2
199,张裔,362,蒋琬,2
199,张裔,393,谯周,4
243,孟光,270,郤正,2
243,孟光,277,费祎,2
243,孟光,315,郭攸之,2
243,孟光,321,诸葛亮,5
243,孟光,353,董允,2
243,孟光,362,蒋琬,2
243,孟光,393,谯周,4
270,郤正,277,费祎,2
270,郤正,315,郭攸之,2
270,郤正,321,诸葛亮,5
270,郤正,353,董允,2
270,郤正,362,蒋琬,2
270,郤正,393,谯周,4
277,费祎,362,蒋琬,2
277,费祎,393,谯周,4
315,郭攸之,362,蒋琬,2
315,郭攸之,393,谯周,4
321,诸葛亮,362,蒋琬,5
321,诸葛亮,393,谯周,7
353,董允,362,蒋琬,2
353,董允,393,谯周,4
362,蒋琬,393,谯周,4
12,马忠,14,马谡,2
12,马忠,18,王平,2
12,马忠,45,邓芝,2
12,马忠,109,刘琰,2
12,马忠,162,李恢,2
12,马忠,200,张嶷,2
12,马忠,202,张翼,2
12,马忠,321,诸葛亮,2
12,马忠,391,廖化,2
12,马忠,403,魏延,2
14,马谡,18,王平,2
14,马谡,45,邓芝,2
14,马谡,109,刘琰,2
14,马谡,162,李恢,2
14,马谡,200,张嶷,2
14,马谡,202,张翼,2
14,马谡,391,廖化,2
14,马谡,403,魏延,2
18,王平,45,邓芝,2
18,王平,109,刘琰,2
18,王平,162,李恢,2
18,王平,200,张嶷,2
18,王平,202,张翼,2
18,王平,321,诸葛亮,2
18,王平,391,廖化,2
