label1,node1,label2,node2,link_num
272,姜维,321,诸葛亮,85
202,张翼,246,赵云,13
202,张翼,272,姜维,16
202,张翼,321,诸葛亮,18
246,赵云,272,姜维,30
246,赵云,321,诸葛亮,43
246,赵云,403,魏延,13
272,姜维,403,魏延,22
321,诸葛亮,403,魏延,32
18,王平,202,张翼,6
18,王平,272,姜维,8
18,王平,321,诸葛亮,12
18,王平,403,魏延,10
202,张翼,403,魏延,10
31,王朗,75,吕布,9
31,王朗,99,刘表,9
31,王朗,272,姜维,12
31,王朗,281,袁术,9
31,王朗,283,袁绍,9
31,王朗,318,郭淮,15
31,王朗,321,诸葛亮,34
31,王朗,341,曹真,21
31,王朗,346,曹睿,10
31,王朗,354,董卓,9
75,吕布,99,刘表,2
75,吕布,272,姜维,5
75,吕布,281,袁术,2
75,吕布,283,袁绍,2
75,吕布,318,郭淮,5
75,吕布,321,诸葛亮,18
75,吕布,341,曹真,7
75,吕布,346,曹睿,3
75,吕布,354,董卓,2
99,刘表,272,姜维,5
99,刘表,281,袁术,2
99,刘表,283,袁绍,2
99,刘表,318,郭淮,5
99,刘表,321,诸葛亮,18
99,刘表,341,曹真,7
99,刘表,346,曹睿,3
99,刘表,354,董卓,2
272,姜维,281,袁术,5
272,姜维,283,袁绍,5
272,姜维,318,郭淮,8
272,姜维,341,曹真,10
272,姜维,346,曹睿,6
272,姜维,354,董卓,5
281,袁术,283,袁绍,2
281,袁术,318,郭淮,5
281,袁术,321,诸葛亮,18
281,袁术,341,曹真,7
281,袁术,346,曹睿,3
281,袁术,354,董卓,2
283,袁绍,318,郭淮,5
283,袁绍,321,诸葛亮,18
283,袁绍,341,曹真,7
283,袁绍,346,曹睿,3
283,袁绍,354,董卓,2
318,郭淮,321,诸葛亮,32
318,郭淮,341,曹真,20
318,郭淮,346,曹睿,6
318,郭淮,354,董卓,5
321,诸葛亮,341,曹真,38
321,诸葛亮,346,曹睿,19
321,诸葛亮,354,董卓,20
341,曹真,346,曹睿,8
341,曹真,354,董卓,7
346,曹睿,354,董卓,3
18,王平,31,王朗,3
18,王平,200,张嶷,4
18,王平,246,赵云,5
18,王平,318,郭淮,5
18,王平,341,曹真,9
31,王朗,200,张嶷,3
31,王朗,202,张翼,3
31,王朗,246,赵云,4
31,王朗,403,魏延,5
200,张嶷,202,张翼,4
200,张嶷,246,赵云,5
200,张嶷,318,郭淮,5
200,张嶷,321,诸葛亮,10
200,张嶷,341,曹真,9
200,张嶷,403,魏延,7
202,张翼,318,郭淮,5
202,张翼,341,曹真,9
246,赵云,318,郭淮,6
246,赵云,341,曹真,10
318,郭淮,403,魏延,8
341,曹真,403,魏延,12
