label1,node1,label2,node2,link_num
70,司马懿,242,孟达,51
70,司马懿,321,诸葛亮,51
242,孟达,321,诸葛亮,57
318,郭淮,341,曹真,9
321,诸葛亮,348,曹操,4
246,赵云,272,姜维,5
246,赵云,321,诸葛亮,5
246,赵云,403,魏延,5
272,姜维,321,诸葛亮,19
272,姜维,403,魏延,5
321,诸葛亮,403,魏延,5
246,赵云,318,郭淮,4
246,赵云,341,曹真,5
318,郭淮,403,魏延,5
341,曹真,403,魏延,6
70,司马懿,88,华歆,6
70,司马懿,192,张津,6
70,司马懿,265,钟繇,7
70,司马懿,341,曹真,7
70,司马懿,346,曹睿,30
88,华歆,192,张津,2
88,华歆,265,钟繇,3
88,华歆,321,诸葛亮,3
88,华歆,341,曹真,3
88,华歆,346,曹睿,2
192,张津,265,钟繇,3
192,张津,321,诸葛亮,3
192,张津,341,曹真,3
192,张津,346,曹睿,2
265,钟繇,321,诸葛亮,4
265,钟繇,341,曹真,4
265,钟繇,346,曹睿,3
321,诸葛亮,341,曹真,4
321,诸葛亮,346,曹睿,28
341,曹真,346,曹睿,3
159,李严,242,孟达,3
159,李严,321,诸葛亮,5
159,李严,346,曹睿,2
242,孟达,346,曹睿,29
14,马谡,70,司马懿,13
14,马谡,242,孟达,12
14,马谡,321,诸葛亮,14
14,马谡,346,曹睿,8
62,司马师,65,司马昭,7
62,司马师,70,司马懿,7
62,司马师,242,孟达,12
62,司马师,306,徐晃,6
62,司马师,321,诸葛亮,11
65,司马昭,70,司马懿,6
65,司马昭,242,孟达,11
65,司马昭,306,徐晃,5
65,司马昭,321,诸葛亮,10
70,司马懿,306,徐晃,17
242,孟达,306,徐晃,25
306,徐晃,321,诸葛亮,16
55,申耽,70,司马懿,14
55,申耽,188,张郃,8
55,申耽,242,孟达,17
55,申耽,306,徐晃,10
55,申耽,321,诸葛亮,9
55,申耽,346,曹睿,7
70,司马懿,188,张郃,10
188,张郃,242,孟达,13
188,张郃,306,徐晃,6
188,张郃,321,诸葛亮,5
188,张郃,346,曹睿,3
306,徐晃,346,曹睿,5
