label1,node1,label2,node2,link_num
14,马谡,70,司马懿,35
70,司马懿,125,孙礼,4
70,司马懿,178,辛毗,4
70,司马懿,188,张郃,36
70,司马懿,242,孟达,12
70,司马懿,321,诸葛亮,61
70,司马懿,341,曹真,18
70,司马懿,346,曹睿,10
125,孙礼,178,辛毗,4
125,孙礼,188,张郃,6
125,孙礼,242,孟达,3
125,孙礼,321,诸葛亮,6
125,孙礼,341,曹真,5
125,孙礼,346,曹睿,3
178,辛毗,188,张郃,6
178,辛毗,242,孟达,3
178,辛毗,321,诸葛亮,6
178,辛毗,341,曹真,5
178,辛毗,346,曹睿,3
188,张郃,242,孟达,12
188,张郃,321,诸葛亮,32
188,张郃,341,曹真,18
188,张郃,346,曹睿,10
242,孟达,321,诸葛亮,21
242,孟达,341,曹真,4
242,孟达,346,曹睿,6
321,诸葛亮,341,曹真,17
321,诸葛亮,346,曹睿,19
341,曹真,346,曹睿,4
14,马谡,18,王平,34
14,马谡,45,邓芝,2
14,马谡,55,申耽,14
14,马谡,188,张郃,24
14,马谡,242,孟达,4
14,马谡,246,赵云,2
14,马谡,272,姜维,7
14,马谡,321,诸葛亮,39
14,马谡,346,曹睿,2
14,马谡,403,魏延,16
18,王平,45,邓芝,2
18,王平,55,申耽,14
18,王平,70,司马懿,31
18,王平,188,张郃,24
18,王平,242,孟达,4
18,王平,246,赵云,2
18,王平,272,姜维,5
18,王平,321,诸葛亮,33
18,王平,346,曹睿,2
18,王平,403,魏延,18
45,邓芝,55,申耽,2
45,邓芝,70,司马懿,7
45,邓芝,188,张郃,5
45,邓芝,242,孟达,4
45,邓芝,246,赵云,4
45,邓芝,272,姜维,4
45,邓芝,321,诸葛亮,17
45,邓芝,346,曹睿,2
45,邓芝,403,魏延,3
55,申耽,70,司马懿,20
55,申耽,188,张郃,18
55,申耽,242,孟达,4
55,申耽,246,赵云,2
55,申耽,272,姜维,2
55,申耽,321,诸葛亮,19
55,申耽,346,曹睿,2
55,申耽,403,魏延,13
70,司马懿,246,赵云,16
70,司马懿,272,姜维,7
70,司马懿,403,魏延,24
188,张郃,246,赵云,5
188,张郃,272,姜维,5
188,张郃,403,魏延,22
242,孟达,246,赵云,4
242,孟达,272,姜维,4
242,孟达,403,魏延,5
246,赵云,272,姜维,4
246,赵云,321,诸葛亮,27
246,赵云,346,曹睿,2
246,赵云,403,魏延,3
272,姜维,321,诸葛亮,25
272,姜维,346,曹睿,2
272,姜维,403,魏延,3
321,诸葛亮,403,魏延,18
346,曹睿,403,魏延,3
14,马谡,65,司马昭,13
14,马谡,192,张津,7
18,王平,65,司马昭,13
18,王平,192,张津,5
65,司马昭,70,司马懿,16
65,司马昭,192,张津,3
65,司马昭,321,诸葛亮,12
70,司马懿,192,张津,2
192,张津,321,诸葛亮,3
11,马良,14,马谡,5
11,马良,18,王平,3
11,马良,55,申耽,2
11,马良,70,司马懿,3
11,马良,188,张郃,3
11,马良,321,诸葛亮,2
14,马谡,318,郭淮,11
14,马谡,341,曹真,8
18,王平,318,郭淮,13
18,王平,341,曹真,10
55,申耽,65,司马昭,2
55,申耽,318,郭淮,8
55,申耽,341,曹真,5
65,司马昭,188,张郃,7
65,司马昭,318,郭淮,3
65,司马昭,341,曹真,2
65,司马昭,403,魏延,8
70,司马懿,318,郭淮,20
188,张郃,318,郭淮,14
318,郭淮,341,曹真,15
318,郭淮,403,魏延,14
341,曹真,403,魏延,11
318,郭淮,321,诸葛亮,13
14,马谡,153,杨仪,5
18,王平,153,杨仪,3
153,杨仪,272,姜维,4
153,杨仪,321,诸葛亮,8
45,邓芝,341,曹真,2
246,赵云,341,曹真,11
272,姜维,341,曹真,2
246,赵云,318,郭淮,13
