label1,node1,label2,node2,link_num
14,马谡,231,周鲂,2
14,马谡,321,诸葛亮,26
14,马谡,334,曹休,2
231,周鲂,321,诸葛亮,7
231,周鲂,334,曹休,40
321,诸葛亮,334,曹休,5
45,邓芝,70,司马懿,4
45,邓芝,136,孙资,4
45,邓芝,188,张郃,4
45,邓芝,196,张鲁,4
45,邓芝,246,赵云,10
45,邓芝,318,郭淮,4
45,邓芝,321,诸葛亮,8
45,邓芝,346,曹睿,4
70,司马懿,136,孙资,2
70,司马懿,188,张郃,2
70,司马懿,196,张鲁,2
70,司马懿,246,赵云,8
70,司马懿,318,郭淮,2
70,司马懿,321,诸葛亮,10
70,司马懿,346,曹睿,4
136,孙资,188,张郃,2
136,孙资,196,张鲁,2
136,孙资,246,赵云,8
136,孙资,318,郭淮,2
136,孙资,321,诸葛亮,6
136,孙资,346,曹睿,2
188,张郃,196,张鲁,2
188,张郃,246,赵云,8
188,张郃,318,郭淮,2
188,张郃,321,诸葛亮,6
188,张郃,346,曹睿,2
196,张鲁,246,赵云,8
196,张鲁,318,郭淮,2
196,张鲁,321,诸葛亮,6
196,张鲁,346,曹睿,2
246,赵云,318,郭淮,8
246,赵云,321,诸葛亮,12
246,赵云,346,曹睿,8
318,郭淮,321,诸葛亮,6
318,郭淮,346,曹睿,2
321,诸葛亮,346,曹睿,10
14,马谡,18,王平,14
14,马谡,403,魏延,6
18,王平,321,诸葛亮,11
18,王平,403,魏延,5
321,诸葛亮,403,魏延,5
14,马谡,362,蒋琬,12
18,王平,362,蒋琬,3
321,诸葛亮,362,蒋琬,13
14,马谡,277,费祎,3
277,费祎,321,诸葛亮,13
277,费祎,362,蒋琬,3
272,姜维,277,费祎,4
272,姜维,321,诸葛亮,7
70,司马懿,92,全琮,12
70,司马懿,127,孙权,6
70,司马懿,206,陆逊,10
70,司马懿,231,周鲂,17
70,司马懿,258,胡质,6
70,司马懿,295,贾逵,14
70,司马懿,305,顾雍,6
70,司马懿,307,徐盛,10
70,司马懿,326,诸葛瑾,6
70,司马懿,334,曹休,27
70,司马懿,384,满宠,6
92,全琮,127,孙权,10
92,全琮,206,陆逊,15
92,全琮,231,周鲂,23
92,全琮,258,胡质,8
92,全琮,295,贾逵,16
92,全琮,305,顾雍,8
92,全琮,307,徐盛,14
92,全琮,326,诸葛瑾,8
92,全琮,334,曹休,31
92,全琮,384,满宠,8
127,孙权,206,陆逊,9
127,孙权,231,周鲂,17
127,孙权,258,胡质,2
127,孙权,295,贾逵,10
127,孙权,305,顾雍,2
127,孙权,307,徐盛,8
127,孙权,326,诸葛瑾,2
127,孙权,334,曹休,25
127,孙权,384,满宠,2
206,陆逊,231,周鲂,22
206,陆逊,258,胡质,6
206,陆逊,295,贾逵,14
206,陆逊,305,顾雍,6
206,陆逊,307,徐盛,13
206,陆逊,326,诸葛瑾,6
206,陆逊,334,曹休,30
206,陆逊,384,满宠,6
231,周鲂,258,胡质,13
231,周鲂,295,贾逵,21
231,周鲂,305,顾雍,13
231,周鲂,307,徐盛,21
231,周鲂,326,诸葛瑾,13
231,周鲂,384,满宠,13
258,胡质,295,贾逵,10
258,胡质,305,顾雍,2
258,胡质,307,徐盛,6
258,胡质,326,诸葛瑾,2
258,胡质,334,曹休,23
258,胡质,384,满宠,2
295,贾逵,305,顾雍,10
295,贾逵,307,徐盛,14
295,贾逵,326,诸葛瑾,10
295,贾逵,334,曹休,31
295,贾逵,384,满宠,10
305,顾雍,307,徐盛,6
305,顾雍,326,诸葛瑾,2
305,顾雍,334,曹休,23
305,顾雍,384,满宠,2
307,徐盛,326,诸葛瑾,6
307,徐盛,334,曹休,29
307,徐盛,384,满宠,6
326,诸葛瑾,334,曹休,23
326,诸葛瑾,384,满宠,2
334,曹休,384,满宠,23
92,全琮,321,诸葛亮,3
127,孙权,321,诸葛亮,3
206,陆逊,321,诸葛亮,4
307,徐盛,321,诸葛亮,3
