label1,node1,label2,node2,link_num
70,司马懿,206,陆逊,2
70,司马懿,321,诸葛亮,30
70,司马懿,334,曹休,2
70,司马懿,346,曹睿,2
206,陆逊,321,诸葛亮,2
206,陆逊,334,曹休,2
206,陆逊,346,曹睿,2
321,诸葛亮,334,曹休,9
321,诸葛亮,346,曹睿,2
334,曹休,346,曹睿,2
118,关羽,246,赵云,8
118,关羽,321,诸葛亮,17
118,关羽,334,曹休,2
246,赵云,321,诸葛亮,21
246,赵云,334,曹休,5
17,王双,31,王朗,3
17,王双,70,司马懿,12
17,王双,75,吕布,3
17,王双,114,刘繇,3
17,王双,118,关羽,3
17,王双,127,孙权,3
17,王双,153,杨仪,3
17,王双,188,张郃,3
17,王双,246,赵云,4
17,王双,318,郭淮,12
17,王双,321,诸葛亮,41
17,王双,333,曹丕,3
17,王双,341,曹真,17
17,王双,348,曹操,5
17,王双,403,魏延,17
31,王朗,70,司马懿,2
31,王朗,75,吕布,2
31,王朗,114,刘繇,2
31,王朗,118,关羽,2
31,王朗,127,孙权,2
31,王朗,153,杨仪,2
31,王朗,188,张郃,2
31,王朗,246,赵云,3
31,王朗,318,郭淮,2
31,王朗,321,诸葛亮,10
31,王朗,333,曹丕,2
31,王朗,341,曹真,3
31,王朗,348,曹操,4
31,王朗,403,魏延,5
70,司马懿,75,吕布,2
70,司马懿,114,刘繇,2
70,司马懿,118,关羽,2
70,司马懿,127,孙权,2
70,司马懿,153,杨仪,2
70,司马懿,188,张郃,2
70,司马懿,246,赵云,3
70,司马懿,318,郭淮,7
70,司马懿,333,曹丕,2
70,司马懿,341,曹真,15
70,司马懿,348,曹操,4
70,司马懿,403,魏延,7
75,吕布,114,刘繇,2
75,吕布,118,关羽,2
75,吕布,127,孙权,2
75,吕布,153,杨仪,2
75,吕布,188,张郃,2
75,吕布,246,赵云,3
75,吕布,318,郭淮,2
75,吕布,321,诸葛亮,10
75,吕布,333,曹丕,2
75,吕布,341,曹真,3
75,吕布,348,曹操,4
75,吕布,403,魏延,5
114,刘繇,118,关羽,2
114,刘繇,127,孙权,2
114,刘繇,153,杨仪,2
114,刘繇,188,张郃,2
114,刘繇,246,赵云,3
114,刘繇,318,郭淮,2
114,刘繇,321,诸葛亮,10
