label1,node1,label2,node2,link_num
17,王双,70,司马懿,11
17,王双,127,孙权,2
17,王双,206,陆逊,2
17,王双,321,诸葛亮,28
17,王双,341,曹真,18
17,王双,368,韩暨,6
70,司马懿,127,孙权,9
70,司马懿,206,陆逊,11
70,司马懿,321,诸葛亮,34
70,司马懿,341,曹真,25
70,司马懿,368,韩暨,7
127,孙权,206,陆逊,10
127,孙权,321,诸葛亮,13
127,孙权,341,曹真,11
127,孙权,368,韩暨,3
206,陆逊,321,诸葛亮,15
206,陆逊,341,曹真,10
206,陆逊,368,韩暨,3
321,诸葛亮,341,曹真,31
321,诸葛亮,368,韩暨,12
341,曹真,368,韩暨,10
12,马忠,17,王双,6
12,马忠,60,乐进,2
12,马忠,70,司马懿,6
12,马忠,125,孙礼,13
12,马忠,182,张辽,2
12,马忠,200,张嶷,4
12,马忠,272,姜维,2
12,马忠,318,郭淮,3
12,马忠,321,诸葛亮,12
12,马忠,341,曹真,8
12,马忠,368,韩暨,2
17,王双,60,乐进,3
17,王双,125,孙礼,17
17,王双,182,张辽,3
17,王双,200,张嶷,6
17,王双,272,姜维,3
17,王双,318,郭淮,6
60,乐进,70,司马懿,3
60,乐进,125,孙礼,6
60,乐进,182,张辽,2
60,乐进,200,张嶷,2
60,乐进,272,姜维,2
60,乐进,318,郭淮,3
60,乐进,321,诸葛亮,7
60,乐进,341,曹真,3
60,乐进,368,韩暨,2
70,司马懿,125,孙礼,15
70,司马懿,182,张辽,3
70,司马懿,200,张嶷,6
70,司马懿,272,姜维,3
70,司马懿,318,郭淮,4
125,孙礼,182,张辽,6
125,孙礼,200,张嶷,13
125,孙礼,272,姜维,6
125,孙礼,318,郭淮,12
125,孙礼,321,诸葛亮,24
125,孙礼,341,曹真,19
125,孙礼,368,韩暨,6
182,张辽,200,张嶷,2
182,张辽,272,姜维,2
182,张辽,318,郭淮,3
182,张辽,321,诸葛亮,7
182,张辽,341,曹真,3
182,张辽,368,韩暨,2
200,张嶷,272,姜维,2
200,张嶷,318,郭淮,3
200,张嶷,321,诸葛亮,12
200,张嶷,341,曹真,8
200,张嶷,368,韩暨,2
272,姜维,318,郭淮,5
272,姜维,321,诸葛亮,27
272,姜维,341,曹真,3
272,姜维,368,韩暨,2
318,郭淮,321,诸葛亮,15
318,郭淮,341,曹真,6
318,郭淮,368,韩暨,3
12,马忠,153,杨仪,2
12,马忠,188,张郃,2
12,马忠,403,魏延,3
17,王双,153,杨仪,3
17,王双,188,张郃,6
17,王双,403,魏延,16
70,司马懿,153,杨仪,3
70,司马懿,188,张郃,3
70,司马懿,403,魏延,4
125,孙礼,153,杨仪,7
125,孙礼,188,张郃,14
125,孙礼,403,魏延,8
153,杨仪,188,张郃,2
153,杨仪,200,张嶷,2
153,杨仪,321,诸葛亮,5
153,杨仪,341,曹真,5
153,杨仪,403,魏延,3
188,张郃,200,张嶷,2
188,张郃,321,诸葛亮,22
188,张郃,341,曹真,8
188,张郃,403,魏延,14
200,张嶷,403,魏延,3
321,诸葛亮,403,魏延,31
341,曹真,403,魏延,6
188,张郃,318,郭淮,9
127,孙权,130,孙坚,2
127,孙权,142,孙策,2
127,孙权,143,孙登,2
127,孙权,191,张昭,9
127,孙权,322,诸葛恪,4
127,孙权,326,诸葛瑾,6
130,孙坚,142,孙策,2
130,孙坚,143,孙登,2
130,孙坚,191,张昭,4
130,孙坚,322,诸葛恪,2
130,孙坚,326,诸葛瑾,2
130,孙坚,341,曹真,2
142,孙策,143,孙登,2
142,孙策,191,张昭,4
142,孙策,322,诸葛恪,2
142,孙策,326,诸葛瑾,2
142,孙策,341,曹真,2
143,孙登,191,张昭,4
143,孙登,322,诸葛恪,2
143,孙登,326,诸葛瑾,2
143,孙登,341,曹真,2
191,张昭,322,诸葛恪,9
191,张昭,326,诸葛瑾,11
191,张昭,341,曹真,4
322,诸葛恪,326,诸葛瑾,6
322,诸葛恪,341,曹真,2
326,诸葛瑾,341,曹真,2
70,司马懿,183,张休,2
70,司马懿,191,张昭,5
70,司马懿,219,陈震,2
70,司马懿,305,顾雍,2
70,司马懿,322,诸葛恪,2
70,司马懿,326,诸葛瑾,4
70,司马懿,362,蒋琬,2
127,孙权,183,张休,2
127,孙权,219,陈震,2
127,孙权,305,顾雍,2
127,孙权,362,蒋琬,2
183,张休,191,张昭,5
183,张休,206,陆逊,3
183,张休,219,陈震,2
183,张休,305,顾雍,2
183,张休,321,诸葛亮,3
183,张休,322,诸葛恪,2
183,张休,326,诸葛瑾,4
183,张休,362,蒋琬,2
191,张昭,206,陆逊,6
191,张昭,219,陈震,5
191,张昭,305,顾雍,5
191,张昭,321,诸葛亮,6
191,张昭,362,蒋琬,5
206,陆逊,219,陈震,3
206,陆逊,305,顾雍,3
206,陆逊,322,诸葛恪,3
206,陆逊,326,诸葛瑾,5
206,陆逊,362,蒋琬,3
219,陈震,305,顾雍,2
219,陈震,321,诸葛亮,8
219,陈震,322,诸葛恪,2
219,陈震,326,诸葛瑾,4
219,陈震,362,蒋琬,2
305,顾雍,321,诸葛亮,3
305,顾雍,322,诸葛恪,2
305,顾雍,326,诸葛瑾,4
305,顾雍,362,蒋琬,2
321,诸葛亮,322,诸葛恪,3
321,诸葛亮,326,诸葛瑾,5
321,诸葛亮,362,蒋琬,3
322,诸葛恪,362,蒋琬,2
326,诸葛瑾,362,蒋琬,4
188,张郃,219,陈震,3
188,张郃,272,姜维,10
219,陈震,272,姜维,2
219,陈震,318,郭淮,2
219,陈震,403,魏延,2
272,姜维,403,魏延,11
318,郭淮,403,魏延,2
18,王平,272,姜维,4
18,王平,321,诸葛亮,6
70,司马懿,346,曹睿,2
70,司马懿,384,满宠,2
127,孙权,346,曹睿,2
127,孙权,384,满宠,2
206,陆逊,346,曹睿,3
206,陆逊,384,满宠,3
321,诸葛亮,346,曹睿,3
321,诸葛亮,384,满宠,3
341,曹真,346,曹睿,3
341,曹真,384,满宠,3
346,曹睿,384,满宠,2
