label1,node1,label2,node2,link_num
70,司马懿,321,诸葛亮,89
70,司马懿,125,孙礼,14
70,司马懿,188,张郃,30
70,司马懿,318,郭淮,17
125,孙礼,188,张郃,2
125,孙礼,318,郭淮,11
125,孙礼,321,诸葛亮,20
188,张郃,318,郭淮,4
188,张郃,321,诸葛亮,52
318,郭淮,321,诸葛亮,29
18,王平,70,司马懿,31
18,王平,125,孙礼,7
18,王平,272,姜维,10
18,王平,318,郭淮,8
18,王平,321,诸葛亮,45
70,司马懿,272,姜维,14
125,孙礼,272,姜维,5
272,姜维,318,郭淮,6
272,姜维,321,诸葛亮,18
70,司马懿,181,张飞,2
70,司马懿,202,张翼,17
181,张飞,188,张郃,4
181,张飞,202,张翼,2
181,张飞,321,诸葛亮,4
188,张郃,202,张翼,17
202,张翼,321,诸葛亮,25
14,马谡,17,王双,2
14,马谡,70,司马懿,2
14,马谡,188,张郃,2
14,马谡,277,费祎,3
14,马谡,318,郭淮,2
14,马谡,321,诸葛亮,8
14,马谡,403,魏延,2
17,王双,70,司马懿,2
17,王双,188,张郃,2
17,王双,277,费祎,3
17,王双,318,郭淮,2
17,王双,321,诸葛亮,8
17,王双,403,魏延,2
70,司马懿,277,费祎,3
70,司马懿,403,魏延,5
188,张郃,277,费祎,3
188,张郃,403,魏延,5
277,费祎,318,郭淮,3
277,费祎,321,诸葛亮,9
277,费祎,403,魏延,3
318,郭淮,403,魏延,2
321,诸葛亮,403,魏延,16
18,王平,188,张郃,14
18,王平,202,张翼,15
18,王平,403,魏延,5
202,张翼,403,魏延,3
12,马忠,18,王平,7
12,马忠,200,张嶷,5
12,马忠,202,张翼,8
12,马忠,272,姜维,5
12,马忠,321,诸葛亮,10
12,马忠,391,廖化,5
18,王平,200,张嶷,8
18,王平,391,廖化,6
200,张嶷,202,张翼,7
200,张嶷,272,姜维,4
200,张嶷,321,诸葛亮,16
200,张嶷,391,廖化,4
202,张翼,272,姜维,7
202,张翼,391,廖化,7
272,姜维,391,廖化,4
321,诸葛亮,391,廖化,9
12,马忠,70,司马懿,9
12,马忠,188,张郃,7
70,司马懿,200,张嶷,13
70,司马懿,391,廖化,8
188,张郃,200,张嶷,6
188,张郃,272,姜维,6
188,张郃,391,廖化,6
70,司马懿,358,董厥,3
70,司马懿,394,樊建,3
321,诸葛亮,358,董厥,4
321,诸葛亮,394,樊建,4
358,董厥,394,樊建,2
70,司马懿,105,刘晔,9
70,司马懿,158,杨暨,3
70,司马懿,341,曹真,17
105,刘晔,158,杨暨,5
105,刘晔,321,诸葛亮,11
105,刘晔,341,曹真,12
158,杨暨,321,诸葛亮,3
158,杨暨,341,曹真,4
321,诸葛亮,341,曹真,22
18,王平,25,王肃,2
18,王平,88,华歆,2
18,王平,105,刘晔,2
18,王平,341,曹真,11
25,王肃,70,司马懿,5
25,王肃,88,华歆,2
25,王肃,105,刘晔,2
25,王肃,125,孙礼,2
25,王肃,200,张嶷,2
25,王肃,318,郭淮,2
25,王肃,321,诸葛亮,7
25,王肃,341,曹真,7
70,司马懿,88,华歆,5
88,华歆,105,刘晔,2
88,华歆,125,孙礼,2
88,华歆,200,张嶷,2
88,华歆,318,郭淮,2
88,华歆,321,诸葛亮,7
88,华歆,341,曹真,7
105,刘晔,125,孙礼,2
105,刘晔,200,张嶷,2
105,刘晔,318,郭淮,2
125,孙礼,200,张嶷,2
125,孙礼,341,曹真,7
200,张嶷,318,郭淮,2
200,张嶷,341,曹真,7
318,郭淮,341,曹真,7
