label1,node1,label2,node2,link_num
181,张飞,202,张翼,2
101,刘备,181,张飞,29
101,刘备,354,董卓,11
181,张飞,354,董卓,3
101,刘备,268,皇甫嵩,18
101,刘备,348,曹操,20
181,张飞,268,皇甫嵩,3
181,张飞,348,曹操,3
268,皇甫嵩,348,曹操,8
54,卢植,101,刘备,7
54,卢植,130,孙坚,3
54,卢植,268,皇甫嵩,7
54,卢植,348,曹操,3
54,卢植,354,董卓,3
101,刘备,130,孙坚,16
130,孙坚,268,皇甫嵩,6
130,孙坚,348,曹操,2
130,孙坚,354,董卓,2
268,皇甫嵩,354,董卓,6
348,曹操,354,董卓,2
106,刘陶,130,孙坚,2
40,公孙瓒,101,刘备,6
40,公孙瓒,111,刘虞,4
40,公孙瓒,172,何进,6
40,公孙瓒,237,郑泰,2
40,公孙瓒,250,荀攸,2
40,公孙瓒,283,袁绍,2
40,公孙瓒,284,袁逢,2
40,公孙瓒,285,袁隗,2
40,公孙瓒,348,曹操,2
101,刘备,111,刘虞,8
101,刘备,172,何进,10
101,刘备,237,郑泰,6
101,刘备,250,荀攸,6
101,刘备,283,袁绍,6
101,刘备,284,袁逢,6
101,刘备,285,袁隗,6
111,刘虞,172,何进,8
111,刘虞,237,郑泰,4
111,刘虞,250,荀攸,4
111,刘虞,283,袁绍,4
111,刘虞,284,袁逢,4
111,刘虞,285,袁隗,4
111,刘虞,348,曹操,4
172,何进,237,郑泰,6
172,何进,250,荀攸,6
172,何进,283,袁绍,23
172,何进,284,袁逢,6
172,何进,285,袁隗,6
172,何进,348,曹操,11
237,郑泰,250,荀攸,2
237,郑泰,283,袁绍,2
237,郑泰,284,袁逢,2
237,郑泰,285,袁隗,2
237,郑泰,348,曹操,2
250,荀攸,283,袁绍,2
250,荀攸,284,袁逢,2
250,荀攸,285,袁隗,2
250,荀攸,348,曹操,2
283,袁绍,284,袁逢,2
283,袁绍,285,袁隗,2
283,袁绍,348,曹操,6
284,袁逢,285,袁隗,2
284,袁逢,348,曹操,2
285,袁隗,348,曹操,2
172,何进,214,陈琳,4
214,陈琳,283,袁绍,3
214,陈琳,348,曹操,3
