label,name1,name2,freq
2,丁奉,承渊,2
31,王朗,景兴,1
34,王粲,仲宣,1
42,文聘,仲业,3
52,甘宁,兴霸,2
75,吕布,奉先,1
81,吕蒙,子明,1
88,华歆,子鱼,7
99,刘表,景升,2
101,刘备,玄德,32
113,刘璋,季玉,3
123,许褚,仲康,3
127,孙权,仲谋,5
181,张飞,翼德,1
188,张郃,隽乂,1
191,张昭,子布,1
214,陈琳,孔璋,1
232,周瑜,公瑾,25
246,赵云,子龙,3
265,钟繇,元常,1
281,袁术,公路,1
283,袁绍,本初,1
301,夏侯渊,妙才,1
305,顾雍,元叹,2
306,徐晃,公明,5
307,徐盛,文向,2
312,凌统,公绩,1
321,诸葛亮,孔明,27
330,黄忠,汉升,2
331,黄盖,公覆,1
334,曹休,文烈,3
340,曹洪,子廉,1
348,曹操,孟德,13
354,董卓,仲颖,1
360,蒋钦,公奕,1
363,韩当,义公,1
371,程昱,仲德,4
372,程普,德谋,5
377,鲁肃,子敬,24
403,魏延,文长,2
