label,name1,name2,freq
11,马良,季常,1
13,马超,孟起,64
14,马谡,幼常,1
45,邓芝,伯苗,1
90,伊籍,机伯,1
93,刘巴,子初,3
101,刘备,玄德,64
113,刘璋,季玉,27
118,关羽,云长,10
122,许靖,文休,2
127,孙权,仲谋,2
137,孙乾,公祜,5
156,杨洪,季休,1
159,李严,正方,10
162,李恢,德昂,6
181,张飞,翼德,40
191,张昭,子布,2
196,张鲁,公祺,13
202,张翼,伯恭,2
233,周群,仲直,1
235,庞德,令明,1
239,法正,孝直,10
242,孟达,子度,3
246,赵云,子龙,9
276,费观,宾伯,5
277,费祎,文伟,1
279,秦宓,子敕,2
305,顾雍,元叹,1
321,诸葛亮,孔明,30
329,黄权,公衡,4
330,黄忠,汉升,8
348,曹操,孟德,5
352,彭羕,永年,1
355,董和,幼宰,2
362,蒋琬,公琰,1
383,简雍,宪和,4
391,廖化,元俭,1
393,谯周,允南,2
401,霍峻,仲邈,3
403,魏延,文长,12
404,糜芳,子方,1
