label,name1,name2,freq
12,马忠,德信,1
13,马超,孟起,1
14,马谡,幼常,3
18,王平,子均,1
31,王朗,景兴,4
45,邓芝,伯苗,4
70,司马懿,仲达,21
77,吕凯,季平,1
88,华歆,子鱼,3
93,刘巴,子初,1
109,刘琰,威硕,1
119,许允,土宗,1
151,杜琼,伯瑜,1
152,杜微,国辅,1
153,杨仪,威公,1
156,杨洪,季休,1
158,杨暨,休先,1
159,李严,正方,1
162,李恢,德昂,1
168,来敏,敬达,1
199,张裔,君嗣,1
200,张嶷,伯歧,1
202,张翼,伯恭,1
218,陈群,长文,3
243,孟光,孝裕,1
246,赵云,子龙,3
259,胡济,伟度,1
265,钟繇,元常,1
270,郤正,令先,1
277,费祎,文伟,2
283,袁绍,本初,1
287,袁熙,显奕,1
301,夏侯渊,妙才,2
315,郭攸之,演长,2
321,诸葛亮,孔明,42
330,黄忠,汉升,1
333,曹丕,子桓,2
334,曹休,文烈,6
341,曹真,子丹,6
343,曹植,子建,1
346,曹睿,元仲,16
348,曹操,孟德,1
353,董允,休昭,2
358,董厥,龚袭,2
362,蒋琬,公琰,1
391,廖化,元俭,1
393,谯周,允南,3
394,樊建,长元,1
403,魏延,文长,1
